#Magnitudes for spectra_ddc25_supernu calculated by wsynphot
#with vega calibration file: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/calspec/alpha_lyr_stis_003.fits 
#and with scipy 1D interpolation kind='cubic'.
#U,B,V,R,I are Generic Bessell filters and J, H, K are 2MASS filters, taken from http://svo2.cab.inta-csic.es/theory/fps/index.php 
#The spectra file used was last modified at: 2022-05-09 14:12:04 UTC
#and had md5 hash: f3154ca2a93721160b9460b358d879f0
#
#NTIMES: 186
#NBANDS: 8
#time[d] U B V R I J H K
1.313500e+00 -5.508484 -7.360717 -9.444761 -10.795310 -12.035813 -13.803449 -14.578819 -15.100234
1.340900e+00 -5.457607 -7.181737 -9.258871 -10.671495 -11.957923 -13.728140 -14.538934 -15.069848
1.368800e+00 -5.244980 -6.907049 -9.035193 -10.515408 -11.803710 -13.674188 -14.484281 -15.059177
1.397300e+00 -4.986554 -6.398428 -8.804114 -10.356952 -11.673240 -13.538618 -14.413314 -14.982185
1.426300e+00 -3.823111 -6.206099 -8.575017 -10.106371 -11.486388 -13.394676 -14.290825 -14.897806
1.456000e+00 -3.972295 -5.616392 -8.151211 -9.826859 -11.234845 -13.214950 -14.157751 -14.718258
1.486300e+00 -3.811689 -5.044104 -7.554375 -9.452483 -10.914539 -12.964414 -13.926267 -14.519565
1.517300e+00 -2.047822 -4.460772 -7.192632 -9.057818 -10.441482 -12.606620 -13.582250 -14.184847
1.548800e+00 -2.900799 -3.597623 -6.114815 -8.393510 -9.898695 -12.129561 -13.071259 -13.649392
1.581100e+00 -0.626275 -2.928643 -5.258109 -7.491225 -9.112671 -11.283494 -12.106828 -12.467611
1.614000e+00 -1.567087 -2.164593 -4.944720 -7.310512 -8.810514 -10.904192 -11.604473 -12.000441
1.647600e+00 0.711170 -1.284973 -4.382981 -7.072496 -8.612234 -10.835226 -11.520330 -11.929794
1.681900e+00 1.364232 -1.766159 -4.115504 -6.998601 -8.510860 -10.747942 -11.483161 -11.915843
1.716900e+00 1.852055 -1.544278 -3.814806 -6.991567 -8.476245 -10.683571 -11.453813 -11.881384
1.752600e+00 2.545284 0.115132 -3.744550 -6.964781 -8.443229 -10.670458 -11.430761 -11.894412
1.789100e+00 2.891041 0.362227 -3.648088 -6.945082 -8.447382 -10.733424 -11.475775 -11.894084
1.826300e+00 3.162228 0.649120 -3.606093 -6.933170 -8.423945 -10.728953 -11.461950 -11.901346
1.864300e+00 3.093136 0.783016 -3.536162 -6.903601 -8.428721 -10.714491 -11.475073 -11.901827
1.903100e+00 3.222045 0.403339 -3.552737 -6.946721 -8.400478 -10.739415 -11.471540 -11.928397
1.942700e+00 3.198850 0.921178 -3.680147 -7.158972 -8.607299 -10.801181 -11.544850 -11.950062
1.983100e+00 3.167021 0.812904 -3.730993 -7.290418 -8.692107 -10.819503 -11.605899 -12.031276
2.024400e+00 3.415515 1.000301 -3.752345 -7.234136 -8.646664 -10.953117 -11.688335 -12.152704
2.066500e+00 3.365198 0.907209 -3.896168 -7.413638 -8.721902 -11.060718 -11.810720 -12.198210
2.109600e+00 3.339485 0.595562 -4.110387 -7.568059 -8.891500 -11.189892 -11.979676 -12.340265
2.153500e+00 2.773671 0.451189 -4.256143 -7.702668 -9.058964 -11.322411 -12.079588 -12.431207
2.198300e+00 2.636148 -0.533199 -4.426494 -7.851402 -9.254423 -11.370548 -12.232553 -12.581551
2.244000e+00 2.180225 -0.348289 -4.466885 -7.976652 -9.376404 -11.545183 -12.322871 -12.616065
2.290700e+00 2.244107 -1.227851 -4.755689 -8.046996 -9.384621 -11.658916 -12.468723 -12.670283
2.338400e+00 1.244237 -0.310181 -4.727990 -8.135104 -9.552677 -11.766953 -12.484491 -12.740142
2.387100e+00 1.309141 -0.172711 -4.692628 -8.151627 -9.646421 -11.884204 -12.595230 -12.861855
2.436800e+00 1.517844 -0.769960 -4.810002 -8.188806 -9.747704 -11.997382 -12.663991 -12.918108
2.487500e+00 -3.764682 -0.845858 -4.945321 -8.424131 -9.840998 -12.101666 -12.760332 -12.988805
2.539200e+00 1.107924 -1.015606 -5.354179 -8.611975 -9.967856 -12.278468 -12.815540 -13.210242
2.592100e+00 0.935528 -3.493729 -5.376319 -8.630816 -10.107983 -12.318771 -12.958227 -13.221391
