# MODEL DDC25
#
# TIME SINCE EXPLOSION = 7.24500e-04 days
# TOTAL MASS = 2.81611e+33 g = 1.41584e+00 Msun
# KINETIC ENERGY = 1.18372e+51 erg
# 56Ni MASS AT 7.24500e-04 days PAST EXPLOSION = 2.39092e+32 g = 1.20207e-01 Msun
#
# COLUMNS:
#
# (1) velocity at zone center (km/s)
# (2) radius at zone center [cm] = velocity at zone center * time_since_explosion
# (3) shell node volumes [cm^3], for zone index i = 1,...,n:
#       dvol_1 = 4pi/3 * [0.5*(r_1+r_2)^3 - r_1^3]
#       dvol_2,...,{n-1} = 4pi/3 * [0.5*(r_{i+1}+r_i)^3 - 0.5*(r_{i-1}+r_i)^3]
#       dvol_n = 4pi/3 * [r_n^3 - 0.5*(r_{n-1}+r_n)^3]
# (4) density at zone center [g/cm^3] (NOT mean density over shell)
# (5) shell mass estimate = shell node volumes * density at zone center
# (6) temperature at zone center [K]
# (7)-(30) elemental mass fractions at t = 7.24500e-04 days since explosion
# (31)-(54) isotopic mass fractions for radioactive nuclei at t = 7.24500e-04 days since explosion
#
# RADIOACTIVE CHAINS:
#
# ni56 -> co56   thalf_day = 6.07490000e+00   MeV/decay = 1.71827580e+00
# co56 -> fe56   thalf_day = 7.72330000e+01   MeV/decay = 3.74889320e+00
# ni57 -> co57   thalf_day = 1.48333000e+00   MeV/decay = 2.09130000e+00
# co57 -> fe57   thalf_day = 2.71740000e+02   MeV/decay = 1.21800000e-01
# cr48 -> v48    thalf_day = 8.98330000e-01   MeV/decay = 4.34000000e-01
# v48  -> ti48   thalf_day = 1.59735000e+01   MeV/decay = 3.05530000e+00
# cr49 -> v49    thalf_day = 2.93700000e-02   MeV/decay = 1.65300000e+00
# v49  -> ti49   thalf_day = 3.30000000e+02   MeV/decay = 0.00000000e+00
# mn51 -> cr51   thalf_day = 3.20000000e-02   MeV/decay = 1.92560000e+00
# cr51 -> v51    thalf_day = 2.77000000e+01   MeV/decay = 3.17000000e-02
# co55 -> fe55   thalf_day = 7.30420000e-01   MeV/decay = 2.37300000e+00
# fe55 -> mn55   thalf_day = 1.00220000e+03   MeV/decay = 0.00000000e+00
# k37  -> ar37   thalf_day = 1.41900000e-05   MeV/decay = 3.41930000e+00
# ar37 -> cl37   thalf_day = 3.50400000e+01   MeV/decay = 1.00000000e-04
# fe52 -> mn52   thalf_day = 3.44790000e-01   MeV/decay = 9.42100000e-01
# mn52 -> cr52   thalf_day = 1.47200000e-02   MeV/decay = 3.56040000e+00
# ti44 -> sc44   thalf_day = 2.19150000e+04   MeV/decay = 0.00000000e+00
# sc44 -> ca44   thalf_day = 1.65420000e-01   MeV/decay = 2.73170000e+00
# ar41 -> k41    thalf_day = 7.61200000e-02   MeV/decay = 1.74700000e+00
# k42  -> ca42   thalf_day = 5.13400000e-01   MeV/decay = 1.70600000e+00
# k43  -> ca43   thalf_day = 9.29000000e-01   MeV/decay = 1.27400000e+00
# sc43 -> ca43   thalf_day = 1.62130000e-01   MeV/decay = 1.40400000e+00
# sc47 -> ti47   thalf_day = 3.34920000e+00   MeV/decay = 2.70870000e-01
# co61 -> ni61   thalf_day = 6.87500000e-02   MeV/decay = 5.55000000e-01
#
#vel[km/s]  rad[cm]     dvol[cm^3]  dens[g/cm^3] dmass[g]    temp[K]     h           he          c           n           o           ne          na          mg          al          si          p           s           cl          ar          k           ca          sc          ti          v           cr          mn          fe          co          ni          ni56        co56        ni57        co57        cr48        v48         cr49        v49         mn51        cr51        co55        fe55        k37         ar37        fe52        mn52        ti44        sc44        ar41        k42         k43         sc43        sc47        co61       
#(1)        (2)         (3)         (4)         (5)         (6)         (7)         (8)         (9)         (10)        (11)        (12)        (13)        (14)        (15)        (16)        (17)        (18)        (19)        (20)        (21)        (22)        (23)        (24)        (25)        (26)        (27)        (28)        (29)        (30)        (31)        (32)        (33)        (34)        (35)        (36)        (37)        (38)        (39)        (40)        (41)        (42)        (43)        (44)        (45)        (46)        (47)        (48)        (49)        (50)        (51)        (52)        (53)        (54)       
4.71370e+02 2.95045e+09 3.36163e+29 1.19486e+01 4.01668e+30 2.38050e+06 3.10983e-17 2.94269e-06 7.37088e-09 9.86244e-21 1.74302e-03 3.13055e-08 4.82336e-11 2.13113e-04 1.12671e-05 1.41019e-03 4.70557e-06 6.50556e-04 6.64408e-07 1.02362e-04 5.42585e-07 8.49055e-05 1.68317e-08 3.44043e-03 1.17544e-03 2.45608e-01 1.45006e-02 5.76204e-01 1.00752e-02 1.31002e-01 3.49133e-02 6.55875e-05 1.86648e-03 2.46945e-03 4.19870e-06 1.65919e-09 9.66577e-07 3.75625e-07 3.70947e-06 3.66755e-05 1.05010e-03 8.28728e-03 0.00000e+00 3.24437e-07 3.34541e-04 1.85500e-06 5.91584e-08 2.15179e-11 1.23155e-15 1.16332e-13 5.16884e-13 1.31301e-11 1.63556e-08 5.30095e-05
1.04052e+03 6.51293e+09 1.02054e+30 1.22966e+01 1.25492e+31 2.00600e+06 3.10983e-17 2.94269e-06 7.37088e-09 9.86244e-21 1.74302e-03 3.13055e-08 4.82336e-11 2.13113e-04 1.12671e-05 1.41019e-03 4.70557e-06 6.50556e-04 6.64408e-07 1.02362e-04 5.42585e-07 8.49055e-05 1.68317e-08 3.44043e-03 1.17544e-03 2.45608e-01 1.45006e-02 5.76204e-01 1.00752e-02 1.31002e-01 3.49133e-02 6.55875e-05 1.86648e-03 2.46945e-03 4.19870e-06 1.65919e-09 9.66577e-07 3.75625e-07 3.70947e-06 3.66755e-05 1.05010e-03 8.28728e-03 0.00000e+00 3.24437e-07 3.34541e-04 1.85500e-06 5.91584e-08 2.15179e-11 1.23155e-15 1.16332e-13 5.16884e-13 1.31301e-11 1.63556e-08 5.30095e-05
1.21035e+03 7.57594e+09 6.68697e+29 1.24577e+01 8.33043e+30 1.69280e+06 3.10983e-17 2.94269e-06 7.37088e-09 9.86244e-21 1.74302e-03 3.13055e-08 4.82336e-11 2.13113e-04 1.12671e-05 1.41019e-03 4.70557e-06 6.50556e-04 6.64408e-07 1.02362e-04 5.42585e-07 8.49055e-05 1.68317e-08 3.44043e-03 1.17544e-03 2.45608e-01 1.45006e-02 5.76204e-01 1.00752e-02 1.31002e-01 3.49133e-02 6.55875e-05 1.86648e-03 2.46945e-03 4.19870e-06 1.65919e-09 9.66577e-07 3.75625e-07 3.70947e-06 3.66755e-05 1.05010e-03 8.28728e-03 0.00000e+00 3.24437e-07 3.34541e-04 1.85500e-06 5.91584e-08 2.15179e-11 1.23155e-15 1.16332e-13 5.16884e-13 1.31301e-11 1.63556e-08 5.30095e-05
1.34120e+03 8.39497e+09 6.45595e+29 1.29449e+01 8.35719e+30 1.58980e+06 3.10983e-17 2.94269e-06 7.37088e-09 9.86244e-21 1.74302e-03 3.13055e-08 4.82336e-11 2.13113e-04 1.12671e-05 1.41019e-03 4.70557e-06 6.50556e-04 6.64408e-07 1.02362e-04 5.42585e-07 8.49055e-05 1.68317e-08 3.44043e-03 1.17544e-03 2.45608e-01 1.45006e-02 5.76204e-01 1.00752e-02 1.31002e-01 3.49133e-02 6.55875e-05 1.86648e-03 2.46945e-03 4.19870e-06 1.65919e-09 9.66577e-07 3.75625e-07 3.70947e-06 3.66755e-05 1.05010e-03 8.28728e-03 0.00000e+00 3.24437e-07 3.34541e-04 1.85500e-06 5.91584e-08 2.15179e-11 1.23155e-15 1.16332e-13 5.16884e-13 1.31301e-11 1.63556e-08 5.30095e-05
1.44545e+03 9.04751e+09 6.04570e+29 1.33586e+01 8.07618e+30 1.57360e+06 6.52409e-17 6.17382e-06 1.54660e-08 1.00000e-20 3.65730e-03 6.56870e-08 1.01206e-10 4.47165e-04 2.36413e-05 2.95893e-03 9.87337e-06 1.36498e-03 1.39337e-06 2.14724e-04 1.13774e-06 1.78091e-04 3.41380e-09 5.26390e-04 2.80939e-04 1.43012e-01 6.84318e-03 6.27786e-01 1.00096e-02 2.02653e-01 7.32569e-02 1.36001e-04 3.91608e-03 4.88739e-03 8.80992e-06 3.23718e-09 2.02715e-06 5.92145e-07 7.77847e-06 6.57223e-05 2.20300e-03 1.61740e-02 0.00000e+00 6.80678e-07 7.01951e-04 3.74404e-06 1.24126e-07 4.49996e-11 2.36102e-16 1.77550e-13 7.09471e-14 2.74911e-11 2.65772e-09 9.89967e-06
1.53020e+03 9.57798e+09 5.83373e+29 1.36084e+01 7.93878e+30 1.57620e+06 6.52409e-17 6.17382e-06 1.54660e-08 1.00000e-20 3.65730e-03 6.56870e-08 1.01206e-10 4.47165e-04 2.36413e-05 2.95893e-03 9.87337e-06 1.36498e-03 1.39337e-06 2.14724e-04 1.13774e-06 1.78091e-04 3.41380e-09 5.26390e-04 2.80939e-04 1.43012e-01 6.84318e-03 6.27786e-01 1.00096e-02 2.02653e-01 7.32569e-02 1.36001e-04 3.91608e-03 4.88739e-03 8.80992e-06 3.23718e-09 2.02715e-06 5.92145e-07 7.77847e-06 6.57223e-05 2.20300e-03 1.61740e-02 0.00000e+00 6.80678e-07 7.01951e-04 3.74404e-06 1.24126e-07 4.49996e-11 2.36102e-16 1.77550e-13 7.09471e-14 2.74911e-11 2.65772e-09 9.89967e-06
1.60750e+03 1.00618e+10 6.02745e+29 1.37366e+01 8.27968e+30 1.52560e+06 6.52409e-17 6.17382e-06 1.54660e-08 1.00000e-20 3.65730e-03 6.56870e-08 1.01206e-10 4.47165e-04 2.36413e-05 2.95893e-03 9.87337e-06 1.36498e-03 1.39337e-06 2.14724e-04 1.13774e-06 1.78091e-04 3.41380e-09 5.26390e-04 2.80939e-04 1.43012e-01 6.84318e-03 6.27786e-01 1.00096e-02 2.02653e-01 7.32569e-02 1.36001e-04 3.91608e-03 4.88739e-03 8.80992e-06 3.23718e-09 2.02715e-06 5.92145e-07 7.77847e-06 6.57223e-05 2.20300e-03 1.61740e-02 0.00000e+00 6.80678e-07 7.01951e-04 3.74404e-06 1.24126e-07 4.49996e-11 2.36102e-16 1.77550e-13 7.09471e-14 2.74911e-11 2.65772e-09 9.89967e-06
1.68170e+03 1.05263e+10 6.04789e+29 1.37648e+01 8.32480e+30 1.54390e+06 8.24161e-17 7.79895e-06 1.95385e-08 1.00000e-20 4.62035e-03 8.29839e-08 1.27856e-10 5.64913e-04 2.98666e-05 3.73807e-03 1.24730e-05 1.72436e-03 1.75961e-06 2.71176e-04 1.43512e-06 2.24954e-04 2.83456e-09 3.83957e-04 2.05456e-04 1.14552e-01 5.73139e-03 6.19080e-01 1.04043e-02 2.38414e-01 9.25465e-02 1.63995e-04 4.94418e-03 5.38417e-03 1.11295e-05 3.42777e-09 2.55659e-06 5.40573e-07 9.80013e-06 6.48667e-05 2.78026e-03 1.73738e-02 0.00000e+00 8.59701e-07 8.86783e-04 4.20166e-06 1.56785e-07 5.64900e-11 2.07912e-16 2.19787e-13 5.35440e-14 3.44870e-11 1.93921e-09 7.21680e-06
1.74665e+03 1.09328e+10 5.75170e+29 1.37194e+01 7.89097e+30 1.54900e+06 1.03718e-16 9.81452e-06 2.45898e-08 1.00000e-20 5.81485e-03 1.04438e-07 1.60911e-10 7.10960e-04 3.75880e-05 4.70445e-03 1.56975e-05 2.17010e-03 2.21374e-06 3.41181e-04 1.80341e-06 2.83066e-04 2.38658e-09 2.60289e-04 1.39367e-04 8.59939e-02 4.62033e-03 6.03248e-01 1.08696e-02 2.80739e-01 1.16470e-01 1.94471e-04 6.21607e-03 5.74264e-03 1.40064e-05 3.51160e-09 3.21107e-06 4.62041e-07 1.22922e-05 6.06890e-05 3.49397e-03 1.79875e-02 0.00000e+00 1.08170e-06 1.11602e-03 4.57554e-06 1.97277e-07 7.06668e-11 1.90025e-16 2.72998e-13 3.87900e-14 4.30632e-11 1.31541e-09 4.88749e-06
1.80430e+03 1.12937e+10 5.69360e+29 1.36366e+01 7.76414e+30 1.53420e+06 1.03718e-16 9.81452e-06 2.45898e-08 1.00000e-20 5.81485e-03 1.04438e-07 1.60911e-10 7.10960e-04 3.75880e-05 4.70445e-03 1.56975e-05 2.17010e-03 2.21374e-06 3.41181e-04 1.80341e-06 2.83066e-04 2.38658e-09 2.60289e-04 1.39367e-04 8.59939e-02 4.62033e-03 6.03248e-01 1.08696e-02 2.80739e-01 1.16470e-01 1.94471e-04 6.21607e-03 5.74264e-03 1.40064e-05 3.51160e-09 3.21107e-06 4.62041e-07 1.22922e-05 6.06890e-05 3.49397e-03 1.79875e-02 0.00000e+00 1.08170e-06 1.11602e-03 4.57554e-06 1.97277e-07 7.06668e-11 1.90025e-16 2.72998e-13 3.87900e-14 4.30632e-11 1.31541e-09 4.88749e-06
