### SNIa toy model generated with mk_snia_toy_model.py version 2022-10-02
#
## Adopted constants:
#
# MSUN = 1.98900000e+33 g
# 56Ni half-life THALF_56NI = 6.07500000e+00 day
# 56Co half-life THALF_56CO = 7.72360000e+01 day
# Energy per 56Ni decay EDECAY_56NI = 1.72060000e+00 MeV
# Energy per 56Co decay EDECAY_56CO = 3.60720000e+00 MeV
#
## Ejecta parameters (actual vs. requested):
#
# Mtot = 9.9990e-01 Msun (1.0000e+00 requested)
# Ekin = 9.9817e+50 erg (1.0000e+51 requested)
# nzones =  202 ; cell size dvel = 2.0000e+02 km/s ; Vmax = 4.0300e+04 km/s
# density profile = expon
# time at which radius, temperature and abundances are calculated, tend = 4.1667e-02 DAYS
# M(stable IGE) = 0.0000e+00 Msun (0.0000e+00 requested) with relative (Ni, Fe) fractions = 1.0000e-01, 9.0000e-01
# M(56Ni,t=0) = 5.9995e-01 Msun (6.0000e-01 requested)
# M(IME) = 3.9995e-01 Msun (4.0000e-01 requested); IMEs = Ca, S, Si with relative fractions = 0.1, 0.35, 0.55
# M(unburnt C/O) = 0.0000e+00 Msun with relative (O, C) fractions = 5.0000e-01, 5.0000e-01
# dM(IGE,56Ni,IME) = 0.0000e+00, 4.0000e-01, 0.0000e+00 Msun; transition profile = cosine
# 56Ni-weighted average column density=4.3554e+14 g cm^-2 s^2; t0_gamma=3.8192e+01 day
#
# COLUMNS:
#
# (1) zone index
# (2) velocity at zone center [km/s]
# (3) zone mass [Msun]
# (4) Lagrangian mass coordinate (corresponding to outer zone boundary) [Msun]
# (5) stable IGE (Fe) mass fraction at t=0
# (6) 56Ni mass fraction at t=0
# (7) IME mass fraction
# (8) Ti mass fraction
# (9) unburnt C+O mass fraction
# (10) radius at zone center [cm] = velocity * time_since_explosion (homologous expansion)
# (11) mean density over zone [g/cm^3] (*not* density at zone center)
# (12) temperature [K]
# (13)-(21) mass fractions
#
# NOTES ON MASS FRACTIONS:
#
# !!! All mass fractions are given at tend = 4.1667e-02 DAYS !!!
# (apart from IGE & 56Ni mass fractions in columns (5) and (6) which are at t=0)
#
# (8) X_Ti only appears in this column (no duplicate entry in columns (13)-(21))
# (14) X_Ni includes X_56Ni
# (15) X_Co = X_56Co
# (16) X_Fe includes 56Fe from 56Co decay
#
#idx vel[km/s]  dmass[Msun] mass[Msun] X_IGE0     X_56Ni0    X_IME      X_Ti       X_CO       rad[cm]    dens[gcc]  temp[K]    X_56Ni     X_Ni       X_Co       X_Fe       X_Ca       X_S        X_Si       X_O        X_C       
#(1) (2)        (3)        (4)        (5)        (6)        (7)        (8)        (9)        (10)       (11)       (12)       (13)       (14)       (15)       (16)       (17)       (18)       (19)       (20)       (21)      
   1 1.0000e+02 5.2198e-05 5.2198e-05 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.6000e+10 6.6405e-05 8.8646e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   2 3.0000e+02 3.4440e-04 3.9660e-04 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0800e+11 6.2592e-05 8.7345e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   3 5.0000e+02 8.7491e-04 1.2715e-03 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8000e+11 5.8581e-05 8.5911e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   4 7.0000e+02 1.5921e-03 2.8636e-03 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5200e+11 5.4741e-05 8.4467e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   5 9.0000e+02 2.4513e-03 5.3149e-03 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.2400e+11 5.1123e-05 8.3035e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   6 1.1000e+03 3.4143e-03 8.7292e-03 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.9600e+11 4.7732e-05 8.1623e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   7 1.3000e+03 4.4484e-03 1.3178e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.6800e+11 4.4560e-05 8.0231e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   8 1.5000e+03 5.5256e-03 1.8703e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.4000e+11 4.1595e-05 7.8862e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   9 1.7000e+03 6.6226e-03 2.5326e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.1200e+11 3.8825e-05 7.7515e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  10 1.9000e+03 7.7195e-03 3.3045e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.8400e+11 3.6238e-05 7.6190e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  11 2.1000e+03 8.8002e-03 4.1846e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.5600e+11 3.3823e-05 7.4888e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  12 2.3000e+03 9.8513e-03 5.1697e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.2800e+11 3.1568e-05 7.3607e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  13 2.5000e+03 1.0862e-02 6.2559e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.0000e+11 2.9463e-05 7.2348e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  14 2.7000e+03 1.1823e-02 7.4382e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.7200e+11 2.7498e-05 7.1110e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  15 2.9000e+03 1.2729e-02 8.7111e-02 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0440e+12 2.5664e-05 6.9894e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  16 3.1000e+03 1.3575e-02 1.0069e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1160e+12 2.3952e-05 6.8698e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  17 3.3000e+03 1.4356e-02 1.1504e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1880e+12 2.2354e-05 6.7522e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  18 3.5000e+03 1.5071e-02 1.3011e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2600e+12 2.0862e-05 6.6366e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  19 3.7000e+03 1.5718e-02 1.4583e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3320e+12 1.9470e-05 6.5230e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  20 3.9000e+03 1.6297e-02 1.6213e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4040e+12 1.8171e-05 6.4114e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  21 4.1000e+03 1.6809e-02 1.7894e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4760e+12 1.6958e-05 6.3016e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  22 4.3000e+03 1.7255e-02 1.9619e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5480e+12 1.5827e-05 6.1938e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  23 4.5000e+03 1.7636e-02 2.1383e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6200e+12 1.4771e-05 6.0877e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  24 4.7000e+03 1.7955e-02 2.3178e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6920e+12 1.3785e-05 5.9835e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  25 4.9000e+03 1.8212e-02 2.5000e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7640e+12 1.2865e-05 5.8811e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  26 5.1000e+03 1.8413e-02 2.6841e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8360e+12 1.2006e-05 5.7804e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  27 5.3000e+03 1.8558e-02 2.8697e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9080e+12 1.1205e-05 5.6814e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  28 5.5000e+03 1.8651e-02 3.0562e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9800e+12 1.0457e-05 5.5842e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  29 5.7000e+03 1.8695e-02 3.2431e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0520e+12 9.7590e-06 5.4886e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  30 5.9000e+03 1.8692e-02 3.4300e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1240e+12 9.1077e-06 5.3946e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  31 6.1000e+03 1.8647e-02 3.6165e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1960e+12 8.4998e-06 5.3022e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  32 6.3000e+03 1.8563e-02 3.8021e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2680e+12 7.9324e-06 5.2115e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  33 6.5000e+03 1.8441e-02 3.9865e-01 0.0000e+00 1.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3400e+12 7.4029e-06 5.1222e+05 9.9526e-01 9.9526e-01 4.7419e-03 8.8734e-07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
  34 6.7000e+03 1.8285e-02 4.1694e-01 0.0000e+00 9.9862e-01 1.3772e-03 0.0000e+00 0.0000e+00 2.4120e+12 6.9088e-06 5.0328e+05 9.9389e-01 9.9389e-01 4.7354e-03 8.8612e-07 1.3772e-04 4.8203e-04 7.5748e-04 0.0000e+00 0.0000e+00
  35 6.9000e+03 1.8099e-02 4.3504e-01 0.0000e+00 9.8917e-01 1.0831e-02 0.0000e+00 0.0000e+00 2.4840e+12 6.4477e-06 4.9349e+05 9.8448e-01 9.8448e-01 4.6906e-03 8.7773e-07 1.0831e-03 3.7909e-03 5.9571e-03 0.0000e+00 0.0000e+00
  36 7.1000e+03 1.7884e-02 4.5292e-01 0.0000e+00 9.7001e-01 2.9985e-02 0.0000e+00 0.0000e+00 2.5560e+12 6.0173e-06 4.8267e+05 9.6541e-01 9.6541e-01 4.5997e-03 8.6073e-07 2.9985e-03 1.0495e-02 1.6492e-02 0.0000e+00 0.0000e+00
  37 7.3000e+03 1.7643e-02 4.7056e-01 0.0000e+00 9.4191e-01 5.8091e-02 0.0000e+00 0.0000e+00 2.6280e+12 5.6156e-06 4.7093e+05 9.3744e-01 9.3744e-01 4.4665e-03 8.3580e-07 5.8091e-03 2.0332e-02 3.1950e-02 0.0000e+00 0.0000e+00
  38 7.5000e+03 1.7380e-02 4.8794e-01 0.0000e+00 9.0579e-01 9.4208e-02 0.0000e+00 0.0000e+00 2.7000e+12 5.2408e-06 4.5837e+05 9.0150e-01 9.0150e-01 4.2952e-03 8.0375e-07 9.4208e-03 3.2973e-02 5.1814e-02 0.0000e+00 0.0000e+00
  39 7.7000e+03 1.7097e-02 5.0504e-01 0.0000e+00 8.6275e-01 1.3725e-01 0.0000e+00 0.0000e+00 2.7720e+12 4.8909e-06 4.4507e+05 8.5866e-01 8.5866e-01 4.0911e-03 7.6555e-07 1.3725e-02 4.8038e-02 7.5489e-02 0.0000e+00 0.0000e+00
  40 7.9000e+03 1.6795e-02 5.2184e-01 0.0000e+00 8.1396e-01 1.8604e-01 0.0000e+00 0.0000e+00 2.8440e+12 4.5645e-06 4.3113e+05 8.1010e-01 8.1010e-01 3.8597e-03 7.2226e-07 1.8604e-02 6.5115e-02 1.0232e-01 0.0000e+00 0.0000e+00
  41 8.1000e+03 1.6478e-02 5.3831e-01 0.0000e+00 7.6065e-01 2.3935e-01 0.0000e+00 0.0000e+00 2.9160e+12 4.2598e-06 4.1663e+05 7.5704e-01 7.5704e-01 3.6069e-03 6.7495e-07 2.3935e-02 8.3773e-02 1.3164e-01 0.0000e+00 0.0000e+00
  42 8.3000e+03 1.6146e-02 5.5446e-01 0.0000e+00 7.0405e-01 2.9595e-01 0.0000e+00 0.0000e+00 2.9880e+12 3.9754e-06 4.0166e+05 7.0071e-01 7.0071e-01 3.3386e-03 6.2474e-07 2.9595e-02 1.0358e-01 1.6277e-01 0.0000e+00 0.0000e+00
  43 8.5000e+03 1.5803e-02 5.7026e-01 0.0000e+00 6.4538e-01 3.5462e-01 0.0000e+00 0.0000e+00 3.0600e+12 3.7101e-06 3.8628e+05 6.4232e-01 6.4232e-01 3.0603e-03 5.7267e-07 3.5462e-02 1.2412e-01 1.9504e-01 0.0000e+00 0.0000e+00
  44 8.7000e+03 1.5451e-02 5.8571e-01 0.0000e+00 5.8576e-01 4.1424e-01 0.0000e+00 0.0000e+00 3.1320e+12 3.4624e-06 3.7058e+05 5.8298e-01 5.8298e-01 2.7776e-03 5.1977e-07 4.1424e-02 1.4498e-01 2.2783e-01 0.0000e+00 0.0000e+00
  45 8.9000e+03 1.5090e-02 6.0080e-01 0.0000e+00 5.2624e-01 4.7376e-01 0.0000e+00 0.0000e+00 3.2040e+12 3.2313e-06 3.5461e+05 5.2375e-01 5.2375e-01 2.4954e-03 4.6696e-07 4.7376e-02 1.6581e-01 2.6057e-01 0.0000e+00 0.0000e+00
  46 9.1000e+03 1.4723e-02 6.1553e-01 0.0000e+00 4.6778e-01 5.3222e-01 0.0000e+00 0.0000e+00 3.2760e+12 3.0156e-06 3.3842e+05 4.6556e-01 4.6556e-01 2.2182e-03 4.1508e-07 5.3222e-02 1.8628e-01 2.9272e-01 0.0000e+00 0.0000e+00
  47 9.3000e+03 1.4350e-02 6.2988e-01 0.0000e+00 4.1117e-01 5.8883e-01 0.0000e+00 0.0000e+00 3.3480e+12 2.8143e-06 3.2207e+05 4.0922e-01 4.0922e-01 1.9498e-03 3.6485e-07 5.8883e-02 2.0609e-01 3.2386e-01 0.0000e+00 0.0000e+00
  48 9.5000e+03 1.3975e-02 6.4385e-01 0.0000e+00 3.5713e-01 6.4287e-01 0.0000e+00 0.0000e+00 3.4200e+12 2.6264e-06 3.0560e+05 3.5543e-01 3.5543e-01 1.6935e-03 3.1690e-07 6.4287e-02 2.2500e-01 3.5358e-01 0.0000e+00 0.0000e+00
  49 9.7000e+03 1.3597e-02 6.5745e-01 0.0000e+00 3.0621e-01 6.9379e-01 0.0000e+00 0.0000e+00 3.4920e+12 2.4511e-06 2.8904e+05 3.0476e-01 3.0476e-01 1.4520e-03 2.7171e-07 6.9379e-02 2.4283e-01 3.8158e-01 0.0000e+00 0.0000e+00
  50 9.9000e+03 1.3218e-02 6.7067e-01 0.0000e+00 2.5886e-01 7.4114e-01 0.0000e+00 0.0000e+00 3.5640e+12 2.2875e-06 2.7240e+05 2.5763e-01 2.5763e-01 1.2275e-03 2.2970e-07 7.4114e-02 2.5940e-01 4.0763e-01 0.0000e+00 0.0000e+00
  51 1.0100e+04 1.2839e-02 6.8351e-01 0.0000e+00 2.1540e-01 7.8460e-01 0.0000e+00 0.0000e+00 3.6360e+12 2.1348e-06 2.5572e+05 2.1438e-01 2.1438e-01 1.0214e-03 1.9113e-07 7.8460e-02 2.7461e-01 4.3153e-01 0.0000e+00 0.0000e+00
  52 1.0300e+04 1.2461e-02 6.9597e-01 0.0000e+00 1.7604e-01 8.2396e-01 0.0000e+00 0.0000e+00 3.7080e+12 1.9923e-06 2.3897e+05 1.7521e-01 1.7521e-01 8.3479e-04 1.5621e-07 8.2396e-02 2.8838e-01 4.5318e-01 0.0000e+00 0.0000e+00
  53 1.0500e+04 1.2085e-02 7.0805e-01 0.0000e+00 1.4091e-01 8.5909e-01 0.0000e+00 0.0000e+00 3.7800e+12 1.8593e-06 2.2217e+05 1.4024e-01 1.4024e-01 6.6819e-04 1.2504e-07 8.5909e-02 3.0068e-01 4.7250e-01 0.0000e+00 0.0000e+00
