#NTIMES 4
#NVEL 20
#TIMES[d] 100 200 300 400
#Vel_mid[km/s], ne_t1 [erg/s/cm3] ne_t2 ...
2.500000e+02 1.550000e+00 1.610000e+00 1.600000e+00 1.540000e+00
7.500000e+02 1.570000e+00 1.640000e+00 1.630000e+00 1.570000e+00
1.250000e+03 1.580000e+00 1.660000e+00 1.650000e+00 1.600000e+00
1.750000e+03 1.580000e+00 1.660000e+00 1.660000e+00 1.610000e+00
2.250000e+03 1.560000e+00 1.630000e+00 1.630000e+00 1.590000e+00
2.750000e+03 1.500000e+00 1.570000e+00 1.570000e+00 1.520000e+00
3.250000e+03 1.430000e+00 1.480000e+00 1.460000e+00 1.400000e+00
3.750000e+03 1.360000e+00 1.380000e+00 1.310000e+00 1.250000e+00
4.250000e+03 1.310000e+00 1.260000e+00 1.150000e+00 1.080000e+00
4.750000e+03 1.300000e+00 1.210000e+00 1.070000e+00 9.170000e-01
5.250000e+03 1.280000e+00 1.190000e+00 1.050000e+00 8.740000e-01
5.750000e+03 1.270000e+00 1.180000e+00 1.040000e+00 8.480000e-01
6.250000e+03 1.260000e+00 1.180000e+00 1.040000e+00 8.340000e-01
6.750000e+03 1.260000e+00 1.170000e+00 1.040000e+00 8.240000e-01
7.250000e+03 1.270000e+00 1.180000e+00 1.040000e+00 8.210000e-01
7.750000e+03 1.270000e+00 1.180000e+00 1.050000e+00 8.190000e-01
8.250000e+03 1.280000e+00 1.190000e+00 1.060000e+00 8.160000e-01
8.750000e+03 1.290000e+00 1.200000e+00 1.070000e+00 8.070000e-01
9.250000e+03 1.300000e+00 1.210000e+00 1.080000e+00 7.610000e-01
9.750000e+03 1.300000e+00 1.220000e+00 1.090000e+00 6.660000e-01
