#NTIMES: 257
#NSTAGES: 6
#TIMES[d]: 2.200 2.420 2.662 2.928 3.221 3.543 3.897 4.287 4.716 5.187 5.706 6.277 6.905 7.595 8.354 9.190 10.109 11.109 12.109 13.109 14.109 15.109 16.109 17.109 18.109 19.109 20.109 21.109 22.109 23.109 24.109 25.109 26.109 27.109 28.109 29.109 30.109 31.109 32.109 33.109 34.109 35.109 36.109 37.109 38.109 39.109 40.109 41.109 42.109 43.109 44.109 45.109 46.109 47.109 48.109 49.109 50.109 51.109 52.109 53.109 54.109 55.109 56.109 57.109 58.109 59.109 60.109 61.109 62.109 63.109 64.109 65.109 66.109 67.109 68.109 69.109 70.109 71.109 72.109 73.109 74.109 75.109 76.109 77.109 78.109 79.109 80.109 81.109 82.109 83.109 84.109 85.109 86.109 87.109 88.109 89.109 90.109 91.109 92.109 93.109 94.109 95.109 96.109 97.109 98.109 99.109 100.109 101.109 102.109 103.109 104.109 105.109 106.109 107.109 108.109 109.109 110.109 111.109 112.109 113.109 114.109 115.109 116.109 117.109 118.109 119.109 120.109 121.109 122.109 123.109 124.109 125.109 126.109 127.109 128.109 129.109 130.109 131.109 132.109 133.109 134.109 135.109 136.109 137.109 138.109 139.109 140.109 141.109 142.109 143.109 144.109 145.109 146.109 147.109 148.109 149.109 150.109 151.109 152.109 153.109 154.109 155.109 156.109 157.109 158.109 159.109 160.109 161.109 162.109 163.109 164.109 165.109 166.109 167.109 168.109 169.109 170.109 171.109 172.109 173.109 174.109 175.109 176.109 177.109 178.109 179.109 180.109 181.109 182.109 183.109 184.109 185.109 186.109 187.109 188.109 189.109 190.109 191.109 192.109 193.109 194.109 195.109 196.109 197.109 198.109 199.109 200.109 201.109 202.109 203.109 204.109 205.109 206.109 207.109 208.109 209.109 210.109 211.109 212.109 213.109 214.109 215.109 216.109 217.109 218.109 219.109 220.109 221.109 222.109 223.109 224.109 225.109 226.109 227.109 228.109 229.109 230.109 231.109 232.109 233.109 234.109 235.109 236.109 237.109 238.109 239.109 240.109 241.109 242.109 243.109 244.109 245.109 246.109 247.109 248.109 249.109 250.109 
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] Ca0 Ca1 Ca2 Ca3 Ca4 Ca5
2.500e+07 3.242952e-37 6.422064e-28 9.344510e-21 7.701324e-13 1.181861e-05 9.999882e-01
7.500e+07 4.443647e-37 9.242376e-28 1.267955e-20 9.647868e-13 1.327990e-05 9.999867e-01
1.250e+08 7.011190e-37 1.524144e-27 1.922646e-20 1.317351e-12 1.569578e-05 9.999843e-01
1.750e+08 1.552653e-36 3.397167e-27 3.701930e-20 2.149515e-12 2.050193e-05 9.999795e-01
2.250e+08 7.352115e-36 1.483084e-26 1.214541e-19 5.213980e-12 3.332422e-05 9.999667e-01
2.750e+08 1.383635e-34 2.231251e-25 1.081003e-18 2.719766e-11 8.285550e-05 9.999171e-01
3.250e+08 2.409091e-32 2.636450e-23 5.540424e-17 5.873582e-10 4.562213e-04 9.995438e-01
3.750e+08 1.303013e-27 6.232864e-19 3.637464e-13 5.758627e-07 2.014125e-02 9.798582e-01
4.250e+08 5.356698e-17 2.641356e-09 4.779722e-04 4.257556e-01 5.736532e-01 1.132726e-04
4.750e+08 4.939363e-04 9.987254e-01 7.806446e-04 2.895870e-45 1.535143e-103 2.936586e-180
5.250e+08 4.241871e-04 9.986669e-01 9.088998e-04 3.925814e-45 2.423191e-103 5.397213e-180
5.750e+08 3.636509e-04 9.985763e-01 1.060010e-03 5.340193e-45 3.844573e-103 9.987653e-180
6.250e+08 3.112547e-04 9.984506e-01 1.238139e-03 7.286693e-45 6.128239e-103 1.859795e-179
6.750e+08 2.660390e-04 9.982859e-01 1.448094e-03 9.969118e-45 9.807558e-103 3.481683e-179
7.250e+08 2.271280e-04 9.980774e-01 1.695469e-03 1.366891e-44 1.574788e-102 6.546880e-179
7.750e+08 1.937317e-04 9.978196e-01 1.986715e-03 1.877316e-44 2.535031e-102 1.235246e-178
8.250e+08 1.651246e-04 9.975054e-01 2.329437e-03 2.581695e-44 4.088868e-102 2.336821e-178
8.750e+08 1.406716e-04 9.971270e-01 2.732289e-03 3.553211e-44 6.603278e-102 4.428150e-178
9.250e+08 1.197994e-04 9.966748e-01 3.205416e-03 4.892531e-44 1.067154e-101 8.399326e-178
9.750e+08 1.020130e-04 9.961377e-01 3.760239e-03 6.736431e-44 1.724600e-101 1.593203e-177
