#NTIMES: 257
#NSTAGES: 6
#TIMES[d]: 2.200 2.420 2.662 2.928 3.221 3.543 3.897 4.287 4.716 5.187 5.706 6.277 6.905 7.595 8.354 9.190 10.109 11.109 12.109 13.109 14.109 15.109 16.109 17.109 18.109 19.109 20.109 21.109 22.109 23.109 24.109 25.109 26.109 27.109 28.109 29.109 30.109 31.109 32.109 33.109 34.109 35.109 36.109 37.109 38.109 39.109 40.109 41.109 42.109 43.109 44.109 45.109 46.109 47.109 48.109 49.109 50.109 51.109 52.109 53.109 54.109 55.109 56.109 57.109 58.109 59.109 60.109 61.109 62.109 63.109 64.109 65.109 66.109 67.109 68.109 69.109 70.109 71.109 72.109 73.109 74.109 75.109 76.109 77.109 78.109 79.109 80.109 81.109 82.109 83.109 84.109 85.109 86.109 87.109 88.109 89.109 90.109 91.109 92.109 93.109 94.109 95.109 96.109 97.109 98.109 99.109 100.109 101.109 102.109 103.109 104.109 105.109 106.109 107.109 108.109 109.109 110.109 111.109 112.109 113.109 114.109 115.109 116.109 117.109 118.109 119.109 120.109 121.109 122.109 123.109 124.109 125.109 126.109 127.109 128.109 129.109 130.109 131.109 132.109 133.109 134.109 135.109 136.109 137.109 138.109 139.109 140.109 141.109 142.109 143.109 144.109 145.109 146.109 147.109 148.109 149.109 150.109 151.109 152.109 153.109 154.109 155.109 156.109 157.109 158.109 159.109 160.109 161.109 162.109 163.109 164.109 165.109 166.109 167.109 168.109 169.109 170.109 171.109 172.109 173.109 174.109 175.109 176.109 177.109 178.109 179.109 180.109 181.109 182.109 183.109 184.109 185.109 186.109 187.109 188.109 189.109 190.109 191.109 192.109 193.109 194.109 195.109 196.109 197.109 198.109 199.109 200.109 201.109 202.109 203.109 204.109 205.109 206.109 207.109 208.109 209.109 210.109 211.109 212.109 213.109 214.109 215.109 216.109 217.109 218.109 219.109 220.109 221.109 222.109 223.109 224.109 225.109 226.109 227.109 228.109 229.109 230.109 231.109 232.109 233.109 234.109 235.109 236.109 237.109 238.109 239.109 240.109 241.109 242.109 243.109 244.109 245.109 246.109 247.109 248.109 249.109 250.109 
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] Ni0 Ni1 Ni2 Ni3 Ni4 Ni5
2.500e+07 5.476925e-39 1.040543e-29 7.075898e-21 1.163820e-12 3.544611e-05 9.999646e-01
7.500e+07 6.777527e-39 1.332904e-29 9.060859e-21 1.430177e-12 3.985160e-05 9.999601e-01
1.250e+08 9.455038e-39 1.910103e-29 1.279800e-20 1.897726e-12 4.688002e-05 9.999531e-01
1.750e+08 1.801503e-38 3.587442e-29 2.255470e-20 2.965168e-12 6.043996e-05 9.999396e-01
2.250e+08 6.923766e-38 1.235690e-28 6.518059e-20 6.666118e-12 9.536685e-05 9.999046e-01
2.750e+08 9.371784e-37 1.280630e-27 4.687393e-19 2.971339e-11 2.214302e-04 9.997786e-01
3.250e+08 9.097991e-35 7.856339e-26 1.554655e-17 4.413600e-10 1.035184e-03 9.989648e-01
3.750e+08 1.433327e-30 4.779054e-22 2.837887e-14 1.597346e-07 2.973593e-02 9.702639e-01
4.250e+08 5.768921e-21 1.854269e-13 6.141782e-07 2.241864e-02 9.770128e-01 5.679253e-04
4.750e+08 1.298702e-01 8.701298e-01 1.026490e-09 7.100332e-36 4.666040e-82 7.939637e-151
5.250e+08 1.136206e-01 8.863794e-01 1.217527e-09 9.805966e-36 7.503231e-82 1.486581e-150
5.750e+08 9.901927e-02 9.009807e-01 1.443470e-09 1.355979e-35 1.210164e-81 2.796518e-150
6.250e+08 8.598875e-02 9.140112e-01 1.710637e-09 1.877228e-35 1.957142e-81 5.283359e-150
6.750e+08 7.443831e-02 9.255617e-01 2.026332e-09 2.601171e-35 3.172292e-81 1.001751e-149
7.250e+08 6.426300e-02 9.357370e-01 2.399071e-09 3.606494e-35 5.150784e-81 1.904776e-149
7.750e+08 5.535032e-02 9.446497e-01 2.838689e-09 5.001702e-35 8.372668e-81 3.629044e-149
8.250e+08 4.758013e-02 9.524199e-01 3.356817e-09 6.937130e-35 1.362003e-80 6.924024e-149
8.750e+08 4.083658e-02 9.591634e-01 3.966726e-09 9.618887e-35 2.215968e-80 1.321857e-148
9.250e+08 3.500476e-02 9.649952e-01 4.684029e-09 1.333113e-34 3.604627e-80 2.523691e-148
9.750e+08 2.997905e-02 9.700209e-01 5.526380e-09 1.846092e-34 5.858843e-80 4.814518e-148
1.025e+09 2.565786e-02 9.743421e-01 6.514768e-09 2.554108e-34 9.513180e-80 9.174756e-148
1.075e+09 2.195142e-02 9.780486e-01 7.672812e-09 3.529406e-34 1.542392e-79 1.745301e-147
1.125e+09 1.877733e-02 9.812227e-01 9.028129e-09 4.870582e-34 2.496376e-79 3.313001e-147
1.175e+09 1.606110e-02 9.839389e-01 1.061347e-08 6.712738e-34 4.033555e-79 6.275650e-147
1.225e+09 1.373953e-02 9.862605e-01 1.246545e-08 9.237981e-34 6.504176e-79 1.185741e-146
1.275e+09 1.175576e-02 9.882442e-01 1.462765e-08 1.269514e-33 1.046759e-78 2.234798e-146
1.325e+09 1.006061e-02 9.899394e-01 1.715099e-08 1.742300e-33 1.681522e-78 4.202083e-146
1.375e+09 8.611923e-03 9.913881e-01 2.009480e-08 2.388232e-33 2.696593e-78 7.883821e-146
1.425e+09 7.372952e-03 9.926270e-01 2.353029e-08 3.270553e-33 4.318783e-78 1.476671e-145
1.475e+09 6.312966e-03 9.936870e-01 2.753989e-08 4.475358e-33 6.909384e-78 2.762061e-145
1.525e+09 5.405554e-03 9.945944e-01 3.222168e-08 6.120731e-33 1.104599e-77 5.161644e-145
1.575e+09 4.627904e-03 9.953721e-01 3.769493e-08 8.370153e-33 1.765753e-77 9.645145e-145
1.625e+09 3.961350e-03 9.960386e-01 4.409665e-08 1.144690e-32 2.823035e-77 1.802715e-144
1.675e+09 3.389458e-03 9.966105e-01 5.159612e-08 1.566252e-32 4.517022e-77 3.373069e-144
1.725e+09 2.898783e-03 9.971012e-01 6.038918e-08 2.144529e-32 7.235206e-77 6.320511e-144
1.775e+09 2.477589e-03 9.975223e-01 7.071515e-08 2.939376e-32 1.160764e-76 1.186903e-143
1.825e+09 2.116107e-03 9.978838e-01 8.285500e-08 4.033763e-32 1.865727e-76 2.234437e-143
1.875e+09 1.805903e-03 9.981940e-01 9.714755e-08 5.543725e-32 3.005505e-76 4.219060e-143
1.925e+09 1.539930e-03 9.984600e-01 1.139874e-07 7.630202e-32 4.852452e-76 7.990406e-143
1.975e+09 1.311977e-03 9.986879e-01 1.338535e-07 1.051919e-31 7.853827e-76 1.518317e-142
2.025e+09 1.116781e-03 9.988831e-01 1.573105e-07 1.452626e-31 1.274372e-75 2.894814e-142
2.075e+09 9.498275e-04 9.990500e-01 1.850232e-07 2.009176e-31 2.072792e-75 5.537020e-142
2.125e+09 8.071726e-04 9.991926e-01 2.177852e-07 2.783304e-31 3.379394e-75 1.062428e-141
2.175e+09 6.854049e-04 9.993143e-01 2.565391e-07 3.861515e-31 5.522149e-75 2.044753e-141
2.225e+09 5.816109e-04 9.994181e-01 3.023837e-07 5.364415e-31 9.041332e-75 3.945707e-141
2.275e+09 4.932164e-04 9.995064e-01 3.566401e-07 7.461525e-31 1.483102e-74 7.633031e-141
2.325e+09 4.180274e-04 9.995816e-01 4.208508e-07 1.038941e-30 2.436688e-74 1.479760e-140
2.375e+09 3.541322e-04 9.996454e-01 4.968474e-07 1.447948e-30 4.008934e-74 2.874004e-140
2.425e+09 2.998723e-04 9.996995e-01 5.868121e-07 2.019675e-30 6.604046e-74 5.591406e-140
2.475e+09 2.538279e-04 9.997455e-01 6.933236e-07 2.819262e-30 1.089133e-73 1.089454e-139
2.525e+09 2.147783e-04 9.997844e-01 8.194429e-07 3.938075e-30 1.798023e-73 2.125637e-139
2.575e+09 1.817004e-04 9.998173e-01 9.686837e-07 5.502958e-30 2.970000e-73 4.150488e-139
2.625e+09 1.536693e-04 9.998452e-01 1.145446e-06 7.694311e-30 4.910330e-73 8.113983e-139
2.675e+09 1.299290e-04 9.998687e-01 1.354804e-06 1.076373e-29 8.124471e-73 1.587852e-138
2.725e+09 1.098278e-04 9.998886e-01 1.602830e-06 1.506524e-29 1.345274e-72 3.110482e-138
2.775e+09 9.281201e-05 9.999053e-01 1.896749e-06 2.109667e-29 2.229277e-72 6.099533e-138
2.825e+09 7.841299e-05 9.999193e-01 2.245114e-06 2.955729e-29 3.696894e-72 1.197269e-137
2.875e+09 6.622959e-05 9.999311e-01 2.658181e-06 4.143352e-29 6.135716e-72 2.352670e-137
2.925e+09 5.592196e-05 9.999409e-01 3.148203e-06 5.811711e-29 1.019275e-71 4.628722e-137
2.975e+09 4.720498e-05 9.999491e-01 3.729618e-06 8.156499e-29 1.694686e-71 9.117108e-137
3.025e+09 3.983697e-05 9.999557e-01 4.419485e-06 1.145290e-28 2.819716e-71 1.797536e-136
3.075e+09 3.360803e-05 9.999612e-01 5.238654e-06 1.609197e-28 4.696179e-71 3.548645e-136
3.125e+09 2.834520e-05 9.999654e-01 6.211363e-06 2.262256e-28 7.827852e-71 7.013356e-136
3.175e+09 2.390046e-05 9.999687e-01 7.366530e-06 3.181943e-28 1.305774e-70 1.387477e-135
3.225e+09 2.014855e-05 9.999711e-01 8.738311e-06 4.477344e-28 2.179513e-70 2.747140e-135
3.275e+09 1.698124e-05 9.999727e-01 1.036820e-05 6.303351e-28 3.640706e-70 5.444804e-135
3.325e+09 1.430866e-05 9.999734e-01 1.230480e-05 8.877962e-28 6.085527e-70 1.080104e-134
3.375e+09 1.205451e-05 9.999733e-01 1.460575e-05 1.250870e-27 1.017762e-69 2.144189e-134
3.425e+09 1.015372e-05 9.999725e-01 1.733993e-05 1.763029e-27 1.703012e-69 4.259496e-134
3.475e+09 8.551200e-06 9.999709e-01 2.058942e-05 2.485728e-27 2.851080e-69 8.467348e-134
3.525e+09 7.200695e-06 9.999683e-01 2.445088e-05 3.505547e-27 4.774886e-69 1.684041e-133
3.575e+09 6.062992e-06 9.999649e-01 2.903882e-05 4.944541e-27 7.998695e-69 3.350385e-133
3.625e+09 5.104272e-06 9.999604e-01 3.449278e-05 6.976322e-27 1.340513e-68 6.669567e-133
3.675e+09 4.296862e-06 9.999547e-01 4.097375e-05 9.844283e-27 2.247028e-68 1.328052e-132
3.725e+09 3.617100e-06 9.999477e-01 4.867326e-05 1.389174e-26 3.766766e-68 2.644619e-132
3.775e+09 3.044510e-06 9.999391e-01 5.782640e-05 1.960793e-26 6.316598e-68 5.268866e-132
3.825e+09 2.562494e-06 9.999287e-01 6.870237e-05 2.767752e-26 1.059324e-67 1.049815e-131
3.875e+09 2.156620e-06 9.999162e-01 8.163003e-05 3.907412e-26 1.776947e-67 2.092388e-131
3.925e+09 1.815020e-06 9.999012e-01 9.699051e-05 5.516382e-26 2.980750e-67 4.170413e-131
3.975e+09 1.527491e-06 9.998832e-01 1.152435e-04 7.788190e-26 5.000376e-67 8.312874e-131
4.025e+09 1.285490e-06 9.998618e-01 1.369329e-04 1.099584e-25 8.388706e-67 1.657082e-130
#TIME: 2.420000
#NVEL: 81
#vel_mid[km/s] Ni0 Ni1 Ni2 Ni3 Ni4 Ni5
2.500e+07 5.557743e-40 1.557328e-30 1.612365e-21 4.191784e-13 2.106345e-05 9.999789e-01
7.500e+07 2.326631e-39 5.836933e-30 4.995147e-21 9.774240e-13 3.315058e-05 9.999668e-01
1.250e+08 4.715833e-39 1.164172e-29 9.281695e-21 1.588269e-12 4.357533e-05 9.999564e-01
1.750e+08 1.225815e-38 2.881793e-29 2.060940e-20 2.953481e-12 6.199789e-05 9.999380e-01
2.250e+08 7.480562e-38 1.499760e-28 8.436036e-20 8.668248e-12 1.140525e-04 9.998859e-01
2.750e+08 1.930693e-36 2.789073e-27 1.004526e-18 5.759989e-11 3.348581e-04 9.996651e-01
3.250e+08 7.828845e-34 6.223921e-25 1.024483e-16 2.102603e-09 2.631013e-03 9.973690e-01
3.750e+08 1.274218e-28 3.196970e-20 1.272899e-12 3.498624e-06 1.670481e-01 8.329484e-01
4.250e+08 3.616413e-19 8.896391e-12 1.771247e-05 1.766549e-01 8.233035e-01 2.386813e-05
4.750e+08 7.399627e-11 1.613829e-04 9.484571e-01 5.138148e-02 1.261089e-09 2.949401e-25
5.250e+08 1.033014e-08 5.925004e-03 9.940322e-01 4.283183e-05 1.673035e-17 1.099774e-39
5.750e+08 8.403275e-06 5.753284e-01 4.246632e-01 3.259625e-10 5.141649e-30 2.121225e-62
6.250e+08 5.684168e-04 9.992800e-01 1.515376e-04 5.822291e-21 4.021791e-52 3.241061e-100
6.750e+08 1.526592e-02 9.847340e-01 6.722306e-08 5.828082e-31 1.612574e-72 4.976199e-135
7.250e+08 4.337754e-02 9.566225e-01 4.512503e-09 1.741208e-34 9.342234e-80 1.951301e-147
7.750e+08 1.116267e-02 9.888372e-01 9.334144e-08 1.132324e-30 4.443425e-72 1.973009e-134
