#NTIMES: 257
#NSTAGES: 6
#TIMES[d]: 2.200 2.420 2.662 2.928 3.221 3.543 3.897 4.287 4.716 5.187 5.706 6.277 6.905 7.595 8.354 9.190 10.109 11.109 12.109 13.109 14.109 15.109 16.109 17.109 18.109 19.109 20.109 21.109 22.109 23.109 24.109 25.109 26.109 27.109 28.109 29.109 30.109 31.109 32.109 33.109 34.109 35.109 36.109 37.109 38.109 39.109 40.109 41.109 42.109 43.109 44.109 45.109 46.109 47.109 48.109 49.109 50.109 51.109 52.109 53.109 54.109 55.109 56.109 57.109 58.109 59.109 60.109 61.109 62.109 63.109 64.109 65.109 66.109 67.109 68.109 69.109 70.109 71.109 72.109 73.109 74.109 75.109 76.109 77.109 78.109 79.109 80.109 81.109 82.109 83.109 84.109 85.109 86.109 87.109 88.109 89.109 90.109 91.109 92.109 93.109 94.109 95.109 96.109 97.109 98.109 99.109 100.109 101.109 102.109 103.109 104.109 105.109 106.109 107.109 108.109 109.109 110.109 111.109 112.109 113.109 114.109 115.109 116.109 117.109 118.109 119.109 120.109 121.109 122.109 123.109 124.109 125.109 126.109 127.109 128.109 129.109 130.109 131.109 132.109 133.109 134.109 135.109 136.109 137.109 138.109 139.109 140.109 141.109 142.109 143.109 144.109 145.109 146.109 147.109 148.109 149.109 150.109 151.109 152.109 153.109 154.109 155.109 156.109 157.109 158.109 159.109 160.109 161.109 162.109 163.109 164.109 165.109 166.109 167.109 168.109 169.109 170.109 171.109 172.109 173.109 174.109 175.109 176.109 177.109 178.109 179.109 180.109 181.109 182.109 183.109 184.109 185.109 186.109 187.109 188.109 189.109 190.109 191.109 192.109 193.109 194.109 195.109 196.109 197.109 198.109 199.109 200.109 201.109 202.109 203.109 204.109 205.109 206.109 207.109 208.109 209.109 210.109 211.109 212.109 213.109 214.109 215.109 216.109 217.109 218.109 219.109 220.109 221.109 222.109 223.109 224.109 225.109 226.109 227.109 228.109 229.109 230.109 231.109 232.109 233.109 234.109 235.109 236.109 237.109 238.109 239.109 240.109 241.109 242.109 243.109 244.109 245.109 246.109 247.109 248.109 249.109 250.109 
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] Si0 Si1 Si2 Si3 Si4 Si5
2.500e+07 4.047005e-36 3.903063e-26 1.108845e-18 6.624236e-10 8.719267e-04 9.991281e-01
7.500e+07 6.583270e-36 6.554587e-26 1.863111e-18 1.020147e-09 1.448580e-03 9.985514e-01
1.250e+08 1.277219e-35 1.301741e-25 3.651479e-18 1.773281e-09 2.714899e-03 9.972851e-01
1.750e+08 3.634575e-35 3.634795e-25 9.584729e-18 3.836142e-09 6.125380e-03 9.938746e-01
2.250e+08 2.413912e-34 2.148472e-24 4.768419e-17 1.336043e-08 2.054831e-02 9.794517e-01
2.750e+08 6.985004e-33 4.700320e-23 7.290072e-16 1.065294e-07 1.379245e-01 8.620754e-01
3.250e+08 5.562830e-31 2.301166e-21 1.969875e-14 9.554889e-07 8.535172e-01 1.464818e-01
3.750e+08 1.481825e-28 2.177482e-19 6.146826e-13 3.947592e-06 9.999080e-01 8.805835e-05
4.250e+08 1.381806e-21 1.103515e-13 4.139701e-08 2.181882e-03 9.978181e-01 2.566868e-15
4.750e+08 1.469233e-01 8.530767e-01 7.978769e-09 4.414927e-33 1.107546e-69 1.417491e-228
5.250e+08 1.288559e-01 8.711441e-01 9.486933e-09 6.112256e-33 1.785369e-69 2.660569e-228
5.750e+08 1.125453e-01 8.874547e-01 1.127237e-08 8.470799e-33 2.885919e-69 5.016075e-228
6.250e+08 9.792826e-02 9.020717e-01 1.338518e-08 1.175026e-32 4.676504e-69 9.495443e-228
6.750e+08 8.492306e-02 9.150769e-01 1.588327e-08 1.631030e-32 7.593372e-69 1.803547e-227
7.250e+08 7.342824e-02 9.265717e-01 1.883411e-08 2.264911e-32 1.234832e-68 3.434668e-227
7.750e+08 6.333046e-02 9.366695e-01 2.231569e-08 3.145388e-32 2.009966e-68 6.552748e-227
8.250e+08 5.450464e-02 9.454953e-01 2.642017e-08 4.367687e-32 3.273545e-68 1.251714e-226
8.750e+08 4.682793e-02 9.531720e-01 3.125272e-08 6.062396e-32 5.331525e-68 2.392097e-226
9.250e+08 4.017633e-02 9.598236e-01 3.693710e-08 8.409574e-32 8.680325e-68 4.571072e-226
9.750e+08 3.443462e-02 9.655653e-01 4.361323e-08 1.165453e-31 1.411958e-67 8.727081e-226
1.025e+09 2.949073e-02 9.705092e-01 5.144747e-08 1.613497e-31 2.294158e-67 1.664172e-225
1.075e+09 2.524496e-02 9.747550e-01 6.062706e-08 2.230886e-31 3.721681e-67 3.167531e-225
1.125e+09 2.160515e-02 9.783948e-01 7.137091e-08 3.080124e-31 6.026510e-67 6.015666e-225
1.175e+09 1.848757e-02 9.815124e-01 8.393866e-08 4.246862e-31 9.741482e-67 1.139992e-224
1.225e+09 1.582090e-02 9.841790e-01 9.862052e-08 5.846559e-31 1.571390e-66 2.154706e-224
1.275e+09 1.354073e-02 9.864591e-01 1.157621e-07 8.036985e-31 2.529711e-66 4.062269e-224
1.325e+09 1.159122e-02 9.884086e-01 1.357670e-07 1.103295e-30 4.064806e-66 7.640261e-224
1.375e+09 9.924341e-03 9.900755e-01 1.591055e-07 1.512662e-30 6.520027e-66 1.433762e-223
1.425e+09 8.498174e-03 9.915016e-01 1.863423e-07 2.071903e-30 1.044427e-65 2.686005e-223
1.475e+09 7.277604e-03 9.927222e-01 2.181309e-07 2.835611e-30 1.671194e-65 5.024896e-223
1.525e+09 6.232407e-03 9.937673e-01 2.552489e-07 3.878670e-30 2.672099e-65 9.391660e-223
1.575e+09 5.336443e-03 9.946633e-01 2.986418e-07 5.304749e-30 4.271986e-65 1.755153e-222
1.625e+09 4.568306e-03 9.954313e-01 3.493958e-07 7.255442e-30 6.830630e-65 3.280785e-222
1.675e+09 3.909133e-03 9.960905e-01 4.088531e-07 9.928319e-30 1.093037e-64 6.139233e-222
1.725e+09 3.343480e-03 9.966560e-01 4.785664e-07 1.359499e-29 1.750920e-64 1.150466e-221
1.775e+09 2.857856e-03 9.971416e-01 5.604328e-07 1.863503e-29 2.809231e-64 2.160553e-221
1.825e+09 2.441029e-03 9.975583e-01 6.566803e-07 2.557464e-29 4.515603e-64 4.067636e-221
1.875e+09 2.083293e-03 9.979159e-01 7.699948e-07 3.514969e-29 7.274545e-64 7.680869e-221
1.925e+09 1.776538e-03 9.982226e-01 9.035050e-07 4.838086e-29 1.174539e-63 1.454726e-220
1.975e+09 1.513614e-03 9.984853e-01 1.061008e-06 6.670143e-29 1.901090e-63 2.764331e-220
2.025e+09 1.288456e-03 9.987103e-01 1.246980e-06 9.211272e-29 3.084823e-63 5.270612e-220
2.075e+09 1.095866e-03 9.989027e-01 1.466692e-06 1.274074e-28 5.017659e-63 1.008156e-219
2.125e+09 9.312980e-04 9.990670e-01 1.726437e-06 1.765009e-28 8.180759e-63 1.934463e-219
2.175e+09 7.908197e-04 9.992071e-01 2.033686e-06 2.448792e-28 1.336814e-62 3.723144e-219
2.225e+09 6.710728e-04 9.993265e-01 2.397151e-06 3.401914e-28 2.188779e-62 7.184569e-219
2.275e+09 5.690892e-04 9.994281e-01 2.827307e-06 4.731887e-28 3.590430e-62 1.389884e-218
2.325e+09 4.823390e-04 9.995143e-01 3.336383e-06 6.588744e-28 5.899024e-62 2.694497e-218
2.375e+09 4.086176e-04 9.995874e-01 3.938898e-06 9.182661e-28 9.705392e-62 5.233326e-218
2.425e+09 3.460122e-04 9.996493e-01 4.652155e-06 1.280857e-27 1.598813e-61 1.018157e-217
2.475e+09 2.928850e-04 9.997016e-01 5.496597e-06 1.787957e-27 2.636764e-61 1.983834e-217
2.525e+09 2.478281e-04 9.997457e-01 6.496491e-06 2.497514e-27 4.352992e-61 3.870685e-217
2.575e+09 2.096610e-04 9.997827e-01 7.679693e-06 3.489972e-27 7.190363e-61 7.557875e-217
2.625e+09 1.773170e-04 9.998136e-01 9.081090e-06 4.879741e-27 1.188793e-60 1.477529e-216
2.675e+09 1.499236e-04 9.998393e-01 1.074090e-05 6.826385e-27 1.966943e-60 2.891430e-216
2.725e+09 1.267293e-04 9.998606e-01 1.270727e-05 9.554426e-27 3.256926e-60 5.664104e-216
2.775e+09 1.070950e-04 9.998779e-01 1.503748e-05 1.337959e-26 5.397113e-60 1.110709e-215
2.825e+09 9.048006e-05 9.998917e-01 1.779931e-05 1.874534e-26 8.950232e-60 2.180195e-215
2.875e+09 7.642167e-05 9.999025e-01 2.107410e-05 2.627727e-26 1.485464e-59 4.284146e-215
2.925e+09 6.452768e-05 9.999105e-01 2.495896e-05 3.685798e-26 2.467672e-59 8.428756e-215
2.975e+09 5.446911e-05 9.999160e-01 2.956834e-05 5.172854e-26 4.102837e-59 1.660192e-214
3.025e+09 4.596711e-05 9.999190e-01 3.503746e-05 7.263406e-26 6.826511e-59 3.273236e-214
3.075e+09 3.877947e-05 9.999197e-01 4.153160e-05 1.020544e-25 1.136936e-58 6.461900e-214
3.125e+09 3.270663e-05 9.999181e-01 4.924286e-05 1.434703e-25 1.895097e-58 1.277088e-213
3.175e+09 2.757779e-05 9.999140e-01 5.840044e-05 2.017945e-25 3.161211e-58 2.526490e-213
3.225e+09 2.324840e-05 9.999075e-01 6.927504e-05 2.839446e-25 5.276441e-58 5.002289e-213
3.275e+09 1.959358e-05 9.998982e-01 8.219548e-05 3.997421e-25 8.813790e-58 9.914379e-213
3.325e+09 1.650965e-05 9.998859e-01 9.754688e-05 5.630100e-25 1.473227e-57 1.966723e-212
3.375e+09 1.390854e-05 9.998703e-01 1.157860e-04 7.932464e-25 2.463832e-57 3.904217e-212
3.425e+09 1.171519e-05 9.998508e-01 1.374584e-04 1.118014e-24 4.122628e-57 7.755700e-212
3.475e+09 9.866007e-06 9.998269e-01 1.632144e-04 1.576275e-24 6.901702e-57 1.541702e-211
3.525e+09 8.307631e-06 9.997979e-01 1.938195e-04 2.222913e-24 1.155842e-56 3.066156e-211
3.575e+09 6.994813e-06 9.997628e-01 2.301803e-04 3.135299e-24 1.936158e-56 6.099897e-211
3.625e+09 5.888526e-06 9.997207e-01 2.734016e-04 4.423471e-24 3.244712e-56 1.214253e-210
3.675e+09 4.956837e-06 9.996703e-01 3.247575e-04 6.241677e-24 5.438689e-56 2.417727e-210
3.725e+09 4.172446e-06 9.996101e-01 3.857631e-04 8.807459e-24 9.116566e-56 4.814288e-210
3.775e+09 3.511722e-06 9.995382e-01 4.582779e-04 1.243078e-23 1.528686e-55 9.590883e-210
3.825e+09 2.955513e-06 9.994526e-01 5.444297e-04 1.754532e-23 2.563488e-55 1.910828e-209
3.875e+09 2.487167e-06 9.993507e-01 6.468166e-04 2.476762e-23 4.299700e-55 3.808132e-209
3.925e+09 2.092986e-06 9.992295e-01 7.684477e-04 3.496256e-23 7.211788e-55 7.589318e-209
3.975e+09 1.761200e-06 9.990853e-01 9.129493e-04 4.935494e-23 1.209665e-54 1.512586e-208
4.025e+09 1.481950e-06 9.989139e-01 1.084608e-03 6.967183e-23 2.029048e-54 3.014725e-208
#TIME: 2.420000
#NVEL: 81
#vel_mid[km/s] Si0 Si1 Si2 Si3 Si4 Si5
2.500e+07 3.213937e-37 4.582049e-27 1.980574e-19 1.946165e-10 3.638497e-04 9.996362e-01
7.500e+07 2.510268e-36 3.184825e-26 1.140072e-18 7.600572e-10 1.398327e-03 9.986017e-01
1.250e+08 7.907234e-36 9.824327e-26 3.282274e-18 1.769465e-09 3.413490e-03 9.965865e-01
1.750e+08 3.370959e-35 3.964741e-25 1.191225e-17 4.902686e-09 9.630552e-03 9.903694e-01
2.250e+08 4.034819e-34 4.008771e-24 9.519339e-17 2.451058e-08 4.463369e-02 9.553663e-01
2.750e+08 2.084694e-32 1.466358e-22 2.255050e-15 2.603492e-07 3.758818e-01 6.241179e-01
3.250e+08 1.566127e-30 5.813866e-21 4.243202e-14 1.229023e-06 9.853265e-01 1.467226e-02
3.750e+08 1.400911e-27 1.439923e-18 3.023828e-12 9.009446e-06 9.999900e-01 1.005758e-06
4.250e+08 4.823065e-20 2.300844e-12 7.489180e-07 1.235455e-02 9.876447e-01 2.399255e-18
4.750e+08 7.171412e-11 1.710733e-04 8.069888e-01 1.928372e-01 2.923796e-06 1.231849e-48
5.250e+08 8.107797e-09 5.891342e-03 9.938184e-01 2.902586e-04 5.023206e-13 7.178963e-70
5.750e+08 6.067619e-06 4.756373e-01 5.243567e-01 4.886221e-09 7.066264e-24 3.087918e-103
6.250e+08 5.855721e-04 9.989655e-01 4.489567e-04 4.803624e-19 3.100120e-43 4.227502e-157
6.750e+08 1.707663e-02 9.829230e-01 3.966180e-07 2.028679e-28 3.762374e-61 9.532672e-207
7.250e+08 4.957350e-02 9.504265e-01 3.442036e-08 1.027981e-31 1.743644e-67 1.586091e-224
7.750e+08 1.249146e-02 9.875080e-01 5.503760e-07 3.934423e-28 1.027970e-60 3.988534e-206
8.250e+08 1.127119e-02 9.887282e-01 5.785861e-07 3.870459e-28 8.752130e-61 1.300258e-206
8.750e+08 1.283896e-02 9.871607e-01 3.723469e-07 8.463881e-29 4.212269e-62 1.477474e-210
9.250e+08 6.792806e-03 9.932060e-01 1.199344e-06 2.582639e-27 2.541873e-59 3.834579e-203
9.750e+08 9.112843e-03 9.908866e-01 5.485886e-07 1.977777e-28 1.645353e-61 1.670049e-209
1.025e+09 9.810608e-03 9.901890e-01 3.976625e-07 6.222017e-29 1.585438e-62 1.295725e-212
1.075e+09 1.162822e-02 9.883715e-01 2.355149e-07 1.053923e-29 4.681522e-64 3.794452e-217
1.125e+09 7.838417e-03 9.921611e-01 4.560900e-07 6.753048e-29 1.431151e-62 2.527214e-213
1.175e+09 5.742333e-03 9.942569e-01 7.398885e-07 2.518940e-28 1.557401e-61 9.636080e-211
1.225e+09 5.464788e-03 9.945345e-01 6.943043e-07 1.749802e-28 6.819713e-62 4.967602e-212
1.275e+09 4.109759e-03 9.958892e-01 1.062767e-06 5.458596e-28 5.269903e-61 7.293015e-210
1.325e+09 2.889318e-03 9.971088e-01 1.861676e-06 2.568553e-27 8.910049e-60 9.235280e-207
1.375e+09 2.612252e-03 9.973858e-01 1.939093e-06 2.455352e-27 7.175119e-60 2.561197e-207
1.425e+09 2.369248e-03 9.976287e-01 2.005942e-06 2.297909e-27 5.547795e-60 6.340876e-208
1.475e+09 2.372196e-03 9.976261e-01 1.694814e-06 1.157631e-27 1.315517e-60 5.992751e-210
1.525e+09 2.258391e-03 9.977400e-01 1.587492e-06 7.994757e-28 5.694973e-61 2.987058e-211
1.575e+09 2.441234e-03 9.975576e-01 1.146060e-06 2.487562e-28 5.381395e-62 2.216407e-214
1.625e+09 2.353136e-03 9.976458e-01 1.046475e-06 1.588772e-28 2.006519e-62 7.307691e-216
1.675e+09 1.760711e-03 9.982377e-01 1.603886e-06 4.950005e-28 1.539837e-61 1.025535e-213
1.725e+09 1.324377e-03 9.986732e-01 2.422652e-06 1.470299e-27 1.075995e-60 1.095682e-211
1.775e+09 1.104438e-03 9.988926e-01 2.963001e-06 2.289049e-27 2.191369e-60 3.881027e-211
1.825e+09 8.963911e-04 9.990998e-01 3.822545e-06 4.188527e-27 6.065904e-60 3.185132e-210
1.875e+09 1.123721e-03 9.988742e-01 2.055493e-06 5.329946e-28 1.046530e-61 2.220535e-215
1.925e+09 9.025588e-04 9.990947e-01 2.709835e-06 1.042479e-27 3.290610e-61 2.595150e-214
1.975e+09 1.035334e-03 9.989629e-01 1.741798e-06 2.283432e-28 1.596819e-62 3.112104e-218
2.025e+09 6.665790e-04 9.993298e-01 3.577907e-06 1.722316e-27 6.560309e-61 4.274629e-214
2.075e+09 4.681933e-04 9.995257e-01 6.144002e-06 7.498460e-27 9.433630e-60 3.212074e-211
2.125e+09 4.870861e-04 9.995081e-01 4.815761e-06 3.011307e-27 1.454647e-60 9.357859e-214
2.175e+09 5.916690e-04 9.994056e-01 2.768539e-06 4.710357e-28 3.726795e-62 1.960997e-218
2.225e+09 5.524123e-04 9.994449e-01 2.692910e-06 3.644658e-28 2.001372e-62 1.759175e-219
2.275e+09 4.547748e-04 9.995419e-01 3.367680e-06 6.053664e-28 4.599461e-62 8.574148e-219
2.325e+09 3.859168e-04 9.996101e-01 3.961912e-06 8.346289e-28 7.412561e-62 1.572529e-218
2.375e+09 1.849844e-04 9.998005e-01 1.447422e-05 3.578715e-26 8.235059e-59 1.764619e-210
2.425e+09 2.260575e-04 9.997657e-01 8.252680e-06 5.479004e-27 2.031148e-60 3.382451e-215
2.475e+09 1.530021e-04 9.998318e-01 1.516990e-05 2.918065e-26 4.268055e-59 7.044448e-212
2.525e+09 1.829088e-04 9.998081e-01 9.036828e-06 5.103362e-27 1.355898e-60 2.705239e-216
2.575e+09 1.138787e-04 9.998665e-01 1.957817e-05 4.468761e-26 7.326254e-59 7.476782e-212
2.625e+09 8.182169e-05 9.998863e-01 3.188725e-05 1.644905e-25 7.611425e-58 2.232107e-209
2.675e+09 1.060951e-04 9.998777e-01 1.621134e-05 1.783613e-26 9.764433e-60 7.205730e-215
2.725e+09 1.971586e-04 9.997988e-01 4.029009e-06 2.200521e-28 2.004970e-63 2.728757e-225
2.775e+09 1.137428e-04 9.998761e-01 1.016742e-05 3.066378e-27 2.624442e-61 8.607851e-220
2.825e+09 5.336383e-05 9.999083e-01 3.837509e-05 1.437764e-25 3.430374e-58 1.450257e-211
2.875e+09 4.965090e-05 9.999128e-01 3.753539e-05 1.130143e-25 1.896477e-58 1.401969e-212
2.925e+09 1.506801e-04 9.998458e-01 3.551839e-06 7.500612e-29 1.510678e-64 1.324929e-229
2.975e+09 6.813925e-05 9.999174e-01 1.449292e-05 4.481085e-27 3.144217e-61 8.190815e-221
3.025e+09 3.725196e-05 9.999224e-01 4.036565e-05 8.354395e-26 7.113483e-59 1.120725e-214
3.075e+09 6.173208e-05 9.999256e-01 1.267499e-05 2.108940e-27 5.727992e-62 1.852325e-223
3.125e+09 3.859588e-05 9.999343e-01 2.712542e-05 1.772924e-26 2.856123e-60 4.046497e-219
3.175e+09 6.447467e-05 9.999272e-01 8.368685e-06 4.233534e-28 2.065799e-63 4.939228e-228
3.225e+09 1.929556e-05 9.999046e-01 7.609166e-05 2.824803e-25 4.171189e-58 8.014662e-214
3.275e+09 1.126506e-05 9.998040e-01 1.847444e-04 3.448069e-24 4.194080e-56 1.150742e-208
3.325e+09 3.258502e-05 9.999478e-01 1.962385e-05 3.317477e-27 6.879464e-62 8.597271e-225
3.375e+09 1.392181e-05 9.998979e-01 8.819092e-05 2.613344e-25 2.391693e-58 2.028908e-215
3.425e+09 2.024989e-05 9.999438e-01 3.597130e-05 1.462854e-26 8.775179e-61 2.175519e-222
3.475e+09 1.155338e-05 9.998969e-01 9.154413e-05 2.063029e-25 1.162671e-58 6.705587e-217
3.525e+09 3.128026e-05 9.999577e-01 1.101678e-05 2.877690e-28 3.842639e-64 3.321699e-232
3.575e+09 1.327751e-05 9.999364e-01 5.029132e-05 2.385021e-26 1.475199e-60 1.043226e-222
3.625e+09 7.399098e-06 9.998588e-01 1.337741e-04 3.837310e-25 2.506498e-58 6.299130e-217
3.675e+09 1.074603e-05 9.999344e-01 5.482121e-05 2.182105e-26 9.487250e-61 7.402706e-224
3.725e+09 7.641075e-05 9.999226e-01 9.714821e-07 9.068584e-32 4.916646e-71 2.369417e-252
3.775e+09 1.815447e-05 9.999677e-01 1.412332e-05 2.551170e-28 1.549795e-64 7.693183e-235
3.825e+09 5.464732e-05 9.999440e-01 1.356862e-06 1.764741e-31 1.330876e-70 8.769827e-252
3.875e+09 5.848092e-04 9.994152e-01 9.779360e-09 4.335238e-38 2.946833e-83 5.896217e-287
3.925e+09 3.852006e-04 9.996148e-01 1.949024e-08 3.039366e-37 1.068703e-81 6.199383e-283
3.975e+09 3.156130e-05 9.999660e-01 2.451345e-06 6.293968e-31 9.951458e-70 2.576770e-250
4.025e+09 2.289567e-04 9.997710e-01 4.011012e-08 1.960302e-36 2.873920e-80 1.369184e-279
#TIME: 2.662000
#NVEL: 81
#vel_mid[km/s] Si0 Si1 Si2 Si3 Si4 Si5
2.500e+07 4.130036e-37 6.682319e-27 3.137887e-19 2.973376e-10 6.704044e-04 9.993296e-01
7.500e+07 4.441365e-36 6.229346e-26 2.346380e-18 1.420404e-09 3.098987e-03 9.969010e-01
1.250e+08 1.429152e-35 1.963717e-25 6.916764e-18 3.375751e-09 7.708913e-03 9.922911e-01
1.750e+08 6.260158e-35 8.138875e-25 2.581978e-17 9.580509e-09 2.218645e-02 9.778135e-01
2.250e+08 7.355916e-34 8.091307e-24 2.039807e-16 4.735287e-08 1.009542e-01 8.990457e-01
2.750e+08 2.637373e-32 2.071297e-22 3.436127e-15 3.613963e-07 6.032863e-01 3.967134e-01
3.250e+08 1.337411e-30 5.470426e-21 4.333857e-14 1.161926e-06 9.946850e-01 5.313812e-03
3.750e+08 1.724577e-27 1.830760e-18 4.161550e-12 1.108826e-05 9.999887e-01 1.924351e-07
4.250e+08 2.859223e-20 1.637900e-12 6.701347e-07 1.213704e-02 9.878623e-01 1.235910e-18
4.750e+08 5.771404e-14 3.960955e-07 2.381707e-02 9.612402e-01 1.494230e-02 3.649530e-34
5.250e+08 7.405189e-11 2.251868e-04 9.004614e-01 9.931297e-02 4.511598e-07 7.214130e-52
5.750e+08 1.984027e-08 1.307228e-02 9.868909e-01 3.676055e-05 3.414561e-15 3.372706e-77
6.250e+08 1.876756e-06 2.757890e-01 7.242091e-01 2.600452e-08 2.010193e-22 1.423033e-99
6.750e+08 3.596493e-05 9.433056e-01 5.665843e-02 7.082988e-13 1.109703e-31 2.087402e-126
7.250e+08 4.114212e-04 9.990920e-01 4.965657e-04 3.480872e-19 1.031759e-43 1.584056e-159
7.750e+08 3.570998e-03 9.964233e-01 5.671238e-06 3.779561e-25 4.127306e-55 4.253981e-191
8.250e+08 1.091096e-02 9.890886e-01 4.701113e-07 1.546730e-28 1.224010e-61 1.821976e-209
8.750e+08 2.625079e-02 9.737491e-01 6.254022e-08 2.762439e-31 6.126796e-67 2.013831e-224
9.250e+08 4.842436e-02 9.515756e-01 1.429690e-08 2.685953e-33 7.970321e-71 1.996722e-235
