#NTIMES: 200
#NSTAGES: 5
#TIMES[d]: 2.01861554579 2.05619317592 2.09447033414 2.13346004255 2.17317556566 2.21363041491 2.25483835327 2.29681339988 2.3395698349 2.38312220429 2.42748532481 2.47267428903 2.51870447048 2.56559152888 2.61335141547 2.66200037841 2.71155496835 2.76203204402 2.81344877801 2.86582266257 2.91917151557 2.97351348659 3.02886706306 3.08525107656 3.14268470925 3.20118750036 3.26077935286 3.32148054021 3.3833117133 3.44629390742 3.51044854946 3.57579746518 3.64236288663 3.71016745973 3.77923425197 3.84958676024 3.92124891885 3.99424510765 4.06860016035 4.14433937294 4.22148851231 4.30007382501 4.3801220462 4.46166040872 4.54471665236 4.62931903331 4.71549633375 4.80327787168 4.89269351084 4.98377367093 5.07654933791 5.17105207457 5.26731403124 5.36536795678 5.46524720967 5.56698576935 5.67061824786 5.77617990151 5.88370664296 5.99323505339 6.10480239496 6.21844662348 6.33420640135 6.45212111066 6.57223086664 6.69457653128 6.81919972724 6.94614285202 7.07544909235 7.20716243891 7.34132770131 7.4779905233 7.61719739831 7.75899568527 7.90343362473 8.05056035528 8.20042593021 8.35308133461 8.50857850269 8.66697033542 8.82831071856 8.99265454099 9.16005771338 9.33057718718 9.50427097406 9.68119816558 9.86141895334 10.0449946494 10.2319877073 10.422461743 10.6164815568 10.8141131554 11.015423774 11.2204818996 11.4293572942 11.6421210183 11.8588454552 12.0796043358 12.3044727634 12.5335272396 12.7668456898 13.0045074904 13.246593495 13.4931860628 13.7443690858 14.0002280179 14.2608499037 14.526323408 14.7967388466 15.0721882162 15.3527652261 15.6385653301 15.9296857591 16.2262255538 16.5282855986 16.835968656 17.1493794014 17.468624459 17.7938124375 18.1250539677 18.4624617398 18.8061505417 19.1562372982 19.5128411108 19.876083298 20.2460874368 20.6229794046 21.006887422 21.3979420967 21.7962764676 22.2020260503 22.6153288829 23.0363255732 23.4651593468 23.9019760951 24.3469244256 24.8001557121 25.2618241463 25.7320867905 26.2111036304 26.6990376303 27.1960547878 27.702324191 28.2180180755 28.7433118831 29.2783843216 29.8234174257 30.3785966184 30.9441107748 31.5201522858 32.106917124 32.7046049099 33.3134189802 33.9335664566 34.5652583169 35.2087094658 35.8641388091 36.5317693273 37.211828152 37.9045466429 38.6101604666 39.3289096768 40.0610387957 40.8067968979 41.5664376941 42.3402196183 43.1284059154 43.9312647306 44.7490692008 45.5820975476 46.4306331717 47.2949647496 48.1753863315 49.0721974417 49.9857031802 50.9162143267 51.8640474459 52.829524996 53.8129754377 54.8147333461 55.8351395246 56.8745411212 57.9332917457 59.011751591 60.1102875549 61.2292733654 62.3690897074 63.5301243528 64.7127722917 65.9174358675 67.1445249133 68.3944568914 69.6676570355 70.9645584951 72.2856024833 73.6312384263 75.0019241168 76.3981258696 77.82031868 79.2689863858
#
#TIME: 2.01861554579
#NVEL: 202
#vel_mid[km/s] temp[K] ne[/cm^3] c0 c1 c2 c3 c4
8.7500e+01 1.2548e+05 8.3462e+13 3.4532e-29 2.1279e-21 9.5589e-14 9.7619e-07 1.0000e+00
2.7500e+02 1.2334e+05 6.2312e+13 1.4189e-29 1.1148e-21 6.3121e-14 8.0089e-07 1.0000e+00
4.7500e+02 1.2126e+05 5.4370e+13 1.1293e-29 9.6182e-22 5.8282e-14 7.7835e-07 1.0000e+00
6.7500e+02 1.1919e+05 4.9107e+13 1.0448e-29 9.3008e-22 5.8146e-14 7.8705e-07 1.0000e+00
8.7500e+02 1.1712e+05 4.4890e+13 1.0223e-29 9.3887e-22 5.9765e-14 8.0846e-07 1.0000e+00
1.0750e+03 1.1507e+05 4.1269e+13 1.0373e-29 9.7519e-22 6.2710e-14 8.3994e-07 1.0000e+00
1.2750e+03 1.1297e+05 3.8067e+13 1.0862e-29 1.0390e-21 6.7056e-14 8.8204e-07 1.0000e+00
1.4750e+03 1.1081e+05 3.5202e+13 1.1756e-29 1.1372e-21 7.3185e-14 9.3718e-07 1.0000e+00
1.6750e+03 1.0852e+05 3.2622e+13 1.3333e-29 1.2938e-21 8.2261e-14 1.0128e-06 1.0000e+00
1.8750e+03 1.0606e+05 3.0289e+13 1.6051e-29 1.5465e-21 9.6050e-14 1.1189e-06 1.0000e+00
2.0750e+03 1.0332e+05 2.8180e+13 2.0889e-29 1.9728e-21 1.1792e-13 1.2726e-06 1.0000e+00
2.2750e+03 1.0029e+05 2.6269e+13 3.0253e-29 2.7522e-21 1.5522e-13 1.5070e-06 1.0000e+00
2.4750e+03 9.6874e+04 2.4543e+13 5.0145e-29 4.3013e-21 2.2335e-13 1.8792e-06 1.0000e+00
2.6750e+03 9.2930e+04 2.2952e+13 9.8772e-29 7.7836e-21 3.6109e-13 2.5079e-06 1.0000e+00
2.8750e+03 8.8474e+04 2.1414e+13 2.4120e-28 1.6950e-20 6.7814e-13 3.6534e-06 1.0000e+00
3.0750e+03 8.3317e+04 1.9852e+13 7.7776e-28 4.7065e-20 1.5554e-12 5.9823e-06 9.9999e-01
3.2750e+03 7.7472e+04 1.8254e+13 3.7151e-27 1.8489e-19 4.7540e-12 1.1573e-05 9.9999e-01
3.4750e+03 7.0711e+04 1.6891e+13 3.4084e-26 1.2895e-18 2.3198e-11 2.9248e-05 9.9997e-01
3.6750e+03 6.2900e+04 1.5845e+13 8.9670e-25 2.3027e-17 2.4291e-10 1.1405e-04 9.9989e-01
3.8750e+03 5.3695e+04 1.4823e+13 1.4125e-22 2.1392e-15 9.7127e-09 9.5470e-04 9.9905e-01
4.0750e+03 4.2467e+04 1.3019e+13 9.5369e-19 7.1962e-12 7.0379e-06 4.1624e-02 9.5837e-01
4.2750e+03 2.6935e+04 1.0181e+13 1.1536e-11 2.3260e-05 2.9128e-01 7.0830e-01 3.9592e-04
4.4750e+03 8.1948e+03 2.5149e+12 6.6849e-01 3.3151e-01 8.6999e-12 5.3498e-40 0.0000e+00
4.6750e+03 5.2107e+03 1.1918e+12 9.9787e-01 2.1319e-03 2.6933e-19 0.0000e+00 0.0000e+00
4.8750e+03 5.1383e+03 1.1294e+12 9.9775e-01 2.2495e-03 2.9990e-19 0.0000e+00 0.0000e+00
5.0750e+03 5.1324e+03 1.0699e+12 9.9763e-01 2.3744e-03 3.3416e-19 0.0000e+00 0.0000e+00
5.2750e+03 5.1261e+03 1.0132e+12 9.9749e-01 2.5070e-03 3.7258e-19 0.0000e+00 0.0000e+00
5.4750e+03 5.1209e+03 9.5910e+11 9.9735e-01 2.6479e-03 4.1570e-19 0.0000e+00 0.0000e+00
5.6750e+03 5.1139e+03 9.0763e+11 9.9720e-01 2.7976e-03 4.6411e-19 0.0000e+00 0.0000e+00
5.8750e+03 5.1117e+03 8.5860e+11 9.9704e-01 2.9569e-03 5.1855e-19 0.0000e+00 0.0000e+00
6.0750e+03 5.1066e+03 8.1196e+11 9.9687e-01 3.1262e-03 5.7974e-19 0.0000e+00 0.0000e+00
6.2750e+03 5.1062e+03 7.6758e+11 9.9669e-01 3.3064e-03 6.4860e-19 0.0000e+00 0.0000e+00
6.4750e+03 5.0950e+03 7.2538e+11 9.9650e-01 3.4981e-03 7.2611e-19 0.0000e+00 0.0000e+00
6.6750e+03 5.0952e+03 6.8526e+11 9.9630e-01 3.7021e-03 8.1345e-19 0.0000e+00 0.0000e+00
6.8750e+03 5.0953e+03 6.4716e+11 9.9608e-01 3.9192e-03 9.1186e-19 0.0000e+00 0.0000e+00
7.0750e+03 5.0868e+03 6.1098e+11 9.9585e-01 4.1503e-03 1.0228e-18 0.0000e+00 0.0000e+00
7.2750e+03 5.0828e+03 5.7663e+11 9.9560e-01 4.3965e-03 1.1480e-18 0.0000e+00 0.0000e+00
7.4750e+03 5.0821e+03 5.4404e+11 9.9534e-01 4.6586e-03 1.2894e-18 0.0000e+00 0.0000e+00
7.6750e+03 5.0750e+03 5.1315e+11 9.9506e-01 4.9376e-03 1.4488e-18 0.0000e+00 0.0000e+00
7.8750e+03 5.0750e+03 4.8386e+11 9.9476e-01 5.2350e-03 1.6291e-18 0.0000e+00 0.0000e+00
8.0750e+03 5.0718e+03 4.5612e+11 9.9445e-01 5.5516e-03 1.8327e-18 0.0000e+00 0.0000e+00
8.2750e+03 5.0825e+03 4.2985e+11 9.9411e-01 5.8889e-03 2.0628e-18 0.0000e+00 0.0000e+00
8.4750e+03 5.0628e+03 4.0499e+11 9.9375e-01 6.2482e-03 2.3230e-18 0.0000e+00 0.0000e+00
8.6750e+03 5.0646e+03 3.8147e+11 9.9337e-01 6.6309e-03 2.6173e-18 0.0000e+00 0.0000e+00
8.8750e+03 5.0632e+03 3.5924e+11 9.9296e-01 7.0383e-03 2.9500e-18 0.0000e+00 0.0000e+00
9.0750e+03 5.0627e+03 3.3822e+11 9.9253e-01 7.4724e-03 3.3267e-18 0.0000e+00 0.0000e+00
9.2750e+03 5.0574e+03 3.1837e+11 9.9207e-01 7.9346e-03 3.7526e-18 0.0000e+00 0.0000e+00
9.4750e+03 5.0675e+03 2.9963e+11 9.9157e-01 8.4267e-03 4.2347e-18 0.0000e+00 0.0000e+00
9.6750e+03 5.0481e+03 2.8193e+11 9.9105e-01 8.9509e-03 4.7804e-18 0.0000e+00 0.0000e+00
9.8750e+03 5.0568e+03 2.6524e+11 9.9049e-01 9.5088e-03 5.3980e-18 0.0000e+00 0.0000e+00
1.0075e+04 5.0480e+03 2.4950e+11 9.8990e-01 1.0103e-02 6.0971e-18 0.0000e+00 0.0000e+00
1.0275e+04 5.0522e+03 2.3466e+11 9.8927e-01 1.0735e-02 6.8880e-18 0.0000e+00 0.0000e+00
1.0475e+04 5.0561e+03 2.2067e+11 9.8859e-01 1.1407e-02 7.7836e-18 0.0000e+00 0.0000e+00
1.0675e+04 5.0510e+03 2.0750e+11 9.8788e-01 1.2123e-02 8.7970e-18 0.0000e+00 0.0000e+00
1.0875e+04 5.0485e+03 1.9509e+11 9.8712e-01 1.2884e-02 9.9440e-18 0.0000e+00 0.0000e+00
1.1075e+04 5.0361e+03 1.8341e+11 9.8631e-01 1.3693e-02 1.1241e-17 0.0000e+00 0.0000e+00
1.1275e+04 5.0411e+03 1.7242e+11 9.8545e-01 1.4553e-02 1.2709e-17 0.0000e+00 0.0000e+00
1.1475e+04 5.0364e+03 1.6208e+11 9.8453e-01 1.5468e-02 1.4370e-17 0.0000e+00 0.0000e+00
1.1675e+04 5.0493e+03 1.5234e+11 9.8356e-01 1.6440e-02 1.6250e-17 0.0000e+00 0.0000e+00
1.1875e+04 5.0414e+03 1.4319e+11 9.8253e-01 1.7472e-02 1.8373e-17 0.0000e+00 0.0000e+00
1.2075e+04 5.0434e+03 1.3458e+11 9.8143e-01 1.8569e-02 2.0776e-17 0.0000e+00 0.0000e+00
1.2275e+04 5.0353e+03 1.2649e+11 9.8027e-01 1.9734e-02 2.3492e-17 0.0000e+00 0.0000e+00
1.2475e+04 5.0255e+03 1.1888e+11 9.7903e-01 2.0970e-02 2.6560e-17 0.0000e+00 0.0000e+00
1.2675e+04 5.0286e+03 1.1173e+11 9.7772e-01 2.2283e-02 3.0030e-17 0.0000e+00 0.0000e+00
1.2875e+04 5.0419e+03 1.0500e+11 9.7632e-01 2.3676e-02 3.3950e-17 0.0000e+00 0.0000e+00
1.3075e+04 5.0346e+03 9.8690e+10 9.7485e-01 2.5152e-02 3.8375e-17 0.0000e+00 0.0000e+00
1.3275e+04 5.0342e+03 9.2753e+10 9.7328e-01 2.6719e-02 4.3375e-17 0.0000e+00 0.0000e+00
1.3475e+04 5.0286e+03 8.7176e+10 9.7162e-01 2.8380e-02 4.9018e-17 0.0000e+00 0.0000e+00
1.3675e+04 5.0257e+03 8.1937e+10 9.6986e-01 3.0140e-02 5.5387e-17 0.0000e+00 0.0000e+00
1.3875e+04 5.0347e+03 7.7010e+10 9.6799e-01 3.2007e-02 6.2581e-17 0.0000e+00 0.0000e+00
1.4075e+04 5.0307e+03 7.2386e+10 9.6602e-01 3.3982e-02 7.0686e-17 0.0000e+00 0.0000e+00
1.4275e+04 5.0245e+03 6.8033e+10 9.6392e-01 3.6078e-02 7.9848e-17 0.0000e+00 0.0000e+00
