#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 140
#vel_mid[km/s] ca0 ca1 ca2 ca3
1125.00 2.8205e-09 6.3147e-04 8.2649e-01 1.7288e-01
2375.00 1.6454e-08 1.5550e-03 8.1162e-01 1.8682e-01
3125.00 4.3497e-07 1.5365e-02 8.4070e-01 1.4393e-01
3625.00 8.1305e-06 7.4678e-02 8.2739e-01 9.7922e-02
4125.00 1.1363e-05 9.6339e-02 8.4263e-01 6.1024e-02
4625.00 1.0629e-05 1.0914e-01 8.4330e-01 4.7542e-02
4875.00 1.2130e-05 1.1255e-01 8.4215e-01 4.5285e-02
5375.00 1.0693e-05 1.0995e-01 8.4459e-01 4.5449e-02
5625.00 1.1078e-05 1.1473e-01 8.4234e-01 4.2921e-02
6125.00 9.5889e-06 1.1154e-01 8.4370e-01 4.4754e-02
6375.00 9.8183e-06 1.1230e-01 8.4413e-01 4.3557e-02
6625.00 1.0486e-05 1.1375e-01 8.3943e-01 4.6812e-02
6875.00 9.8426e-06 1.0926e-01 8.4539e-01 4.5344e-02
7125.00 1.0297e-05 1.1137e-01 8.4285e-01 4.5765e-02
7625.00 8.9558e-06 1.0398e-01 8.4873e-01 4.7282e-02
7875.00 9.7064e-06 1.0597e-01 8.4479e-01 4.9224e-02
8125.00 1.0266e-05 1.0710e-01 8.4395e-01 4.8944e-02
8375.00 1.0221e-05 1.0548e-01 8.4450e-01 5.0016e-02
8625.00 1.1441e-05 1.1235e-01 8.4210e-01 4.5537e-02
8875.00 1.2104e-05 1.1623e-01 8.3149e-01 5.2271e-02
9125.00 1.1122e-05 1.0377e-01 8.4641e-01 4.9805e-02
9375.00 1.1239e-05 1.0548e-01 8.4430e-01 5.0214e-02
9625.00 1.2010e-05 1.1017e-01 8.4483e-01 4.4993e-02
9875.00 1.0923e-05 1.0320e-01 8.4502e-01 5.1774e-02
10125.00 1.3486e-05 1.1202e-01 8.4367e-01 4.4295e-02
10375.00 1.1539e-05 1.0411e-01 8.3958e-01 5.6299e-02
10625.00 1.1643e-05 1.0009e-01 8.4419e-01 5.5703e-02
10875.00 1.1106e-05 9.8775e-02 8.4876e-01 5.2459e-02
11125.00 1.1341e-05 9.7716e-02 8.5153e-01 5.0740e-02
11375.00 1.0542e-05 9.7903e-02 8.4899e-01 5.3098e-02
11625.00 1.0941e-05 1.1678e-01 8.1459e-01 6.8618e-02
11875.00 9.5813e-06 9.4040e-02 8.5364e-01 5.2308e-02
12125.00 8.5202e-06 8.9897e-02 8.5685e-01 5.3241e-02
12375.00 8.5312e-06 9.3670e-02 8.5086e-01 5.5464e-02
12625.00 6.7571e-06 8.7398e-02 8.5592e-01 5.6673e-02
12875.00 6.6497e-06 8.5066e-02 8.5871e-01 5.6215e-02
13125.00 6.3235e-06 8.7350e-02 8.4570e-01 6.6942e-02
13375.00 4.1362e-06 6.3335e-02 8.7243e-01 6.4228e-02
13625.00 4.4305e-06 6.6000e-02 8.6767e-01 6.6325e-02
13875.00 3.9576e-06 6.4173e-02 8.6078e-01 7.5043e-02
14125.00 2.4268e-06 4.2073e-02 8.8100e-01 7.6924e-02
14375.00 1.8240e-06 3.0319e-02 7.3425e-01 2.3543e-01
14625.00 2.8794e-06 5.1838e-02 8.6905e-01 7.9109e-02
14875.00 1.9069e-06 3.7209e-02 8.7844e-01 8.4345e-02
15125.00 1.6659e-06 3.0133e-02 8.8470e-01 8.5161e-02
15375.00 1.1969e-06 2.1710e-02 8.8177e-01 9.6517e-02
15625.00 1.7982e-06 3.1489e-02 6.3164e-01 3.3687e-01
15875.00 1.9207e-06 3.8415e-02 8.6188e-01 9.9707e-02
16125.00 1.8246e-06 3.5254e-02 8.5962e-01 1.0513e-01
16375.00 1.4524e-06 2.8514e-02 8.6172e-01 1.0977e-01
16625.00 4.9048e-07 9.2345e-03 5.6270e-01 4.2807e-01
16875.00 9.5868e-07 1.8486e-02 8.5430e-01 1.2722e-01
17125.00 1.0963e-06 2.3247e-02 8.5624e-01 1.2051e-01
17375.00 4.3029e-07 7.7121e-03 5.3447e-01 4.5782e-01
17625.00 1.5028e-06 3.0195e-02 8.0982e-01 1.5998e-01
17875.00 5.4409e-07 1.0273e-02 7.7360e-01 2.1613e-01
18125.00 2.8967e-07 5.3764e-03 4.9517e-01 4.9945e-01
18375.00 1.1559e-06 2.1994e-02 7.8559e-01 1.9242e-01
18625.00 2.0055e-07 3.6528e-03 7.7962e-01 2.1673e-01
18875.00 1.4953e-06 2.1928e-02 6.0841e-01 3.6966e-01
19125.00 7.8211e-07 1.4340e-02 7.1646e-01 2.6920e-01
19375.00 6.4404e-07 8.0326e-03 4.3074e-01 5.6122e-01
