#NTIMES:    60
#NSTAGES:     5
#TIMES[d]:     2.000    2.001    2.002    2.003    2.005    2.010    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   37.960   41.760   45.940   50.530   55.580   61.140   67.250   73.970   81.370   89.510   98.460  108.300  118.000  128.000  138.000  148.000  158.000  168.000  180.000  190.000  200.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           ca0           ca1           ca2           ca3           ca4
    1.025000E+03   1.0000E-099   4.7645E-022   2.2543E-015   2.1862E-007   1.0000E+000
    1.040053E+03   1.0000E-099   4.7134E-022   2.2336E-015   2.1762E-007   1.0000E+000
    1.070158E+03   1.0000E-099   4.6971E-022   2.2247E-015   2.1710E-007   1.0000E+000
    1.130368E+03   1.0000E-099   4.8031E-022   2.2591E-015   2.1885E-007   1.0000E+000
    1.241494E+03   1.0000E-099   5.1287E-022   2.3701E-015   2.2453E-007   1.0000E+000
    1.363544E+03   1.0000E-099   5.5750E-022   2.5213E-015   2.3206E-007   1.0000E+000
    1.497593E+03   1.0000E-099   6.1901E-022   2.7257E-015   2.4195E-007   1.0000E+000
    1.644821E+03   1.0000E-099   7.0747E-022   3.0123E-015   2.5527E-007   1.0000E+000
    1.806522E+03   1.0000E-099   8.4324E-022   3.4369E-015   2.7402E-007   1.0000E+000
    1.984119E+03   1.0000E-099   1.0710E-021   4.1160E-015   3.0195E-007   1.0000E+000
    2.179177E+03   1.0000E-099   1.4975E-021   5.3050E-015   3.4631E-007   1.0000E+000
    2.393410E+03   1.0000E-099   2.4228E-021   7.6504E-015   4.2250E-007   1.0000E+000
    2.628704E+03   1.0000E-099   4.9168E-021   1.3161E-014   5.6862E-007   1.0000E+000
    2.887130E+03   1.0000E-099   1.4345E-020   3.0200E-014   9.0075E-007   1.0000E+000
    3.114965E+03   1.0000E-099   5.2567E-020   8.4072E-014   1.6012E-006   1.0000E+000
    3.299448E+03   1.0000E-099   2.1241E-019   2.5851E-013   3.0337E-006   1.0000E+000
    3.449550E+03   1.0000E-099   9.1275E-019   8.5730E-013   6.0363E-006   9.9999E-001
    3.582805E+03   1.0000E-099   4.6702E-018   3.3893E-012   1.3335E-005   9.9999E-001
    3.691373E+03   1.0000E-099   2.4525E-017   1.4169E-011   3.0443E-005   9.9997E-001
    3.788986E+03   1.0000E-099   1.5453E-016   7.1919E-011   7.7559E-005   9.9992E-001
    3.867592E+03   1.0000E-099   9.4466E-016   3.6741E-010   1.9758E-004   9.9980E-001
    3.939331E+03   1.0000E-099   7.0237E-015   2.3112E-009   5.6437E-004   9.9944E-001
    4.001586E+03   1.0000E-099   5.8233E-014   1.6526E-008   1.7258E-003   9.9827E-001
    4.053810E+03   1.0000E-099   4.9552E-013   1.2377E-007   5.3922E-003   9.9461E-001
    4.102163E+03   1.0000E-099   5.3882E-012   1.1883E-006   1.9247E-002   9.8075E-001
    4.144813E+03   1.0000E-099   6.6656E-011   1.3058E-005   7.2638E-002   9.2735E-001
    4.181616E+03   1.0000E-099   7.8722E-010   1.3804E-004   2.5025E-001   7.4961E-001
    4.215036E+03   1.0000E-099   7.5329E-009   1.1835E-003   6.2250E-001   3.7632E-001
    4.242895E+03   1.0000E-099   4.2067E-008   5.9569E-003   8.8876E-001   1.0528E-001
    4.267784E+03   1.0000E-099   1.9251E-007   2.4615E-002   9.5559E-001   1.9799E-002
    4.289409E+03   1.0000E-099   8.1072E-007   9.4773E-002   9.0222E-001   3.0060E-003
    4.308154E+03   1.0000E-099   2.7787E-006   3.0287E-001   6.9676E-001   3.6282E-004
    4.325097E+03   1.0000E-099   6.7101E-006   6.8458E-001   3.1540E-001   1.9957E-005
    4.340694E+03   1.0000E-099   9.9294E-006   9.2351E-001   7.6475E-002   5.1334E-007
    4.354635E+03   1.0000E-099   1.2135E-005   9.8712E-001   1.2871E-002   7.7778E-009
    4.365589E+03   1.0000E-099   1.4237E-005   9.9807E-001   1.9108E-003   9.4607E-011
    4.374323E+03   1.0000E-099   1.6567E-005   9.9972E-001   2.6412E-004   9.7714E-013
    4.382197E+03   1.0000E-099   1.9806E-005   9.9995E-001   2.8653E-005   5.7244E-015
    4.388923E+03   1.0000E-099   2.5137E-005   9.9997E-001   2.9854E-006   3.0658E-017
    4.395244E+03   1.0000E-099   3.6133E-005   9.9996E-001   2.4639E-007   9.7029E-020
    4.401473E+03   1.0000E-099   5.9374E-005   9.9994E-001   1.4636E-008   1.5024E-022
    4.406903E+03   1.0000E-099   1.0101E-004   9.9990E-001   9.3105E-010   5.8321E-024
    4.412511E+03   1.0000E-099   1.8882E-004   9.9981E-001   4.0576E-011   5.9449E-024
    4.418048E+03   1.0000E-099   3.8250E-004   9.9962E-001   1.3361E-012   6.4313E-024
    4.422557E+03   1.0000E-099   7.3693E-004   9.9926E-001   6.4492E-014   6.7924E-024
    4.425956E+03   1.0000E-099   1.2741E-003   9.9873E-001   5.2135E-015   7.1459E-024
    4.428657E+03   1.0000E-099   2.0920E-003   9.9791E-001   5.0839E-016   7.6200E-024
    4.430743E+03   1.0000E-099   3.1738E-003   9.9683E-001   6.8968E-017   8.1545E-024
    4.433036E+03   1.0000E-099   5.2803E-003   9.9472E-001   5.9421E-018   8.8792E-024
    4.434874E+03   1.0000E-099   8.3434E-003   9.9166E-001   6.8371E-019   9.4431E-024
    4.436768E+03   1.0000E-099   1.4053E-002   9.8595E-001   6.2675E-020   9.8678E-024
    4.439238E+03   1.0000E-099   3.0130E-002   9.6987E-001   2.2669E-021   1.0079E-023
    4.441732E+03   1.0000E-099   6.8738E-002   9.3126E-001   2.4556E-022   9.8510E-024
    4.444930E+03   1.0000E-099   1.9712E-001   8.0288E-001   1.6876E-022   8.6229E-024
    4.448112E+03   1.0000E-099   4.6263E-001   5.3737E-001   1.2331E-022   5.8902E-024
    4.451446E+03   1.0000E-099   7.6921E-001   2.3079E-001   6.9425E-023   2.5859E-024
    4.454633E+03   1.0000E-099   9.2504E-001   7.4961E-002   3.9286E-023   8.4817E-025
    4.458394E+03   1.0000E-099   9.8201E-001   1.7988E-002   2.7247E-023   2.0370E-025
    4.463266E+03   1.0000E-099   9.9666E-001   3.3371E-003   2.3279E-023   3.7632E-026
    4.478077E+03   1.0000E-099   9.9940E-001   5.9814E-004   2.1766E-023   6.7428E-027
    4.828250E+03   1.0000E-099   9.9962E-001   3.8464E-004   2.6894E-023   5.4054E-027
    5.302911E+03   1.0000E-099   9.9958E-001   4.2095E-004   3.4812E-023   7.6581E-027
    5.824236E+03   1.0000E-099   9.9950E-001   4.9675E-004   4.4214E-023   1.1475E-026
    6.396812E+03   1.0000E-099   9.9940E-001   6.0163E-004   5.5168E-023   1.7331E-026
    7.025678E+03   1.0000E-099   9.9926E-001   7.4310E-004   6.7713E-023   2.6252E-026
    7.716367E+03   1.0000E-099   9.9906E-001   9.3539E-004   8.1853E-023   3.9897E-026
    8.474956E+03   1.0000E-099   9.9880E-001   1.1999E-003   9.7566E-023   6.0904E-026
    9.308123E+03   1.0000E-099   9.9843E-001   1.5665E-003   1.1481E-022   9.3375E-026
    1.022320E+04   1.0000E-099   9.9793E-001   2.0719E-003   1.3353E-022   1.4328E-025
    1.122823E+04   1.0000E-099   9.9725E-001   2.7459E-003   1.5368E-022   2.1788E-025
    1.233207E+04   1.0000E-099   9.9643E-001   3.5698E-003   1.7516E-022   3.2170E-025
    1.354443E+04   1.0000E-099   9.9558E-001   4.4168E-003   1.9775E-022   4.4776E-025
    1.475430E+04   1.0000E-099   9.9503E-001   4.9669E-003   2.1886E-022   5.5620E-025
    1.596250E+04   1.0000E-099   9.9493E-001   5.0731E-003   2.3820E-022   6.1850E-025
    1.715172E+04   1.0000E-099   9.9517E-001   4.8295E-003   2.5552E-022   6.3286E-025
    1.831808E+04   1.0000E-099   9.9548E-001   4.5151E-003   2.7120E-022   6.2925E-025
    1.946215E+04   1.0000E-099   9.9571E-001   4.2934E-003   2.8560E-022   6.3097E-025
    2.056623E+04   1.0000E-099   9.9596E-001   4.0411E-003   2.9850E-022   6.2154E-025
    2.164457E+04   1.0000E-099   9.9635E-001   3.6535E-003   3.1006E-022   5.8478E-025
    2.269608E+04   1.0000E-099   9.9677E-001   3.2255E-003   3.2053E-022   5.3474E-025
    2.371204E+04   1.0000E-099   9.9717E-001   2.8315E-003   3.3004E-022   4.8414E-025
    2.470288E+04   1.0000E-099   9.9752E-001   2.4760E-003   3.3880E-022   4.3519E-025
    2.567282E+04   1.0000E-099   9.9781E-001   2.1949E-003   3.4698E-022   3.9551E-025
    2.662453E+04   1.0000E-099   9.9805E-001   1.9481E-003   3.5458E-022   3.5907E-025
    2.756088E+04   1.0000E-099   9.9828E-001   1.7243E-003   3.6165E-022   3.2447E-025
    2.848473E+04   1.0000E-099   9.9850E-001   1.5049E-003   3.6822E-022   2.8864E-025
    2.939718E+04   1.0000E-099   9.9870E-001   1.2968E-003   3.7436E-022   2.5316E-025
    3.030159E+04   1.0000E-099   9.9890E-001   1.1002E-003   3.8015E-022   2.1836E-025
    3.120144E+04   1.0000E-099   9.9907E-001   9.2708E-004   3.8567E-022   1.8684E-025
    3.209856E+04   1.0000E-099   9.9922E-001   7.8056E-004   3.9097E-022   1.5960E-025
    3.299464E+04   1.0000E-099   9.9934E-001   6.5750E-004   3.9608E-022   1.3627E-025
    3.389124E+04   1.0000E-099   9.9944E-001   5.5698E-004   4.0103E-022   1.1693E-025
    3.478990E+04   1.0000E-099   9.9952E-001   4.7760E-004   4.0586E-022   1.0150E-025
    3.569221E+04   1.0000E-099   9.9958E-001   4.2162E-004   4.1058E-022   9.0649E-026
    3.659989E+04   1.0000E-099   9.9962E-001   3.7710E-004   4.1518E-022   8.1985E-026
    3.751483E+04   1.0000E-099   9.9966E-001   3.4150E-004   4.1966E-022   7.5047E-026
    3.843911E+04   1.0000E-099   9.9968E-001   3.1977E-004   4.2404E-022   7.1006E-026
