#NTIMES: 5
#NSTAGES: 3 
#TIMES[d]: 100 150 200 300 400
#
#TIME: 100
#NVEL: 40
#vel_mid[km/s] ca0 ca1 ca2
2.500000e+02 6.367000e-09 1.533000e-03 9.985000e-01
7.500000e+02 7.194000e-09 1.835000e-03 9.982000e-01
1.250000e+03 5.980000e-09 2.152000e-03 9.978000e-01
1.750000e+03 1.023000e-08 2.454000e-03 9.975000e-01
2.250000e+03 1.576000e-08 2.760000e-03 9.972000e-01
2.750000e+03 2.478000e-08 3.270000e-03 9.967000e-01
3.250000e+03 4.825000e-08 4.392000e-03 9.956000e-01
3.750000e+03 1.037000e-07 6.417000e-03 9.936000e-01
4.250000e+03 1.578000e-07 8.506000e-03 9.915000e-01
4.750000e+03 1.590000e-07 8.025000e-03 9.920000e-01
5.250000e+03 2.413000e-07 1.325000e-02 9.868000e-01
5.750000e+03 3.323000e-07 2.186000e-02 9.781000e-01
6.250000e+03 3.689000e-07 2.789000e-02 9.721000e-01
6.750000e+03 3.542000e-07 2.933000e-02 9.707000e-01
7.250000e+03 3.156000e-07 2.705000e-02 9.729000e-01
7.750000e+03 2.571000e-07 2.189000e-02 9.781000e-01
8.250000e+03 1.860000e-07 1.544000e-02 9.846000e-01
8.750000e+03 1.317000e-07 1.084000e-02 9.892000e-01
9.250000e+03 9.652000e-08 8.183000e-03 9.918000e-01
9.750000e+03 7.627000e-08 6.670000e-03 9.933000e-01
1.025000e+04 6.395000e-08 5.733000e-03 9.943000e-01
1.075000e+04 5.885000e-08 5.116000e-03 9.949000e-01
1.125000e+04 5.581000e-08 4.585000e-03 9.954000e-01
1.175000e+04 5.193000e-08 4.026000e-03 9.960000e-01
1.225000e+04 4.403000e-08 3.237000e-03 9.968000e-01
1.275000e+04 3.172000e-08 2.251000e-03 9.977000e-01
1.325000e+04 1.130000e-08 1.581000e-03 9.984000e-01
1.375000e+04 7.179000e-09 1.340000e-03 9.987000e-01
1.425000e+04 1.628000e-08 1.165000e-03 9.988000e-01
1.475000e+04 7.540000e-09 1.017000e-03 9.990000e-01
1.525000e+04 1.466000e-08 9.444000e-04 9.991000e-01
1.575000e+04 1.565000e-08 9.493000e-04 9.991000e-01
1.625000e+04 9.815000e-09 1.147000e-03 9.989000e-01
1.675000e+04 1.094000e-08 1.329000e-03 9.987000e-01
1.725000e+04 2.458000e-08 1.363000e-03 9.986000e-01
1.775000e+04 2.638000e-08 1.440000e-03 9.986000e-01
1.825000e+04 3.304000e-08 1.755000e-03 9.982000e-01
1.875000e+04 2.566000e-08 1.893000e-03 9.981000e-01
1.925000e+04 2.101000e-08 2.207000e-03 9.978000e-01
1.975000e+04 4.899000e-08 2.374000e-03 9.976000e-01
#
#TIME: 150
#NVEL: 40
#vel_mid[km/s] ca0 ca1 ca2
2.500000e+02 2.885000e-08 1.909000e-03 9.981000e-01
7.500000e+02 1.525000e-08 2.416000e-03 9.976000e-01
1.250000e+03 2.244000e-08 3.219000e-03 9.968000e-01
1.750000e+03 1.190000e-07 4.294000e-03 9.957000e-01
2.250000e+03 2.237000e-07 6.234000e-03 9.938000e-01
2.750000e+03 3.899000e-07 8.601000e-03 9.914000e-01
3.250000e+03 7.564000e-07 1.205000e-02 9.880000e-01
