#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 320
#vel_mid[km/s] ca0 ca1 ca2 ca3 ca4 ca5 ca6 ca7
1.902500E+04 3.967318E-06 9.762027E-01 2.379333E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.907500E+04 4.076717E-06 9.766853E-01 2.331058E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.912500E+04 4.146432E-06 9.771005E-01 2.289536E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.917500E+04 4.222371E-06 9.776697E-01 2.232610E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.922500E+04 4.274040E-06 9.780646E-01 2.193112E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.927500E+04 4.312166E-06 9.782473E-01 2.174843E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.932500E+04 4.330380E-06 9.783207E-01 2.167495E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.937500E+04 4.395501E-06 9.789258E-01 2.106976E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.942500E+04 4.406478E-06 9.789665E-01 2.102910E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.947500E+04 4.418965E-06 9.790148E-01 2.098079E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.952500E+04 4.424906E-06 9.790118E-01 2.098377E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.957500E+04 4.457065E-06 9.792826E-01 2.071290E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.962500E+04 4.489361E-06 9.795655E-01 2.043003E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.967500E+04 4.504480E-06 9.797399E-01 2.025563E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.972500E+04 4.516762E-06 9.798428E-01 2.015266E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.977500E+04 4.531976E-06 9.799987E-01 1.999675E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.982500E+04 4.558114E-06 9.802604E-01 1.973504E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.987500E+04 4.577764E-06 9.804894E-01 1.950604E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.992500E+04 4.571260E-06 9.804756E-01 1.951984E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.997500E+04 4.611586E-06 9.808955E-01 1.909989E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.002500E+04 4.591701E-06 9.807700E-01 1.922544E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.007500E+04 4.592385E-06 9.808236E-01 1.917176E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.012500E+04 4.601674E-06 9.809771E-01 1.901826E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.017500E+04 4.601130E-06 9.810696E-01 1.892585E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.022500E+04 4.622238E-06 9.812946E-01 1.870074E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.027500E+04 4.650031E-06 9.816072E-01 1.838810E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.032500E+04 4.656564E-06 9.817338E-01 1.826152E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.037500E+04 4.653982E-06 9.817845E-01 1.821086E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.042500E+04 4.639161E-06 9.817771E-01 1.821826E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.047500E+04 4.619032E-06 9.816794E-01 1.831603E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.052500E+04 4.641838E-06 9.819610E-01 1.803437E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.057500E+04 4.647917E-06 9.821172E-01 1.787811E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.062500E+04 4.672299E-06 9.823949E-01 1.760045E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.067500E+04 4.663222E-06 9.824347E-01 1.756060E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.072500E+04 4.614229E-06 9.821687E-01 1.782669E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.077500E+04 4.615137E-06 9.822777E-01 1.771764E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.082500E+04 4.597947E-06 9.822461E-01 1.774933E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.087500E+04 4.606678E-06 9.824239E-01 1.757154E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.092500E+04 4.625294E-06 9.826838E-01 1.731155E-02 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
