#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 162
#vel_mid[km/s] ca0 ca1 ca2 ca3 ca4 ca5 ca6 ca7 ca8
1.249994e+02 2.597685e-43 1.240489e-34 4.122413e-27 4.705951e-20 6.400093e-14 1.018368e-08 7.962468e-05 4.178884e-02 9.581315e-01 
3.749991e+02 5.189744e-43 2.563796e-34 8.468295e-27 9.555966e-20 1.235283e-13 1.763581e-08 1.196438e-04 5.205282e-02 9.478275e-01 
6.249988e+02 1.175969e-42 6.044480e-34 1.967788e-26 2.195142e-19 2.673369e-13 3.363271e-08 1.912909e-04 6.687343e-02 9.329352e-01 
8.749978e+02 2.696896e-42 1.444985e-33 4.642952e-26 5.133297e-19 5.853491e-13 6.481745e-08 3.095301e-04 8.642327e-02 9.132671e-01 
1.125000e+03 8.009935e-42 4.450464e-33 1.390489e-25 1.498488e-18 1.561487e-12 1.462488e-07 5.579955e-04 1.174490e-01 8.819928e-01 
1.375003e+03 2.119350e-41 1.228181e-32 3.769664e-25 3.978124e-18 3.839151e-12 3.074795e-07 9.519704e-04 1.547820e-01 8.442657e-01 
1.625005e+03 7.058685e-41 4.207752e-32 1.259903e-24 1.276055e-17 1.106453e-11 7.365585e-07 1.768709e-03 2.107914e-01 7.874392e-01 
1.875006e+03 2.873620e-40 1.758742e-31 5.012630e-24 4.839780e-17 3.686011e-11 1.961840e-06 3.521805e-03 2.921153e-01 7.043609e-01 
2.125006e+03 1.652904e-39 1.023104e-30 2.750555e-23 2.442081e-16 1.552650e-10 6.220881e-06 7.737542e-03 4.112979e-01 5.809583e-01 
2.375008e+03 1.441694e-38 8.874536e-30 2.160029e-22 1.707930e-15 8.556393e-10 2.394450e-05 1.875374e-02 5.676354e-01 4.135869e-01 
2.625010e+03 2.419252e-37 1.432761e-28 3.041680e-21 1.996470e-14 7.116827e-09 1.209626e-04 5.096870e-02 7.292987e-01 2.196117e-01 
2.875008e+03 8.263640e-36 4.593845e-27 8.087631e-20 4.057016e-13 9.064483e-08 7.946823e-04 1.460878e-01 7.797215e-01 7.339591e-02 
3.125008e+03 8.196704e-34 4.063323e-25 5.583567e-18 1.863524e-11 2.108725e-06 7.285959e-03 4.196432e-01 5.625601e-01 1.050859e-02 
3.375011e+03 2.718288e-31 1.112027e-22 1.106143e-15 1.935751e-09 7.943050e-05 7.119326e-02 7.825375e-01 1.459168e-01 2.730056e-04 
3.625012e+03 5.301972e-28 1.553845e-19 1.023648e-12 5.984404e-07 4.876764e-03 5.406962e-01 4.504052e-01 4.021100e-03 2.199531e-07 
3.875015e+03 5.752463e-24 1.002994e-15 4.095557e-09 3.490811e-04 2.025654e-01 7.866616e-01 1.042327e-02 7.129121e-07 1.381574e-13 
4.125020e+03 2.614884e-19 2.067695e-11 4.890801e-05 1.365550e-01 8.522585e-01 1.113747e-02 1.249333e-07 2.116119e-15 2.735943e-26 
4.375025e+03 9.419055e-15 2.268676e-07 2.040795e-01 7.950492e-01 8.710094e-04 2.228163e-10 3.139685e-21 6.431290e-36 8.254333e-55 
4.625029e+03 1.470226e-03 9.984371e-01 9.271201e-05 3.812713e-50 8.338595e-114 2.271170e-196 3.335438e-305 0.000000e+00 0.000000e+00 
4.875029e+03 9.999006e-01 9.939132e-05 6.047303e-26 7.663909e-159 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.125029e+03 1.000000e+00 1.764706e-11 7.385621e-52 4.300654e-288 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.375030e+03 1.000000e+00 1.829787e-11 8.014184e-52 4.872340e-288 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.625029e+03 1.000000e+00 1.914729e-11 8.759690e-52 5.565891e-288 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
5.875027e+03 1.000000e+00 2.008475e-11 9.576271e-52 6.347458e-288 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.125024e+03 1.000000e+00 2.082569e-11 1.036697e-51 7.174312e-288 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.375019e+03 1.000000e+00 2.178715e-11 1.134538e-51 8.202811e-288 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.625017e+03 1.000000e+00 2.275711e-11 1.236324e-51 9.332604e-288 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
6.875017e+03 1.000000e+00 2.374702e-11 1.348449e-51 1.063246e-287 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
7.125017e+03 1.000000e+00 2.483745e-11 1.469441e-51 1.209363e-287 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
7.375020e+03 1.000000e+00 2.595745e-11 1.602837e-51 1.377305e-287 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
7.625021e+03 1.000000e+00 2.704791e-11 1.746522e-51 1.561051e-287 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
7.875023e+03 1.000000e+00 2.833052e-11 1.905565e-51 1.787521e-287 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
8.125025e+03 1.000000e+00 2.959559e-11 2.077206e-51 2.040441e-287 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
8.375030e+03 1.000000e+00 3.086172e-11 2.264529e-51 2.304609e-287 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
8.625034e+03 1.000000e+00 3.209607e-11 2.467249e-51 2.620087e-287 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
8.875032e+03 1.000000e+00 3.357143e-11 2.690476e-51 3.000000e-287 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
9.125029e+03 1.000000e+00 3.506494e-11 2.935065e-51 3.402597e-287 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
9.375026e+03 1.000000e+00 3.654391e-11 3.201133e-51 3.881020e-287 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
9.625020e+03 1.000000e+00 3.827160e-11 3.487654e-51 4.413580e-287 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
9.875013e+03 1.000000e+00 4.006734e-11 3.804714e-51 5.050505e-287 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.012500e+04 1.000000e+00 4.175824e-11 4.139194e-51 5.714286e-287 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.037500e+04 1.000000e+00 4.360000e-11 4.520000e-51 6.520000e-287 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.062501e+04 1.000000e+00 4.521739e-11 4.913043e-51 7.391304e-287 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.087502e+04 1.000000e+00 4.734597e-11 5.355450e-51 8.436019e-287 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.112502e+04 1.000000e+00 4.958549e-11 5.854922e-51 9.637306e-287 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.137501e+04 1.000000e+00 5.180791e-11 6.384181e-51 1.096045e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.162501e+04 1.000000e+00 5.419753e-11 6.975309e-51 1.246914e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.187501e+04 1.000000e+00 5.644295e-11 7.583893e-51 1.416107e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.212501e+04 1.000000e+00 5.875912e-11 8.248175e-51 1.613139e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.237501e+04 1.000000e+00 6.168000e-11 9.040000e-51 1.840000e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.262501e+04 1.000000e+00 6.426087e-11 9.826087e-51 2.086957e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.287501e+04 1.000000e+00 6.669811e-11 1.066038e-50 2.367925e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.312501e+04 1.000000e+00 6.993802e-11 1.167355e-50 2.706612e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.337501e+04 1.000000e+00 7.308559e-11 1.272523e-50 3.085586e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.362501e+04 1.000000e+00 7.628993e-11 1.388206e-50 3.513514e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.387500e+04 1.000000e+00 7.965194e-11 1.512718e-50 3.989290e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.412500e+04 1.000000e+00 8.321168e-11 1.649635e-50 4.554745e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.437500e+04 1.000000e+00 8.694268e-11 1.799363e-50 5.175159e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.462500e+04 1.000000e+00 9.079861e-11 1.961806e-50 5.902778e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.487500e+04 1.000000e+00 9.470699e-11 2.136106e-50 6.710775e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.512500e+04 1.000000e+00 9.896907e-11 2.329897e-50 7.628866e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.537500e+04 1.000000e+00 1.031461e-10 2.539326e-50 8.696629e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.562501e+04 1.000000e+00 1.078431e-10 2.769608e-50 9.901961e-286 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.587500e+04 1.000000e+00 1.125668e-10 3.021390e-50 1.125668e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.612500e+04 1.000000e+00 1.177843e-10 3.294461e-50 1.282799e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.637500e+04 1.000000e+00 1.225397e-10 3.587302e-50 1.457143e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.662500e+04 1.000000e+00 1.280277e-10 3.910035e-50 1.660900e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.687500e+04 1.000000e+00 1.335849e-10 4.264151e-50 1.890566e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.712500e+04 1.000000e+00 1.399177e-10 4.650206e-50 2.152263e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.737501e+04 1.000000e+00 1.457399e-10 5.067265e-50 2.448430e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.762501e+04 1.000000e+00 1.517073e-10 5.512195e-50 2.780488e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.787501e+04 1.000000e+00 1.585106e-10 6.010638e-50 3.164894e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.812500e+04 1.000000e+00 1.662791e-10 6.569767e-50 3.616279e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.837501e+04 1.000000e+00 1.734177e-10 7.151899e-50 4.107595e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.862501e+04 1.000000e+00 1.806897e-10 7.793103e-50 4.675862e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.887501e+04 1.000000e+00 1.887218e-10 8.496241e-50 5.323308e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.912501e+04 1.000000e+00 1.967213e-10 9.262295e-50 6.057377e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.937501e+04 1.000000e+00 2.053571e-10 1.008929e-49 6.883929e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.962501e+04 1.000000e+00 2.156863e-10 1.107843e-49 7.901961e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.987501e+04 1.000000e+00 2.244681e-10 1.202128e-49 8.946809e-285 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.012501e+04 1.000000e+00 2.343387e-10 1.310905e-49 1.018561e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.037501e+04 1.000000e+00 2.452592e-10 1.428571e-49 1.159292e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.062501e+04 1.000000e+00 2.548209e-10 1.556474e-49 1.318182e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.087500e+04 1.000000e+00 2.676692e-10 1.699248e-49 1.503759e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.112500e+04 1.000000e+00 2.786885e-10 1.852459e-49 1.704918e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.137501e+04 1.000000e+00 2.910714e-10 2.017857e-49 1.946429e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.162501e+04 1.000000e+00 3.035019e-10 2.198444e-49 2.217899e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.187500e+04 1.000000e+00 3.163482e-10 2.399151e-49 2.526539e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.212501e+04 1.000000e+00 3.310185e-10 2.615741e-49 2.870370e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.237501e+04 1.000000e+00 3.459596e-10 2.853535e-49 3.282828e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.262501e+04 1.000000e+00 3.598901e-10 3.104396e-49 3.708791e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.287500e+04 1.000000e+00 3.783784e-10 3.393393e-49 4.234234e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.312500e+04 1.000000e+00 3.921569e-10 3.692810e-49 4.803922e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.337500e+04 1.000000e+00 4.092527e-10 4.021352e-49 5.480427e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.362500e+04 1.000000e+00 4.280156e-10 4.396887e-49 6.264591e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.387500e+04 1.000000e+00 4.491525e-10 4.788136e-49 7.118644e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.412499e+04 1.000000e+00 4.654378e-10 5.207373e-49 8.064516e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.437499e+04 1.000000e+00 4.879397e-10 5.678392e-49 9.195980e-284 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.462499e+04 1.000000e+00 5.109890e-10 6.208791e-49 1.049451e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.487499e+04 1.000000e+00 5.329341e-10 6.766467e-49 1.191617e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.512498e+04 1.000000e+00 5.575163e-10 7.385621e-49 1.359477e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.537498e+04 1.000000e+00 5.794326e-10 8.014184e-49 1.539007e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.562498e+04 1.000000e+00 6.062016e-10 8.759690e-49 1.759690e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.587498e+04 1.000000e+00 6.347458e-10 9.576271e-49 2.008475e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.612497e+04 1.000000e+00 6.577982e-10 1.036697e-48 2.275229e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.637497e+04 1.000000e+00 6.904523e-10 1.135678e-48 2.592965e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.662497e+04 1.000000e+00 7.207010e-10 1.237678e-48 2.957284e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.687497e+04 1.000000e+00 7.526882e-10 1.350060e-48 3.369176e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.712497e+04 1.000000e+00 7.864583e-10 1.471354e-48 3.828125e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.737497e+04 1.000000e+00 8.198582e-10 1.602837e-48 4.354610e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.762497e+04 1.000000e+00 8.575851e-10 1.749226e-48 4.969040e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.787497e+04 1.000000e+00 8.937605e-10 1.905565e-48 5.649241e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.812497e+04 1.000000e+00 9.338235e-10 2.077206e-48 6.433824e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.837497e+04 1.000000e+00 9.739479e-10 2.264529e-48 7.314629e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.862497e+04 1.000000e+00 1.017467e-09 2.467249e-48 8.318777e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.887497e+04 1.000000e+00 1.061905e-09 2.690476e-48 9.476190e-283 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.912498e+04 1.000000e+00 1.109091e-09 2.935065e-48 1.080519e-282 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.937498e+04 1.000000e+00 1.158640e-09 3.201133e-48 1.229462e-282 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.962498e+04 1.000000e+00 1.209877e-09 3.487654e-48 1.398148e-282 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
2.987498e+04 1.000000e+00 1.262626e-09 3.804714e-48 1.592593e-282 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.012498e+04 1.000000e+00 1.315018e-09 4.139194e-48 1.809524e-282 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.037497e+04 1.000000e+00 1.376000e-09 4.520000e-48 2.064000e-282 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.062497e+04 1.000000e+00 1.441048e-09 4.934498e-48 2.353712e-282 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.087497e+04 1.000000e+00 1.504762e-09 5.380952e-48 2.676190e-282 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
3.112498e+04 1.000000e+00 1.564767e-09 5.854922e-48 3.041451e-282 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
