#NTIMES:    60
#NSTAGES:     6
#TIMES[d]:     2.000    2.001    2.002    2.003    2.005    2.010    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   37.960   41.760   45.940   50.530   55.580   61.140   67.250   73.970   81.370   89.510   98.460  108.300  118.000  128.000  138.000  148.000  158.000  168.000  180.000  190.000  200.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5
    1.025000E+03   1.0000E-099   6.4344E-031   6.7893E-022   9.7400E-014   2.7582E-006   1.0000E+000
    1.040053E+03   1.0000E-099   6.3132E-031   6.6941E-022   9.6489E-014   2.7459E-006   1.0000E+000
    1.070158E+03   1.0000E-099   6.2632E-031   6.6783E-022   9.6644E-014   2.7505E-006   1.0000E+000
    1.130368E+03   1.0000E-099   6.4402E-031   6.8909E-022   9.9601E-014   2.7988E-006   1.0000E+000
    1.241494E+03   1.0000E-099   7.0420E-031   7.5323E-022   1.0767E-013   2.9240E-006   1.0000E+000
    1.363544E+03   1.0000E-099   7.9052E-031   8.4275E-022   1.1851E-013   3.0855E-006   1.0000E+000
    1.497593E+03   1.0000E-099   9.1487E-031   9.6864E-022   1.3326E-013   3.2948E-006   1.0000E+000
    1.644821E+03   1.0000E-099   1.1035E-030   1.1544E-021   1.5419E-013   3.5745E-006   1.0000E+000
    1.806522E+03   1.0000E-099   1.4136E-030   1.4491E-021   1.8578E-013   3.9658E-006   1.0000E+000
    1.984119E+03   1.0000E-099   1.9840E-030   1.9670E-021   2.3778E-013   4.5491E-006   1.0000E+000
    2.179177E+03   1.0000E-099   3.1981E-030   3.0039E-021   3.3314E-013   5.4854E-006   9.9999E-001
    2.393410E+03   1.0000E-099   6.3645E-030   5.4858E-021   5.3525E-013   7.1351E-006   9.9999E-001
    2.628704E+03   1.0000E-099   1.7581E-029   1.3236E-020   1.0648E-012   1.0454E-005   9.9999E-001
    2.887130E+03   1.0000E-099   8.2337E-029   5.0065E-020   2.9928E-012   1.8595E-005   9.9998E-001
    3.114965E+03   1.0000E-099   5.3886E-028   2.5182E-019   1.0491E-011   3.7562E-005   9.9996E-001
    3.299448E+03   1.0000E-099   4.0872E-027   1.4395E-018   4.0693E-011   8.0669E-005   9.9992E-001
    3.449550E+03   1.0000E-099   3.4096E-026   8.9580E-018   1.6916E-010   1.8090E-004   9.9982E-001
    3.582805E+03   1.0000E-099   3.6875E-025   7.0049E-017   8.4375E-010   4.5150E-004   9.9955E-001
    3.691373E+03   1.0000E-099   4.1615E-024   5.7139E-016   4.3676E-009   1.1541E-003   9.9885E-001
    3.788986E+03   1.0000E-099   6.1520E-023   5.9260E-015   2.7394E-008   3.2975E-003   9.9670E-001
    3.867592E+03   1.0000E-099   8.7062E-022   5.9544E-014   1.6804E-007   9.3006E-003   9.9070E-001
    3.939331E+03   1.0000E-099   1.6268E-020   7.6662E-013   1.2527E-006   2.9189E-002   9.7081E-001
    4.001586E+03   1.0000E-099   3.4192E-019   1.0964E-011   1.0065E-005   9.3750E-002   9.0624E-001
    4.053810E+03   1.0000E-099   6.5240E-018   1.4271E-010   7.2947E-005   2.6715E-001   7.3277E-001
    4.102163E+03   1.0000E-099   1.2286E-016   1.7658E-009   4.6764E-004   6.0027E-001   3.9927E-001
    4.144813E+03   1.0000E-099   1.7361E-015   1.6048E-008   2.0945E-003   8.7171E-001   1.2619E-001
    4.181616E+03   1.0000E-099   2.0526E-014   1.2094E-007   7.5227E-003   9.6427E-001   2.8203E-002
    4.215036E+03   1.0000E-099   2.7687E-013   1.0062E-006   2.7625E-002   9.6755E-001   4.8233E-003
    4.242895E+03   1.0000E-099   3.6023E-012   8.0912E-006   9.6408E-002   9.0284E-001   7.3915E-004
    4.267784E+03   1.0000E-099   4.5751E-011   6.2245E-005   3.0372E-001   6.9614E-001   8.2009E-005
    4.289409E+03   1.0000E-099   4.1252E-010   3.3943E-004   6.5425E-001   3.4540E-001   5.2860E-006
    4.308154E+03   1.0000E-099   2.3215E-009   1.1758E-003   8.9183E-001   1.0700E-001   2.0404E-007
    4.325097E+03   1.0000E-099   1.2385E-008   3.6840E-003   9.7439E-001   2.1921E-002   3.8858E-009
    4.340694E+03   1.0000E-099   6.9597E-008   1.1591E-002   9.8467E-001   3.7348E-003   5.2432E-011
    4.354635E+03   1.0000E-099   4.4423E-007   3.8923E-002   9.6054E-001   5.3940E-004   4.9413E-013
    4.365589E+03   1.0000E-099   2.8074E-006   1.2734E-001   8.7259E-001   6.7972E-005   3.6016E-015
    4.374323E+03   1.0000E-099   1.4951E-005   3.5154E-001   6.4844E-001   6.6168E-006   1.7935E-017
    4.382197E+03   1.0000E-099   6.1008E-005   7.0033E-001   2.9961E-001   3.1566E-007   2.9567E-020
    4.388923E+03   1.0000E-099   1.6638E-004   9.1205E-001   8.7785E-002   9.2504E-009   2.8415E-023
    4.395244E+03   1.0000E-099   4.1938E-004   9.8168E-001   1.7903E-002   1.4998E-010   1.1751E-025
    4.401473E+03   1.0000E-099   1.1344E-003   9.9612E-001   2.7457E-003   1.3234E-012   1.6183E-026
    4.406903E+03   1.0000E-099   2.9374E-003   9.9663E-001   4.3686E-004   1.3092E-014   2.5498E-027
    4.412511E+03   1.0000E-099   8.4277E-003   9.9152E-001   5.4473E-005   6.9926E-017   3.2386E-028
    4.418048E+03   1.0000E-099   2.5932E-002   9.7406E-001   5.6237E-006   2.3499E-019   3.4598E-029
    4.422557E+03   1.0000E-099   6.8805E-002   9.3119E-001   7.2613E-007   1.4608E-021   4.5520E-030
    4.425956E+03   1.0000E-099   1.4646E-001   8.5354E-001   1.2671E-007   2.5100E-023   8.1308E-031
    4.428657E+03   1.0000E-099   2.6966E-001   7.3034E-001   2.3544E-008   4.3696E-024   1.5733E-031
    4.430743E+03   1.0000E-099   4.1373E-001   5.8627E-001   5.1273E-009   3.3002E-024   3.5981E-032
    4.433036E+03   1.0000E-099   6.0844E-001   3.9156E-001   6.9463E-010   2.2881E-024   5.1961E-033
    4.434874E+03   1.0000E-099   7.5796E-001   2.4204E-001   1.0515E-010   1.4574E-024   8.2255E-034
    4.436768E+03   1.0000E-099   8.7306E-001   1.2694E-001   1.1594E-011   7.7743E-025   9.3322E-035
    4.439238E+03   1.0000E-099   9.5554E-001   4.4461E-002   4.3957E-013   2.7172E-025   3.5686E-036
    4.441732E+03   1.0000E-099   9.8679E-001   1.3214E-002   1.1829E-014   7.9201E-026   9.4878E-038
    4.444930E+03   1.0000E-099   9.9758E-001   2.4191E-003   8.1766E-017   1.4073E-026   6.4072E-040
    4.448112E+03   1.0000E-099   9.9958E-001   4.1636E-004   4.8648E-019   2.3720E-027   3.7488E-042
    4.451446E+03   1.0000E-099   9.9993E-001   6.5164E-005   2.4228E-021   3.6470E-028   1.8395E-044
    4.454633E+03   1.0000E-099   9.9999E-001   1.1781E-005   1.6312E-022   6.4307E-029   1.2105E-045
    4.458394E+03   1.0000E-099   1.0000E+000   1.9810E-006   1.4046E-022   1.0442E-029   1.0084E-045
    4.463266E+03   1.0000E-099   1.0000E+000   3.2399E-007   1.3388E-022   1.6389E-030   9.2369E-046
    4.478077E+03   1.0000E-099   1.0000E+000   6.5958E-008   1.2855E-022   3.2243E-031   8.5828E-046
    4.828250E+03   1.0000E-099   1.0000E+000   5.6221E-009   1.6006E-022   3.4315E-032   1.3498E-045
    5.302911E+03   1.0000E-099   1.0000E+000   4.0382E-009   2.0850E-022   3.2178E-032   2.3275E-045
