#NTIMES:     60
#NSTAGES:     6
#TIMES[d]:     2.000    2.001    2.002    2.003    2.005    2.010    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   37.960   41.760   45.940   50.530   55.580   61.140   67.250   73.970   81.370   89.510   98.460  108.300  118.000  128.000  138.000  148.000  158.000  168.000  180.000  190.000  200.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5
    1.025000E+03    1.0136E-40    3.2717E-30    7.1814E-22    9.9174E-14    1.4859E-06    1.0000E+00
    1.040053E+03    9.8953E-41    3.2099E-30    7.0783E-22    9.8225E-14    1.4786E-06    1.0000E+00
    1.070158E+03    9.7472E-41    3.1786E-30    7.0474E-22    9.8272E-14    1.4811E-06    1.0000E+00
    1.130368E+03    9.9118E-41    3.2485E-30    7.2374E-22    1.0074E-13    1.5070E-06    1.0000E+00
    1.241494E+03    1.0645E-40    3.5042E-30    7.8376E-22    1.0757E-13    1.5741E-06    1.0000E+00
    1.363544E+03    1.1735E-40    3.8719E-30    8.6751E-22    1.1670E-13    1.6606E-06    1.0000E+00
    1.497593E+03    1.3340E-40    4.3998E-30    9.8485E-22    1.2908E-13    1.7724E-06    1.0000E+00
    1.644821E+03    1.5824E-40    5.1954E-30    1.1570E-21    1.4654E-13    1.9215E-06    1.0000E+00
    1.806522E+03    1.9996E-40    6.4899E-30    1.4280E-21    1.7268E-13    2.1296E-06    1.0000E+00
    1.984119E+03    2.7846E-40    8.8327E-30    1.8988E-21    2.1519E-13    2.4391E-06    1.0000E+00
    2.179177E+03    4.4990E-40    1.3696E-29    2.8257E-21    2.9176E-13    2.9343E-06    1.0000E+00
    2.393410E+03    9.1222E-40    2.5911E-29    4.9906E-21    4.4970E-13    3.8029E-06    1.0000E+00
    2.628704E+03    2.6326E-39    6.6790E-29    1.1509E-20    8.4751E-13    5.5384E-06    9.9999E-01
    2.887130E+03    1.3392E-38    2.8328E-28    4.0865E-20    2.2147E-12    9.7492E-06    9.9999E-01
    3.114965E+03    9.7721E-38    1.6488E-27    1.9106E-19    7.1733E-12    1.9403E-05    9.9998E-01
    3.299448E+03    8.3454E-37    1.1035E-26    1.0122E-18    2.5762E-11    4.0914E-05    9.9996E-01
    3.449550E+03    7.8638E-36    8.0778E-26    5.8298E-18    9.9529E-11    8.9813E-05    9.9991E-01
    3.582805E+03    9.7111E-35    7.5457E-25    4.1891E-17    4.6057E-10    2.1841E-04    9.9978E-01
    3.691373E+03    1.2489E-33    7.3404E-24    3.1433E-16    2.2233E-09    5.4288E-04    9.9946E-01
    3.788986E+03    2.1253E-32    9.2141E-23    2.9812E-15    1.2987E-08    1.5022E-03    9.9850E-01
    3.867592E+03    3.4453E-31    1.1138E-21    2.7564E-14    7.4762E-08    4.1096E-03    9.9589E-01
    3.939331E+03    7.5028E-30    1.7646E-20    3.2706E-13    5.2546E-07    1.2552E-02    9.8745E-01
    4.001586E+03    1.8944E-28    3.2126E-19    4.4254E-12    4.0911E-06    4.0236E-02    9.5976E-01
    4.053810E+03    4.6878E-27    5.7590E-18    5.9132E-11    3.1176E-05    1.2386E-01    8.7611E-01
    4.102163E+03    1.3814E-25    1.1954E-16    8.8849E-10    2.4909E-04    3.5650E-01    6.4325E-01
    4.144813E+03    3.2807E-24    1.9749E-15    1.0430E-08    1.4803E-03    7.0557E-01    2.9295E-01
    4.181616E+03    5.6021E-23    2.3463E-14    8.7161E-08    6.0603E-03    9.1265E-01    8.1291E-02
