#NTIMES: 257
#NSTAGES: 6
#TIMES[d]: 2.2 2.42 2.662 2.9282 3.22102 3.543122 3.897434 4.287178 4.715896 5.187485 5.706233 6.276857 6.904542 7.594996 8.354497 9.189946 10.10894 11.10894 12.10894 13.108941 14.108941 15.108941 16.108941 17.108941 18.108941 19.108941 20.108941 21.108941 22.108941 23.108941 24.108941 25.108941 26.108941 27.108941 28.108941 29.108941 30.108941 31.108941 32.108941 33.108941 34.108941 35.108941 36.108941 37.108941 38.108941 39.108941 40.108941 41.108941 42.108941 43.108941 44.108941 45.108941 46.108941 47.108941 48.108941 49.108941 50.108941 51.108941 52.108941 53.108941 54.108941 55.108941 56.108941 57.108941 58.108941 59.108941 60.108941 61.108941 62.108941 63.108941 64.108941 65.108941 66.108941 67.108941 68.108941 69.108941 70.108941 71.108941 72.108941 73.108941 74.108941 75.108941 76.108941 77.108941 78.108941 79.108941 80.108941 81.108941 82.108941 83.108941 84.108941 85.108941 86.108941 87.108941 88.108941 89.108941 90.108941 91.108941 92.108941 93.108941 94.108941 95.108941 96.108941 97.108935 98.108935 99.108935 100.108935 101.108935 102.108935 103.108935 104.108935 105.108935 106.108935 107.108935 108.108935 109.108935 110.108935 111.108935 112.108935 113.108935 114.108935 115.108935 116.108935 117.108935 118.108935 119.108935 120.108935 121.108935 122.108935 123.108935 124.108935 125.108935 126.108935 127.108935 128.108935 129.108935 130.108935 131.108935 132.108935 133.108935 134.108935 135.108935 136.108935 137.108935 138.108935 139.108935 140.108935 141.108935 142.108935 143.108935 144.108935 145.108935 146.108935 147.108935 148.108935 149.108935 150.108935 151.108935 152.108935 153.108935 154.108935 155.108935 156.108935 157.108935 158.108935 159.108935 160.108935 161.108935 162.108935 163.108935 164.108935 165.108935 166.108935 167.108935 168.108935 169.108935 170.108935 171.108935 172.108935 173.108935 174.108935 175.108935 176.108935 177.108935 178.108935 179.108935 180.108935 181.108935 182.108935 183.108935 184.108935 185.108935 186.108935 187.108935 188.108935 189.108935 190.108935 191.108935 192.108935 193.108935 194.108935 195.108935 196.108935 197.108935 198.108935 199.108935 200.108935 201.108935 202.108935 203.108935 204.108935 205.108935 206.108935 207.108935 208.108935 209.108935 210.108935 211.108935 212.108935 213.108935 214.108935 215.108935 216.108935 217.108935 218.108935 219.108935 220.108935 221.108935 222.108935 223.108935 224.108935 225.108935 226.108935 227.108935 228.108935 229.108935 230.108935 231.108935 232.108935 233.108935 234.108935 235.108935 236.108935 237.108935 238.108935 239.108935 240.108935 241.108935 242.108935 243.108935 244.108935 245.108935 246.108935 247.108935 248.108935 249.108935 250.108935
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4 fe5
2.500e+02 2.382524e-39 6.871368e-30 5.751007e-21 1.012287e-12 2.746519e-05 9.999725e-01
7.500e+02 2.857068e-39 8.649302e-30 7.300868e-21 1.237062e-12 3.086237e-05 9.999691e-01
1.250e+03 3.837256e-39 1.213543e-29 1.020278e-20 1.630011e-12 3.628291e-05 9.999637e-01
1.750e+03 6.979719e-39 2.221033e-29 1.774225e-20 2.523867e-12 4.673440e-05 9.999533e-01
2.250e+03 2.515161e-38 7.380380e-29 5.029530e-20 5.596924e-12 7.359768e-05 9.999264e-01
2.750e+03 3.074941e-37 7.225857e-28 3.501782e-19 2.433967e-11 1.699669e-04 9.998300e-01
3.250e+03 2.492256e-35 4.005275e-26 1.089002e-17 3.423877e-10 7.809250e-04 9.992191e-01
3.750e+03 2.707883e-31 1.973222e-22 1.685830e-14 1.065292e-07 2.127081e-02 9.787291e-01
4.250e+03 5.830620e-22 6.058355e-14 2.790365e-07 1.369643e-02 9.852470e-01 1.056250e-03
4.750e+03 3.583392e-02 9.641660e-01 3.824724e-08 2.070049e-30 6.395389e-76 1.388230e-142
5.250e+03 3.093204e-02 9.690679e-01 4.476005e-08 2.820715e-30 1.014690e-75 2.564579e-142
5.750e+03 2.663763e-02 9.733623e-01 5.243777e-08 3.854305e-30 1.617163e-75 4.767270e-142
6.250e+03 2.289024e-02 9.771097e-01 6.149320e-08 5.280111e-30 2.588003e-75 8.912404e-142
6.750e+03 1.963344e-02 9.803665e-01 7.217241e-08 7.249134e-30 4.156300e-75 1.674310e-141
7.250e+03 1.681357e-02 9.831863e-01 8.476226e-08 9.970143e-30 6.694314e-75 3.158050e-141
7.750e+03 1.438055e-02 9.856194e-01 9.959413e-08 1.373063e-29 1.080570e-74 5.974805e-141
8.250e+03 1.228697e-02 9.877129e-01 1.170597e-07 1.892850e-29 1.747153e-74 1.133063e-140
8.750e+03 1.049044e-02 9.895094e-01 1.376059e-07 2.610877e-29 2.827753e-74 2.151814e-140
9.250e+03 8.951865e-03 9.910480e-01 1.617583e-07 3.602223e-29 4.579104e-74 4.089768e-140
9.750e+03 7.637023e-03 9.923628e-01 1.901111e-07 4.969089e-29 7.413988e-74 7.772043e-140
1.025e+04 6.514592e-03 9.934852e-01 2.233708e-07 6.852095e-29 1.199848e-73 1.476174e-139
1.075e+04 5.557745e-03 9.944420e-01 2.623319e-07 9.441801e-29 1.939833e-73 2.800156e-139
1.125e+04 4.742620e-03 9.952571e-01 3.079236e-07 1.299819e-28 3.132048e-73 5.302519e-139
1.175e+04 4.048201e-03 9.959514e-01 3.612476e-07 1.787738e-28 5.050202e-73 1.002355e-138
