#NTIMES:    60
#NSTAGES:     6
#TIMES[d]:     2.000    2.001    2.002    2.003    2.005    2.010    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   37.960   41.760   45.940   50.530   55.580   61.140   67.250   73.970   81.370   89.510   98.460  108.300  118.000  128.000  138.000  148.000  158.000  168.000  180.000  190.000  200.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           ni0           ni1           ni2           ni3           ni4           ni5
    1.025000E+03   1.0000E-099   2.8184E-030   1.6480E-021   3.0827E-013   8.4390E-006   9.9999E-001
    1.040053E+03   1.0000E-099   2.7696E-030   1.6265E-021   3.0555E-013   8.4016E-006   9.9999E-001
    1.070158E+03   1.0000E-099   2.7490E-030   1.6230E-021   3.0598E-013   8.4168E-006   9.9999E-001
    1.130368E+03   1.0000E-099   2.8267E-030   1.6759E-021   3.1521E-013   8.5690E-006   9.9999E-001
    1.241494E+03   1.0000E-099   3.0905E-030   1.8363E-021   3.4057E-013   8.9632E-006   9.9999E-001
    1.363544E+03   1.0000E-099   3.4692E-030   2.0607E-021   3.7472E-013   9.4708E-006   9.9999E-001
    1.497593E+03   1.0000E-099   4.0147E-030   2.3768E-021   4.2119E-013   1.0128E-005   9.9999E-001
    1.644821E+03   1.0000E-099   4.8422E-030   2.8438E-021   4.8709E-013   1.1004E-005   9.9999E-001
    1.806522E+03   1.0000E-099   6.2025E-030   3.5870E-021   5.8655E-013   1.2229E-005   9.9999E-001
    1.984119E+03   1.0000E-099   8.7050E-030   4.8975E-021   7.5018E-013   1.4053E-005   9.9999E-001
    2.179177E+03   1.0000E-099   1.4033E-029   7.5347E-021   1.0502E-012   1.6977E-005   9.9998E-001
    2.393410E+03   1.0000E-099   2.7928E-029   1.3894E-020   1.6857E-012   2.2125E-005   9.9998E-001
    2.628704E+03   1.0000E-099   7.7152E-029   3.3964E-020   3.3503E-012   3.2472E-005   9.9997E-001
    2.887130E+03   1.0000E-099   3.6153E-028   1.3097E-019   9.4132E-012   5.7815E-005   9.9994E-001
    3.114965E+03   1.0000E-099   2.3683E-027   6.7367E-019   3.3008E-011   1.1668E-004   9.9988E-001
    3.299448E+03   1.0000E-099   1.7992E-026   3.9441E-018   1.2823E-010   2.4988E-004   9.9975E-001
    3.449550E+03   1.0000E-099   1.5046E-025   2.5158E-017   5.3458E-010   5.5774E-004   9.9944E-001
    3.582805E+03   1.0000E-099   1.6327E-024   2.0216E-016   2.6780E-009   1.3824E-003   9.9862E-001
    3.691373E+03   1.0000E-099   1.8495E-023   1.6939E-015   1.3933E-008   3.5018E-003   9.9650E-001
    3.788986E+03   1.0000E-099   2.7422E-022   1.8050E-014   8.7782E-008   9.8697E-003   9.9013E-001
    3.867592E+03   1.0000E-099   3.8695E-021   1.8488E-013   5.3756E-007   2.7244E-002   9.7276E-001
    3.939331E+03   1.0000E-099   7.0512E-020   2.3743E-012   3.9103E-006   8.1443E-002   9.1855E-001
    4.001586E+03   1.0000E-099   1.3480E-018   3.1562E-011   2.8570E-005   2.3147E-001   7.6850E-001
    4.053810E+03   1.0000E-099   2.0558E-017   3.3490E-010   1.6527E-004   5.1146E-001   4.8837E-001
    4.102163E+03   1.0000E-099   2.8288E-016   3.0872E-009   7.7136E-004   8.0894E-001   1.9029E-001
    4.144813E+03   1.0000E-099   3.3705E-015   2.4081E-008   2.8936E-003   9.4772E-001   4.9388E-002
    4.181616E+03   1.0000E-099   3.9176E-014   1.8116E-007   1.0110E-002   9.7937E-001   1.0516E-002
    4.215036E+03   1.0000E-099   5.4941E-013   1.5879E-006   3.7997E-002   9.6020E-001   1.7985E-003
    4.242895E+03   1.0000E-099   7.3975E-012   1.3344E-005   1.3444E-001   8.6527E-001   2.7298E-004
    4.267784E+03   1.0000E-099   9.1430E-011   1.0055E-004   4.0112E-001   5.9875E-001   2.7991E-005
    4.289409E+03   1.0000E-099   7.4506E-010   4.9696E-004   7.5483E-001   2.4467E-001   1.5370E-006
    4.308154E+03   1.0000E-099   3.9616E-009   1.6250E-003   9.3379E-001   6.4585E-002   5.2509E-008
    4.325097E+03   1.0000E-099   2.1423E-008   5.1403E-003   9.8304E-001   1.1825E-002   9.3711E-010
    4.340694E+03   1.0000E-099   1.2610E-007   1.6810E-002   9.8136E-001   1.8313E-003   1.2151E-011
    4.354635E+03   1.0000E-099   8.4609E-007   5.8653E-002   9.4111E-001   2.3702E-004   1.0951E-013
    4.365589E+03   1.0000E-099   5.4463E-006   1.9236E-001   8.0761E-001   2.5489E-005   7.3383E-016
    4.374323E+03   1.0000E-099   2.7059E-005   4.8538E-001   5.1459E-001   1.9019E-006   3.0517E-018
    4.382197E+03   1.0000E-099   9.5272E-005   8.1406E-001   1.8585E-001   6.2024E-008   3.8246E-021
    4.388923E+03   1.0000E-099   2.4021E-004   9.5435E-001   4.5408E-002   1.3151E-009   2.9954E-024
    4.395244E+03   1.0000E-099   6.0269E-004   9.9118E-001   8.2151E-003   1.6121E-011   1.2462E-026
    4.401473E+03   1.0000E-099   1.6785E-003   9.9719E-001   1.1351E-003   1.0642E-013   1.5681E-027
    4.406903E+03   1.0000E-099   4.5095E-003   9.9533E-001   1.6388E-004   7.9162E-016   2.2421E-028
    4.412511E+03   1.0000E-099   1.3501E-002   9.8648E-001   1.8242E-005   3.0253E-018   2.5422E-029
    4.418048E+03   1.0000E-099   4.3201E-002   9.5680E-001   1.6481E-006   7.0007E-021   2.3770E-030
    4.422557E+03   1.0000E-099   1.1615E-001   8.8385E-001   1.8477E-007   6.7681E-023   2.7155E-031
