#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 162
#vel_mid[km/s] s0 s1 s2 s3
125.00 1.1322e-04 6.7845e-01 3.1038e-01 1.1054e-02
375.00 1.6800e-04 6.8171e-01 3.0635e-01 1.1773e-02
625.00 1.5658e-04 6.5157e-01 3.3478e-01 1.3495e-02
875.00 1.2783e-04 6.3041e-01 3.5456e-01 1.4904e-02
1125.00 1.1932e-04 6.0985e-01 3.7344e-01 1.6585e-02
1375.00 1.0950e-04 5.9530e-01 3.8687e-01 1.7728e-02
1625.00 1.0999e-04 5.8317e-01 3.9790e-01 1.8823e-02
1875.00 1.1393e-04 5.8159e-01 3.9909e-01 1.9200e-02
2125.00 1.1057e-04 5.8336e-01 3.9742e-01 1.9110e-02
2375.00 1.2824e-04 6.0021e-01 3.8159e-01 1.8071e-02
2625.00 1.5044e-04 6.3027e-01 3.5367e-01 1.5901e-02
2875.00 1.9765e-04 6.5946e-01 3.2669e-01 1.3657e-02
3125.00 2.9561e-04 6.9691e-01 2.9183e-01 1.0962e-02
3375.00 7.1608e-04 7.3886e-01 2.5227e-01 8.1510e-03
3625.00 7.3607e-03 7.7937e-01 2.0779e-01 5.4796e-03
3875.00 3.9569e-02 7.8936e-01 1.6736e-01 3.7134e-03
4125.00 6.2531e-02 7.9960e-01 1.3539e-01 2.4789e-03
4375.00 7.7412e-02 8.1011e-01 1.1081e-01 1.6686e-03
4625.00 8.4288e-02 8.0866e-01 1.0554e-01 1.5105e-03
4875.00 9.0172e-02 8.0596e-01 1.0242e-01 1.4493e-03
5125.00 9.3913e-02 8.0209e-01 1.0257e-01 1.4323e-03
5375.00 9.5827e-02 8.0397e-01 9.8817e-02 1.3822e-03
5625.00 9.8310e-02 7.9952e-01 1.0075e-01 1.4211e-03
5875.00 1.0207e-01 7.9504e-01 1.0145e-01 1.4432e-03
6125.00 1.0497e-01 7.9003e-01 1.0352e-01 1.4795e-03
6375.00 1.0552e-01 7.9441e-01 9.8656e-02 1.4123e-03
6625.00 1.0263e-01 7.9562e-01 1.0032e-01 1.4311e-03
6875.00 1.0518e-01 7.9017e-01 1.0314e-01 1.5098e-03
