#NTIMES: 257
#NSTAGES: 6
#TIMES[d]: 2.2 2.42 2.662 2.9282 3.22102 3.543122 3.897434 4.287178 4.715896 5.187485 5.706233 6.276857 6.904542 7.594996 8.354497 9.189946 10.10894 11.10894 12.10894 13.108941 14.108941 15.108941 16.108941 17.108941 18.108941 19.108941 20.108941 21.108941 22.108941 23.108941 24.108941 25.108941 26.108941 27.108941 28.108941 29.108941 30.108941 31.108941 32.108941 33.108941 34.108941 35.108941 36.108941 37.108941 38.108941 39.108941 40.108941 41.108941 42.108941 43.108941 44.108941 45.108941 46.108941 47.108941 48.108941 49.108941 50.108941 51.108941 52.108941 53.108941 54.108941 55.108941 56.108941 57.108941 58.108941 59.108941 60.108941 61.108941 62.108941 63.108941 64.108941 65.108941 66.108941 67.108941 68.108941 69.108941 70.108941 71.108941 72.108941 73.108941 74.108941 75.108941 76.108941 77.108941 78.108941 79.108941 80.108941 81.108941 82.108941 83.108941 84.108941 85.108941 86.108941 87.108941 88.108941 89.108941 90.108941 91.108941 92.108941 93.108941 94.108941 95.108941 96.108941 97.108935 98.108935 99.108935 100.108935 101.108935 102.108935 103.108935 104.108935 105.108935 106.108935 107.108935 108.108935 109.108935 110.108935 111.108935 112.108935 113.108935 114.108935 115.108935 116.108935 117.108935 118.108935 119.108935 120.108935 121.108935 122.108935 123.108935 124.108935 125.108935 126.108935 127.108935 128.108935 129.108935 130.108935 131.108935 132.108935 133.108935 134.108935 135.108935 136.108935 137.108935 138.108935 139.108935 140.108935 141.108935 142.108935 143.108935 144.108935 145.108935 146.108935 147.108935 148.108935 149.108935 150.108935 151.108935 152.108935 153.108935 154.108935 155.108935 156.108935 157.108935 158.108935 159.108935 160.108935 161.108935 162.108935 163.108935 164.108935 165.108935 166.108935 167.108935 168.108935 169.108935 170.108935 171.108935 172.108935 173.108935 174.108935 175.108935 176.108935 177.108935 178.108935 179.108935 180.108935 181.108935 182.108935 183.108935 184.108935 185.108935 186.108935 187.108935 188.108935 189.108935 190.108935 191.108935 192.108935 193.108935 194.108935 195.108935 196.108935 197.108935 198.108935 199.108935 200.108935 201.108935 202.108935 203.108935 204.108935 205.108935 206.108935 207.108935 208.108935 209.108935 210.108935 211.108935 212.108935 213.108935 214.108935 215.108935 216.108935 217.108935 218.108935 219.108935 220.108935 221.108935 222.108935 223.108935 224.108935 225.108935 226.108935 227.108935 228.108935 229.108935 230.108935 231.108935 232.108935 233.108935 234.108935 235.108935 236.108935 237.108935 238.108935 239.108935 240.108935 241.108935 242.108935 243.108935 244.108935 245.108935 246.108935 247.108935 248.108935 249.108935 250.108935 
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] S0 S1 S2 S3 S4 S5
2.500e+02 1.173188e-39 1.511800e-30 5.694891e-22 2.824844e-13 1.263694e-06 9.999987e-01
7.500e+02 1.412446e-39 1.852878e-30 6.903745e-22 3.106454e-13 1.355833e-06 9.999986e-01
1.250e+03 1.906092e-39 2.517492e-30 9.130697e-22 3.598733e-13 1.509510e-06 9.999985e-01
1.750e+03 3.487252e-39 4.430915e-30 1.485998e-21 4.754053e-13 1.823349e-06 9.999982e-01
2.250e+03 1.266772e-38 1.395144e-29 3.850895e-21 8.445726e-13 2.638000e-06 9.999974e-01
2.750e+03 1.568403e-37 1.255924e-28 2.341514e-20 2.592860e-12 5.385018e-06 9.999946e-01
3.250e+03 1.300211e-35 6.028873e-27 5.866563e-19 2.041682e-11 2.048321e-05 9.999795e-01
3.750e+03 1.508568e-31 2.311966e-23 6.638454e-16 2.694104e-09 4.212702e-04 9.995787e-01
4.250e+03 2.771799e-20 4.092276e-13 5.399476e-07 8.880259e-03 9.123452e-01 7.877398e-02
4.750e+03 9.739018e-01 2.609818e-02 2.363679e-16 2.062122e-42 1.642660e-81 1.757448e-145
5.250e+03 9.697421e-01 3.025794e-02 3.190844e-16 3.241303e-42 3.006361e-81 3.745105e-145
5.750e+03 9.648851e-01 3.511495e-02 4.319083e-16 5.117277e-42 5.535969e-81 8.043590e-145
6.250e+03 9.592199e-01 4.078014e-02 5.859524e-16 8.110055e-42 1.024926e-80 1.739654e-144
6.750e+03 9.526248e-01 4.737523e-02 7.962766e-16 1.289212e-41 1.905865e-80 3.784090e-144
7.250e+03 9.449662e-01 5.503383e-02 1.083244e-15 2.053859e-41 3.555677e-80 8.267526e-144
7.750e+03 9.361010e-01 6.389899e-02 1.474173e-15 3.276050e-41 6.647527e-80 1.811637e-143
8.250e+03 9.258732e-01 7.412675e-02 2.005772e-15 5.228004e-41 1.244221e-79 3.977048e-143
8.750e+03 9.141245e-01 8.587549e-02 2.726567e-15 8.338942e-41 2.328698e-79 8.734072e-143
9.250e+03 9.006898e-01 9.931021e-02 3.700800e-15 1.328450e-40 4.354138e-79 1.916729e-142
9.750e+03 8.854143e-01 1.145857e-01 5.011842e-15 2.111602e-40 8.123332e-79 4.197182e-142
1.025e+04 8.681431e-01 1.318569e-01 6.768583e-15 3.346881e-40 1.511090e-78 9.163085e-142
1.075e+04 8.487492e-01 1.512508e-01 9.109598e-15 5.285042e-40 2.799659e-78 1.991880e-141
1.125e+04 8.271272e-01 1.728728e-01 1.221137e-14 8.309015e-40 5.162288e-78 4.307610e-141
1.175e+04 8.031956e-01 1.968044e-01 1.629790e-14 1.300098e-39 9.469517e-78 9.263630e-141
