#NTIMES: 5
#NSTAGES: 3 
#TIMES[d]: 100 150 200 300 400
#
#TIME: 100
#NVEL: 40
#vel_mid[km/s] s0 s1 s2
2.500000e+02 1.318000e-05 3.958000e-01 6.042000e-01
7.500000e+02 1.291000e-05 3.732000e-01 6.268000e-01
1.250000e+03 1.802000e-05 4.911000e-01 5.089000e-01
1.750000e+03 1.945000e-05 5.021000e-01 4.979000e-01
2.250000e+03 2.221000e-05 5.543000e-01 4.457000e-01
2.750000e+03 2.733000e-05 6.400000e-01 3.600000e-01
3.250000e+03 3.804000e-05 7.313000e-01 2.686000e-01
3.750000e+03 6.131000e-05 8.038000e-01 1.962000e-01
4.250000e+03 9.077000e-05 8.447000e-01 1.552000e-01
4.750000e+03 7.741000e-05 8.626000e-01 1.373000e-01
5.250000e+03 1.084000e-04 8.731000e-01 1.268000e-01
5.750000e+03 1.489000e-04 8.806000e-01 1.192000e-01
6.250000e+03 1.627000e-04 8.848000e-01 1.151000e-01
6.750000e+03 1.545000e-04 8.862000e-01 1.137000e-01
7.250000e+03 1.337000e-04 8.852000e-01 1.147000e-01
7.750000e+03 1.058000e-04 8.819000e-01 1.180000e-01
8.250000e+03 7.643000e-05 8.777000e-01 1.222000e-01
8.750000e+03 5.667000e-05 8.721000e-01 1.278000e-01
9.250000e+03 4.451000e-05 8.666000e-01 1.334000e-01
9.750000e+03 3.800000e-05 8.593000e-01 1.406000e-01
1.025000e+04 3.426000e-05 8.519000e-01 1.481000e-01
1.075000e+04 3.241000e-05 8.427000e-01 1.573000e-01
1.125000e+04 3.181000e-05 8.333000e-01 1.666000e-01
1.175000e+04 3.143000e-05 8.224000e-01 1.776000e-01
1.225000e+04 3.105000e-05 8.098000e-01 1.902000e-01
1.275000e+04 3.138000e-05 7.961000e-01 2.039000e-01
1.325000e+04 3.147000e-05 7.798000e-01 2.202000e-01
1.375000e+04 3.180000e-05 7.646000e-01 2.354000e-01
1.425000e+04 3.249000e-05 7.466000e-01 2.533000e-01
1.475000e+04 3.237000e-05 7.268000e-01 2.732000e-01
1.525000e+04 3.305000e-05 7.078000e-01 2.922000e-01
1.575000e+04 3.314000e-05 6.864000e-01 3.136000e-01
1.625000e+04 3.282000e-05 6.614000e-01 3.385000e-01
1.675000e+04 3.251000e-05 6.372000e-01 3.628000e-01
1.725000e+04 3.202000e-05 6.106000e-01 3.893000e-01
1.775000e+04 3.129000e-05 5.834000e-01 4.165000e-01
1.825000e+04 3.016000e-05 5.555000e-01 4.445000e-01
1.875000e+04 2.864000e-05 5.262000e-01 4.738000e-01
1.925000e+04 2.737000e-05 4.949000e-01 5.051000e-01
1.975000e+04 2.697000e-05 4.658000e-01 5.342000e-01
#
#TIME: 150
#NVEL: 40
#vel_mid[km/s] s0 s1 s2
2.500000e+02 2.467000e-05 3.973000e-01 6.027000e-01
7.500000e+02 2.382000e-05 3.710000e-01 6.290000e-01
1.250000e+03 3.239000e-05 4.796000e-01 5.204000e-01
1.750000e+03 3.421000e-05 4.834000e-01 5.165000e-01
2.250000e+03 3.867000e-05 5.285000e-01 4.714000e-01
2.750000e+03 4.659000e-05 6.089000e-01 3.910000e-01
3.250000e+03 6.353000e-05 7.052000e-01 2.947000e-01
3.750000e+03 1.026000e-04 7.898000e-01 2.101000e-01
4.250000e+03 1.445000e-04 8.482000e-01 1.516000e-01
4.750000e+03 5.132000e-05 8.640000e-01 1.359000e-01
5.250000e+03 4.618000e-05 8.720000e-01 1.279000e-01
5.750000e+03 4.716000e-05 8.773000e-01 1.227000e-01
6.250000e+03 4.749000e-05 8.796000e-01 1.203000e-01
6.750000e+03 4.633000e-05 8.795000e-01 1.205000e-01
7.250000e+03 4.556000e-05 8.789000e-01 1.211000e-01
7.750000e+03 4.530000e-05 8.761000e-01 1.239000e-01
8.250000e+03 4.547000e-05 8.724000e-01 1.276000e-01
8.750000e+03 4.544000e-05 8.675000e-01 1.324000e-01
9.250000e+03 4.665000e-05 8.620000e-01 1.380000e-01
9.750000e+03 4.760000e-05 8.552000e-01 1.448000e-01
1.025000e+04 4.942000e-05 8.475000e-01 1.525000e-01
1.075000e+04 5.112000e-05 8.389000e-01 1.610000e-01
1.125000e+04 5.401000e-05 8.298000e-01 1.701000e-01
1.175000e+04 5.608000e-05 8.194000e-01 1.805000e-01
1.225000e+04 5.882000e-05 8.077000e-01 1.923000e-01
1.275000e+04 6.119000e-05 7.947000e-01 2.053000e-01
1.325000e+04 6.263000e-05 7.790000e-01 2.209000e-01
1.375000e+04 6.542000e-05 7.636000e-01 2.363000e-01
1.425000e+04 6.702000e-05 7.452000e-01 2.548000e-01
1.475000e+04 6.875000e-05 7.253000e-01 2.746000e-01
1.525000e+04 7.192000e-05 7.071000e-01 2.928000e-01
1.575000e+04 7.548000e-05 6.912000e-01 3.087000e-01
1.625000e+04 8.054000e-05 6.760000e-01 3.239000e-01
1.675000e+04 8.520000e-05 6.573000e-01 3.426000e-01
1.725000e+04 8.706000e-05 6.353000e-01 3.646000e-01
1.775000e+04 8.761000e-05 6.097000e-01 3.902000e-01
1.825000e+04 8.779000e-05 5.855000e-01 4.144000e-01
1.875000e+04 8.676000e-05 5.579000e-01 4.421000e-01
1.925000e+04 8.328000e-05 5.264000e-01 4.735000e-01
1.975000e+04 8.373000e-05 4.994000e-01 5.005000e-01
#
#TIME: 200
#NVEL: 40
#vel_mid[km/s] s0 s1 s2
2.500000e+02 3.883000e-05 4.143000e-01 5.856000e-01
7.500000e+02 3.663000e-05 3.855000e-01 6.144000e-01
1.250000e+03 4.755000e-05 4.858000e-01 5.141000e-01
1.750000e+03 4.876000e-05 4.835000e-01 5.165000e-01
2.250000e+03 5.389000e-05 5.220000e-01 4.780000e-01
2.750000e+03 6.478000e-05 5.996000e-01 4.003000e-01
3.250000e+03 8.800000e-05 6.972000e-01 3.027000e-01
3.750000e+03 1.436000e-04 7.952000e-01 2.047000e-01
4.250000e+03 2.564000e-04 8.788000e-01 1.210000e-01
4.750000e+03 1.243000e-04 8.936000e-01 1.063000e-01
5.250000e+03 1.252000e-04 9.021000e-01 9.775000e-02
5.750000e+03 1.391000e-04 9.077000e-01 9.212000e-02
6.250000e+03 1.501000e-04 9.106000e-01 8.925000e-02
6.750000e+03 1.578000e-04 9.112000e-01 8.861000e-02
7.250000e+03 1.607000e-04 9.105000e-01 8.934000e-02
7.750000e+03 1.625000e-04 9.084000e-01 9.145000e-02
8.250000e+03 1.653000e-04 9.053000e-01 9.455000e-02
