#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 2.0186 2.0562 2.0945 2.1335 2.1732 2.2136 2.2548 2.2968 2.3396 2.3831 2.4275 2.4727 2.5187 2.5656 2.6134 2.6620 2.7116 2.7620 2.8134 2.8658 2.9192 2.9735 3.0289 3.0853 3.1427 3.2012 3.2608 3.3215 3.3833 3.4463 3.5104 3.5758 3.6424 3.7102 3.7792 3.8496 3.9212 3.9942 4.0686 4.1443 4.2215 4.3001 4.3801 4.4617 4.5447 4.6293 4.7155 4.8033 4.8927 4.9838 5.0765 5.1711 5.2673 5.3654 5.4652 5.5670 5.6706 5.7762 5.8837 5.9932 6.1048 6.2184 6.3342 6.4521 6.5722 6.6946 6.8192 6.9461 7.0754 7.2072 7.3413 7.4780 7.6172 7.7590 7.9034 8.0506 8.2004 8.3531 8.5086 8.6670 8.8283 8.9927 9.1601 9.3306 9.5043 9.6812 9.8614 10.0450 10.2320 10.4225 10.6165 10.8141 11.0154 11.2205 11.4294 11.6421 11.8588 12.0796 12.3045 12.5335 12.7668 13.0045 13.2466 13.4932 13.7444 14.0002 14.2608 14.5263 14.7967 15.0722 15.3528 15.6386 15.9297 16.2262 16.5283 16.8360 17.1494 17.4686 17.7938 18.1251 18.4625 18.8062 19.1562 19.5128 19.8761 20.2461 20.6230 21.0069 21.3979 21.7963 22.2020 22.6153 23.0363 23.4652 23.9020 24.3469 24.8002 25.2618 25.7321 26.2111 26.6990 27.1961 27.7023 28.2180 28.7433 29.2784 29.8234 30.3786 30.9441 31.5202 32.1069 32.7046 33.3134 33.9336 34.5653 35.2087 35.8641 36.5318 37.2118 37.9045 38.6102 39.3289 40.0610 40.8068 41.5664 42.3402 43.1284 43.9313 44.7491 45.5821 46.4306 47.2950 48.1754 49.0722 49.9857 50.9162 51.8640 52.8295 53.8130 54.8147 55.8351 56.8745 57.9333 59.0118 60.1103 61.2293 62.3691 63.5301 64.7128 65.9174 67.1445 68.3945 69.6677 70.9646 72.2856 73.6312 75.0019 76.3981 77.8203 79.2690
#
#TIME: 2.0186
#NVEL: 202
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6
8.7500e+01 6.1797e-43 5.9200e-35 6.8355e-27 3.6704e-19 4.7102e-12 6.9194e-06 9.9999e-01
2.7500e+02 1.7656e-43 2.1791e-35 3.2013e-27 2.1404e-19 3.3626e-12 5.8640e-06 9.9999e-01
4.7500e+02 1.3873e-43 1.8618e-35 2.9579e-27 2.0866e-19 3.3923e-12 5.9131e-06 9.9999e-01
6.7500e+02 1.3593e-43 1.9312e-35 3.1986e-27 2.2925e-19 3.7107e-12 6.2134e-06 9.9999e-01
8.7500e+02 1.4574e-43 2.1573e-35 3.6764e-27 2.6395e-19 4.1917e-12 6.6394e-06 9.9999e-01
1.0750e+03 1.6675e-43 2.5380e-35 4.4150e-27 3.1461e-19 4.8523e-12 7.1879e-06 9.9999e-01
1.2750e+03 2.0039e-43 3.1320e-35 5.5260e-27 3.8769e-19 5.7536e-12 7.8831e-06 9.9999e-01
1.4750e+03 2.5504e-43 4.0709e-35 7.2392e-27 4.9577e-19 7.0086e-12 8.7728e-06 9.9999e-01
1.6750e+03 3.5173e-43 5.7072e-35 1.0141e-26 6.6972e-19 8.8877e-12 9.9770e-06 9.9999e-01
1.8750e+03 5.4090e-43 8.8233e-35 1.5497e-26 9.7179e-19 1.1880e-11 1.1673e-05 9.9999e-01
2.0750e+03 9.5709e-43 1.5517e-34 2.6569e-26 1.5501e-18 1.7026e-11 1.4183e-05 9.9999e-01
2.2750e+03 2.0543e-42 3.2618e-34 5.3436e-26 2.8207e-18 2.6896e-11 1.8166e-05 9.9998e-01
2.4750e+03 5.6318e-42 8.5996e-34 1.3168e-25 6.0706e-18 4.8107e-11 2.4895e-05 9.9998e-01
2.6750e+03 2.1189e-41 3.0427e-33 4.2308e-25 1.6278e-17 1.0132e-10 3.7310e-05 9.9996e-01
2.8750e+03 1.1892e-40 1.5662e-32 1.9109e-24 5.7971e-17 2.6383e-10 6.2857e-05 9.9994e-01
3.0750e+03 1.1266e-39 1.3219e-31 1.3564e-23 3.0134e-16 9.1265e-10 1.2400e-04 9.9988e-01
3.2750e+03 2.2401e-38 2.2526e-30 1.8322e-22 2.6835e-15 4.7343e-09 3.0663e-04 9.9969e-01
3.4750e+03 1.4891e-36 1.1960e-28 6.9485e-21 5.6372e-14 4.6705e-08 1.0839e-03 9.9892e-01
