#NTIMES: 108
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 
#
#TIME: 2.037028e+00 
#NVEL: 162
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6 s7 s8
1.249994e+02 1.129307e-36 2.810336e-28 2.435337e-20 6.896530e-13 3.185335e-06 9.999968e-01 0.000000e+00 0.000000e+00 0.000000e+00 
3.749991e+02 1.218081e-36 3.120557e-28 2.748218e-20 7.677279e-13 3.421974e-06 9.999966e-01 0.000000e+00 0.000000e+00 0.000000e+00 
6.249988e+02 1.350714e-36 3.561138e-28 3.201427e-20 8.794931e-13 3.740993e-06 9.999963e-01 0.000000e+00 0.000000e+00 0.000000e+00 
8.749978e+02 1.491222e-36 4.070159e-28 3.719283e-20 1.007013e-12 4.070159e-06 9.999959e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.125000e+03 1.793806e-36 4.999977e-28 4.628845e-20 1.216489e-12 4.587608e-06 9.999954e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.375003e+03 2.071418e-36 5.952350e-28 5.595209e-20 1.436501e-12 5.119021e-06 9.999949e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.625005e+03 2.601461e-36 7.656782e-28 7.250880e-20 1.782277e-12 5.848674e-06 9.999942e-01 0.000000e+00 0.000000e+00 0.000000e+00 
1.875006e+03 3.574233e-36 1.069300e-27 9.999931e-20 2.336618e-12 6.891042e-06 9.999931e-01 0.000000e+00 0.000000e+00 0.000000e+00 
2.125006e+03 5.658776e-36 1.688221e-27 1.552928e-19 3.311737e-12 8.470516e-06 9.999915e-01 0.000000e+00 0.000000e+00 0.000000e+00 
2.375008e+03 1.095773e-35 3.203029e-27 2.804566e-19 5.287297e-12 1.118761e-05 9.999888e-01 0.000000e+00 0.000000e+00 0.000000e+00 
2.625010e+03 2.930060e-35 8.145028e-27 6.505270e-19 1.018801e-11 1.637070e-05 9.999836e-01 0.000000e+00 0.000000e+00 0.000000e+00 
2.875008e+03 1.168982e-34 2.957666e-26 2.072378e-18 2.474781e-11 2.736344e-05 9.999726e-01 0.000000e+00 0.000000e+00 0.000000e+00 
3.125008e+03 8.717454e-34 1.922968e-25 1.086477e-17 8.877701e-11 5.672755e-05 9.999433e-01 0.000000e+00 0.000000e+00 0.000000e+00 
3.375011e+03 1.738261e-32 3.058800e-24 1.243732e-16 5.699879e-10 1.630462e-04 9.998370e-01 0.000000e+00 0.000000e+00 0.000000e+00 
3.625012e+03 1.962394e-30 2.429061e-22 5.743592e-15 1.054188e-08 8.543593e-04 9.991456e-01 0.000000e+00 0.000000e+00 0.000000e+00 
3.875015e+03 3.924202e-27 2.859062e-19 2.769366e-12 1.154837e-06 1.222109e-02 9.877778e-01 0.000000e+00 0.000000e+00 0.000000e+00 
