#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 140
#vel_mid[km/s] si0 si1 si2 si3
1125.00 1.6146e-04 8.5398e-01 1.3916e-01 6.6951e-03
2375.00 2.8054e-04 8.4244e-01 1.4950e-01 7.7840e-03
3125.00 3.2032e-03 8.7015e-01 1.2133e-01 5.3103e-03
3625.00 1.2459e-01 7.9969e-01 7.3290e-02 2.4306e-03
4125.00 2.6324e-01 6.9758e-01 3.8317e-02 8.6367e-04
4625.00 2.8188e-01 6.8837e-01 2.9218e-02 5.3149e-04
4875.00 3.5734e-01 6.1872e-01 2.3535e-02 4.1035e-04
5375.00 3.8758e-01 5.8933e-01 2.2687e-02 4.0348e-04
5625.00 4.2320e-01 5.5684e-01 1.9636e-02 3.2655e-04
6125.00 4.3078e-01 5.4842e-01 2.0437e-02 3.5712e-04
6375.00 4.4535e-01 5.3507e-01 1.9249e-02 3.2906e-04
6625.00 4.6247e-01 5.1842e-01 1.8773e-02 3.3583e-04
6875.00 4.7327e-01 5.0728e-01 1.9100e-02 3.4312e-04
7125.00 4.6963e-01 5.1203e-01 1.8022e-02 3.2054e-04
7625.00 4.7921e-01 5.0116e-01 1.9265e-02 3.6541e-04
7875.00 4.2200e-01 5.5597e-01 2.1627e-02 4.0254e-04
8125.00 4.6413e-01 5.1540e-01 2.0083e-02 3.8456e-04
8375.00 4.4863e-01 5.2958e-01 2.1376e-02 4.1851e-04
8625.00 3.4933e-01 6.2852e-01 2.1763e-02 3.8531e-04
8875.00 3.6317e-01 6.1349e-01 2.2902e-02 4.3306e-04
9125.00 4.2575e-01 5.5216e-01 2.1671e-02 4.2138e-04
9375.00 3.9009e-01 5.8615e-01 2.3303e-02 4.5612e-04
9625.00 1.9309e-01 7.8065e-01 2.5794e-02 4.6565e-04
9875.00 3.3430e-01 6.3939e-01 2.5782e-02 5.2616e-04
10125.00 9.2311e-02 8.7724e-01 2.9925e-02 5.2617e-04
10375.00 2.6392e-01 7.0631e-01 2.9161e-02 6.1543e-04
10625.00 2.2655e-01 7.3997e-01 3.2770e-02 7.0539e-04
10875.00 1.8739e-01 7.7779e-01 3.4135e-02 6.8978e-04
11125.00 1.3420e-01 8.3050e-01 3.4591e-02 7.0465e-04
11375.00 1.0793e-01 8.5513e-01 3.6195e-02 7.5053e-04
11625.00 8.0233e-03 9.5036e-01 4.0753e-02 8.6080e-04
11875.00 4.9305e-02 9.0973e-01 4.0118e-02 8.4838e-04
12125.00 2.6023e-02 9.2813e-01 4.4884e-02 9.6683e-04
12375.00 1.9004e-02 9.3811e-01 4.1999e-02 8.8784e-04
12625.00 2.6135e-03 9.4760e-01 4.8682e-02 1.1065e-03
12875.00 4.9928e-03 9.4065e-01 5.3155e-02 1.2040e-03
