#NTIMES:    60
#NSTAGES:     5
#TIMES[d]:     2.000    2.001    2.002    2.003    2.005    2.010    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   37.960   41.760   45.940   50.530   55.580   61.140   67.250   73.970   81.370   89.510   98.460  108.300  118.000  128.000  138.000  148.000  158.000  168.000  180.000  190.000  200.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           si0           si1           si2           si3           si4
    1.025000E+03   1.0000E-099   2.9861E-024   1.3827E-015   2.2807E-007   1.0000E+000
    1.040053E+03   1.0000E-099   2.9488E-024   1.3715E-015   2.2718E-007   1.0000E+000
    1.070158E+03   1.0000E-099   2.9222E-024   1.3636E-015   2.2606E-007   1.0000E+000
    1.130368E+03   1.0000E-099   2.9262E-024   1.3667E-015   2.2481E-007   1.0000E+000
    1.241494E+03   1.0000E-099   2.9817E-024   1.3893E-015   2.2345E-007   1.0000E+000
    1.363544E+03   1.0000E-099   3.0714E-024   1.4235E-015   2.2254E-007   1.0000E+000
    1.497593E+03   1.0000E-099   3.2077E-024   1.4732E-015   2.2227E-007   1.0000E+000
    1.644821E+03   1.0000E-099   3.4173E-024   1.5466E-015   2.2303E-007   1.0000E+000
    1.806522E+03   1.0000E-099   3.7533E-024   1.6591E-015   2.2551E-007   1.0000E+000
    1.984119E+03   1.0000E-099   4.3244E-024   1.8412E-015   2.3092E-007   1.0000E+000
    2.179177E+03   1.0000E-099   5.3657E-024   2.1534E-015   2.4139E-007   1.0000E+000
    2.393410E+03   1.0000E-099   7.4596E-024   2.7303E-015   2.6080E-007   1.0000E+000
    2.628704E+03   1.0000E-099   1.2379E-023   3.9279E-015   2.9739E-007   1.0000E+000
    2.887130E+03   1.0000E-099   2.7248E-023   6.9250E-015   3.7177E-007   1.0000E+000
    3.114965E+03   1.0000E-099   7.2002E-023   1.3972E-014   5.0113E-007   1.0000E+000
    3.299448E+03   1.0000E-099   2.0606E-022   3.0043E-014   7.1041E-007   1.0000E+000
    3.449550E+03   1.0000E-099   6.1947E-022   6.7450E-014   1.0510E-006   1.0000E+000
    3.582805E+03   1.0000E-099   2.1291E-021   1.6862E-013   1.6780E-006   1.0000E+000
    3.691373E+03   1.0000E-099   7.4770E-021   4.3256E-013   2.7732E-006   1.0000E+000
    3.788986E+03   1.0000E-099   3.0215E-020   1.2467E-012   4.9710E-006   1.0000E+000
    3.867592E+03   1.0000E-099   1.1966E-019   3.5769E-012   9.0132E-006   9.9999E-001
    3.939331E+03   1.0000E-099   5.5186E-019   1.1665E-011   1.7755E-005   9.9998E-001
    4.001586E+03   1.0000E-099   2.7783E-018   4.1185E-011   3.6870E-005   9.9996E-001
    4.053810E+03   1.0000E-099   1.4366E-017   1.5000E-010   7.8279E-005   9.9992E-001
    4.102163E+03   1.0000E-099   9.1030E-017   6.4712E-010   1.8380E-004   9.9982E-001
    4.144813E+03   1.0000E-099   6.6386E-016   3.1465E-009   4.6305E-004   9.9954E-001
    4.181616E+03   1.0000E-099   5.3092E-015   1.6591E-008   1.2230E-003   9.9878E-001
    4.215036E+03   1.0000E-099   5.2463E-014   1.0435E-007   3.5779E-003   9.9642E-001
    4.242895E+03   1.0000E-099   5.4029E-013   6.8105E-007   1.0662E-002   9.8934E-001
    4.267784E+03   1.0000E-099   6.4299E-012   5.0052E-006   3.3798E-002   9.6620E-001
    4.289409E+03   1.0000E-099   7.9734E-011   3.8046E-005   1.0696E-001   8.9300E-001
    4.308154E+03   1.0000E-099   8.5191E-010   2.5212E-004   2.9351E-001   7.0624E-001
    4.325097E+03   1.0000E-099   8.4146E-009   1.4670E-003   6.2890E-001   3.6964E-001
    4.340694E+03   1.0000E-099   6.2211E-008   6.0629E-003   8.7977E-001   1.1416E-001
    4.354635E+03   1.0000E-099   4.2143E-007   2.1534E-002   9.5430E-001   2.4170E-002
    4.365589E+03   1.0000E-099   2.7210E-006   7.1722E-002   9.2399E-001   4.2903E-003
    4.374323E+03   1.0000E-099   1.5878E-005   2.1657E-001   7.8278E-001   6.3194E-004
    4.382197E+03   1.0000E-099   8.0049E-005   5.3418E-001   4.6569E-001   5.2996E-005
    4.388923E+03   1.0000E-099   2.5947E-004   8.3140E-001   1.6834E-001   2.6041E-006
    4.395244E+03   1.0000E-099   6.9643E-004   9.6141E-001   3.7895E-002   6.4281E-008
    4.401473E+03   1.0000E-099   1.8898E-003   9.9206E-001   6.0496E-003   8.4013E-010
    4.406903E+03   1.0000E-099   4.8201E-003   9.9420E-001   9.8118E-004   1.1857E-011
    4.412511E+03   1.0000E-099   1.3487E-002   9.8639E-001   1.2379E-004   9.3278E-014
    4.418048E+03   1.0000E-099   4.0013E-002   9.5997E-001   1.2786E-005   4.7024E-016
    4.422557E+03   1.0000E-099   1.0133E-001   8.9867E-001   1.6237E-006   4.0691E-018
    4.425956E+03   1.0000E-099   2.0388E-001   7.9612E-001   2.7368E-007   7.3392E-020
    4.428657E+03   1.0000E-099   3.5047E-001   6.4953E-001   4.8327E-008   1.6605E-021
    4.430743E+03   1.0000E-099   5.0299E-001   4.9701E-001   9.9881E-009   6.8191E-023
    4.433036E+03   1.0000E-099   6.8509E-001   3.1491E-001   1.2859E-009   7.5017E-024
    4.434874E+03   1.0000E-099   8.1082E-001   1.8918E-001   1.9149E-010   4.1730E-024
    4.436768E+03   1.0000E-099   9.0156E-001   9.8437E-002   2.1423E-011   2.2189E-024
    4.439238E+03   1.0000E-099   9.6480E-001   3.5197E-002   8.6215E-013   7.9780E-025
    4.441732E+03   1.0000E-099   9.8908E-001   1.0922E-002   2.5355E-014   2.4389E-025
    4.444930E+03   1.0000E-099   9.9785E-001   2.1523E-003   2.0350E-016   4.6776E-026
    4.448112E+03   1.0000E-099   9.9959E-001   4.0694E-004   1.4830E-018   8.6634E-027
    4.451446E+03   1.0000E-099   9.9993E-001   7.2654E-005   9.2255E-021   1.5182E-027
    4.454633E+03   1.0000E-099   9.9998E-001   1.5504E-005   1.1221E-022   3.1569E-028
    4.458394E+03   1.0000E-099   1.0000E+000   3.2996E-006   1.7285E-023   6.4814E-029
    4.463266E+03   1.0000E-099   1.0000E+000   7.0059E-007   1.6088E-023   1.3191E-029
    4.478077E+03   1.0000E-099   1.0000E+000   1.7404E-007   1.5982E-023   3.1618E-030
    4.828250E+03   1.0000E-099   1.0000E+000   9.8690E-009   1.9761E-023   2.2175E-031
    5.302911E+03   1.0000E-099   1.0000E+000   5.2885E-009   2.5336E-023   1.5306E-031
    5.824236E+03   1.0000E-099   1.0000E+000   5.7147E-009   3.1863E-023   2.0894E-031
    6.396812E+03   1.0000E-099   1.0000E+000   6.7741E-009   3.9366E-023   3.0738E-031
    7.025678E+03   1.0000E-099   1.0000E+000   8.2574E-009   4.7842E-023   4.5745E-031
    7.716367E+03   1.0000E-099   1.0000E+000   1.0238E-008   5.7265E-023   6.8198E-031
    8.474956E+03   1.0000E-099   1.0000E+000   1.2855E-008   6.7587E-023   1.0152E-030
    9.308123E+03   1.0000E-099   1.0000E+000   1.6241E-008   7.8734E-023   1.5008E-030
    1.022320E+04   1.0000E-099   1.0000E+000   2.0407E-008   9.0612E-023   2.1801E-030
    1.122823E+04   1.0000E-099   1.0000E+000   2.5035E-008   1.0311E-022   3.0577E-030
    1.233207E+04   1.0000E-099   1.0000E+000   2.9469E-008   1.1609E-022   4.0723E-030
    1.354443E+04   1.0000E-099   1.0000E+000   3.3014E-008   1.2943E-022   5.1112E-030
    1.475430E+04   1.0000E-099   1.0000E+000   3.4904E-008   1.4183E-022   5.9453E-030
    1.596250E+04   1.0000E-099   1.0000E+000   3.5287E-008   1.5336E-022   6.5204E-030
    1.715172E+04   1.0000E-099   1.0000E+000   3.4856E-008   1.6395E-022   6.9038E-030
    1.831808E+04   1.0000E-099   1.0000E+000   3.4714E-008   1.7367E-022   7.3001E-030
    1.946215E+04   1.0000E-099   1.0000E+000   3.5070E-008   1.8259E-022   7.7706E-030
    2.056623E+04   1.0000E-099   1.0000E+000   3.4431E-008   1.9065E-022   7.9824E-030
    2.164457E+04   1.0000E-099   1.0000E+000   3.1388E-008   1.9802E-022   7.5731E-030
    2.269608E+04   1.0000E-099   1.0000E+000   2.6859E-008   2.0477E-022   6.7134E-030
    2.371204E+04   1.0000E-099   1.0000E+000   2.1779E-008   2.1088E-022   5.6158E-030
    2.470288E+04   1.0000E-099   1.0000E+000   1.6994E-008   2.1651E-022   4.5055E-030
    2.567282E+04   1.0000E-099   1.0000E+000   1.3022E-008   2.2172E-022   3.5403E-030
