#NTIMES: 5
#NSTAGES: 3 
#TIMES[d]: 100 150 200 300 400
#
#TIME: 100
#NVEL: 40
#vel_mid[km/s] si0 si1 si2
2.500000e+02 2.992000e-06 2.753000e-01 7.247000e-01
7.500000e+02 2.689000e-06 2.572000e-01 7.428000e-01
1.250000e+03 3.671000e-06 3.421000e-01 6.579000e-01
1.750000e+03 4.180000e-06 3.509000e-01 6.491000e-01
2.250000e+03 5.822000e-06 3.962000e-01 6.038000e-01
2.750000e+03 9.454000e-06 4.792000e-01 5.208000e-01
3.250000e+03 1.592000e-05 5.735000e-01 4.265000e-01
3.750000e+03 2.592000e-05 6.497000e-01 3.503000e-01
4.250000e+03 3.844000e-05 6.851000e-01 3.149000e-01
4.750000e+03 4.020000e-05 7.049000e-01 2.951000e-01
5.250000e+03 4.908000e-05 7.183000e-01 2.816000e-01
5.750000e+03 5.927000e-05 7.273000e-01 2.727000e-01
6.250000e+03 5.862000e-05 7.314000e-01 2.686000e-01
6.750000e+03 5.182000e-05 7.321000e-01 2.679000e-01
7.250000e+03 4.286000e-05 7.294000e-01 2.706000e-01
7.750000e+03 3.295000e-05 7.234000e-01 2.766000e-01
8.250000e+03 2.331000e-05 7.166000e-01 2.834000e-01
8.750000e+03 1.607000e-05 7.064000e-01 2.936000e-01
9.250000e+03 1.157000e-05 6.966000e-01 3.034000e-01
9.750000e+03 8.871000e-06 6.843000e-01 3.157000e-01
1.025000e+04 7.088000e-06 6.706000e-01 3.294000e-01
1.075000e+04 5.887000e-06 6.549000e-01 3.451000e-01
1.125000e+04 5.065000e-06 6.396000e-01 3.604000e-01
1.175000e+04 4.450000e-06 6.212000e-01 3.788000e-01
1.225000e+04 3.942000e-06 6.022000e-01 3.978000e-01
1.275000e+04 3.540000e-06 5.830000e-01 4.170000e-01
1.325000e+04 3.204000e-06 5.604000e-01 4.396000e-01
1.375000e+04 2.935000e-06 5.395000e-01 4.605000e-01
1.425000e+04 2.708000e-06 5.176000e-01 4.823000e-01
1.475000e+04 2.503000e-06 4.948000e-01 5.052000e-01
1.525000e+04 2.346000e-06 4.740000e-01 5.260000e-01
1.575000e+04 2.186000e-06 4.519000e-01 5.481000e-01
1.625000e+04 2.017000e-06 4.279000e-01 5.721000e-01
1.675000e+04 1.886000e-06 4.058000e-01 5.942000e-01
1.725000e+04 1.756000e-06 3.837000e-01 6.163000e-01
1.775000e+04 1.643000e-06 3.624000e-01 6.376000e-01
1.825000e+04 1.559000e-06 3.421000e-01 6.579000e-01
1.875000e+04 1.472000e-06 3.246000e-01 6.754000e-01
1.925000e+04 1.409000e-06 3.091000e-01 6.909000e-01
1.975000e+04 1.417000e-06 3.030000e-01 6.970000e-01
#
#TIME: 150
#NVEL: 40
#vel_mid[km/s] si0 si1 si2
2.500000e+02 7.407000e-06 2.702000e-01 7.298000e-01
7.500000e+02 7.465000e-06 2.494000e-01 7.506000e-01
1.250000e+03 1.006000e-05 3.312000e-01 6.688000e-01
1.750000e+03 1.098000e-05 3.350000e-01 6.650000e-01
2.250000e+03 1.446000e-05 3.751000e-01 6.249000e-01
2.750000e+03 2.114000e-05 4.514000e-01 5.486000e-01
3.250000e+03 3.240000e-05 5.473000e-01 4.526000e-01
3.750000e+03 4.941000e-05 6.294000e-01 3.706000e-01
4.250000e+03 5.330000e-05 6.747000e-01 3.253000e-01
4.750000e+03 1.790000e-05 6.953000e-01 3.047000e-01
5.250000e+03 1.404000e-05 7.079000e-01 2.921000e-01
5.750000e+03 1.238000e-05 7.154000e-01 2.846000e-01
6.250000e+03 1.105000e-05 7.177000e-01 2.823000e-01
6.750000e+03 9.846000e-06 7.168000e-01 2.832000e-01
7.250000e+03 8.723000e-06 7.138000e-01 2.862000e-01
7.750000e+03 7.689000e-06 7.077000e-01 2.923000e-01
8.250000e+03 6.895000e-06 7.006000e-01 2.994000e-01
8.750000e+03 6.249000e-06 6.908000e-01 3.091000e-01
9.250000e+03 5.724000e-06 6.799000e-01 3.201000e-01
9.750000e+03 5.269000e-06 6.669000e-01 3.331000e-01
1.025000e+04 4.836000e-06 6.526000e-01 3.474000e-01
1.075000e+04 4.505000e-06 6.371000e-01 3.628000e-01
1.125000e+04 4.181000e-06 6.205000e-01 3.795000e-01
1.175000e+04 3.897000e-06 6.025000e-01 3.975000e-01
1.225000e+04 3.638000e-06 5.830000e-01 4.170000e-01
1.275000e+04 3.399000e-06 5.629000e-01 4.371000e-01
1.325000e+04 3.163000e-06 5.399000e-01 4.601000e-01
1.375000e+04 2.990000e-06 5.182000e-01 4.818000e-01
1.425000e+04 2.820000e-06 4.937000e-01 5.063000e-01
1.475000e+04 2.623000e-06 4.696000e-01 5.304000e-01
1.525000e+04 2.507000e-06 4.463000e-01 5.537000e-01
1.575000e+04 2.369000e-06 4.215000e-01 5.785000e-01
1.625000e+04 2.199000e-06 3.959000e-01 6.041000e-01
1.675000e+04 2.030000e-06 3.700000e-01 6.300000e-01
1.725000e+04 1.846000e-06 3.455000e-01 6.545000e-01
1.775000e+04 1.671000e-06 3.202000e-01 6.798000e-01
1.825000e+04 1.503000e-06 2.965000e-01 7.035000e-01
1.875000e+04 1.327000e-06 2.737000e-01 7.263000e-01
1.925000e+04 1.173000e-06 2.527000e-01 7.473000e-01
1.975000e+04 1.118000e-06 2.511000e-01 7.489000e-01
#
#TIME: 200
#NVEL: 40
#vel_mid[km/s] si0 si1 si2
2.500000e+02 1.395000e-05 2.808000e-01 7.192000e-01
