#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 2.0186 2.0562 2.0945 2.1335 2.1732 2.2136 2.2548 2.2968 2.3396 2.3831 2.4275 2.4727 2.5187 2.5656 2.6134 2.6620 2.7116 2.7620 2.8134 2.8658 2.9192 2.9735 3.0289 3.0853 3.1427 3.2012 3.2608 3.3215 3.3833 3.4463 3.5104 3.5758 3.6424 3.7102 3.7792 3.8496 3.9212 3.9942 4.0686 4.1443 4.2215 4.3001 4.3801 4.4617 4.5447 4.6293 4.7155 4.8033 4.8927 4.9838 5.0765 5.1711 5.2673 5.3654 5.4652 5.5670 5.6706 5.7762 5.8837 5.9932 6.1048 6.2184 6.3342 6.4521 6.5722 6.6946 6.8192 6.9461 7.0754 7.2072 7.3413 7.4780 7.6172 7.7590 7.9034 8.0506 8.2004 8.3531 8.5086 8.6670 8.8283 8.9927 9.1601 9.3306 9.5043 9.6812 9.8614 10.0450 10.2320 10.4225 10.6165 10.8141 11.0154 11.2205 11.4294 11.6421 11.8588 12.0796 12.3045 12.5335 12.7668 13.0045 13.2466 13.4932 13.7444 14.0002 14.2608 14.5263 14.7967 15.0722 15.3528 15.6386 15.9297 16.2262 16.5283 16.8360 17.1494 17.4686 17.7938 18.1251 18.4625 18.8062 19.1562 19.5128 19.8761 20.2461 20.6230 21.0069 21.3979 21.7963 22.2020 22.6153 23.0363 23.4652 23.9020 24.3469 24.8002 25.2618 25.7321 26.2111 26.6990 27.1961 27.7023 28.2180 28.7433 29.2784 29.8234 30.3786 30.9441 31.5202 32.1069 32.7046 33.3134 33.9336 34.5653 35.2087 35.8641 36.5318 37.2118 37.9045 38.6102 39.3289 40.0610 40.8068 41.5664 42.3402 43.1284 43.9313 44.7491 45.5821 46.4306 47.2950 48.1754 49.0722 49.9857 50.9162 51.8640 52.8295 53.8130 54.8147 55.8351 56.8745 57.9333 59.0118 60.1103 61.2293 62.3691 63.5301 64.7128 65.9174 67.1445 68.3945 69.6677 70.9646 72.2856 73.6312 75.0019 76.3981 77.8203 79.2690
#
#TIME: 2.0186
#NVEL: 202
#vel_mid[km/s] si0 si1 si2 si3 si4 si5 si6
8.7500e+01 8.8189e-35 8.3728e-27 2.6350e-18 5.4434e-11 1.4349e-04 2.7011e-01 7.2974e-01
2.7500e+02 3.3313e-35 4.0665e-27 1.6091e-18 4.1676e-11 1.3977e-04 2.7260e-01 7.2726e-01
4.7500e+02 3.3529e-35 4.4820e-27 1.8934e-18 5.2199e-11 1.8934e-04 3.1615e-01 6.8366e-01
6.7500e+02 4.1871e-35 5.9125e-27 2.5695e-18 7.2675e-11 2.7469e-04 3.7471e-01 6.2501e-01
8.7500e+02 5.6174e-35 8.2706e-27 3.6474e-18 1.0442e-10 4.0552e-04 4.4270e-01 5.5689e-01
1.0750e+03 7.8792e-35 1.2005e-26 5.3259e-18 1.5304e-10 6.0521e-04 5.1849e-01 4.8090e-01
1.2750e+03 1.1469e-34 1.7975e-26 7.9629e-18 2.2803e-10 9.1119e-04 5.9946e-01 3.9963e-01
1.4750e+03 1.7351e-34 2.7810e-26 1.2206e-17 3.4574e-10 1.3848e-03 6.8178e-01 3.1683e-01
1.6750e+03 2.7970e-34 4.5489e-26 1.9569e-17 5.4251e-10 2.1542e-03 7.6242e-01 2.3542e-01
1.8750e+03 4.9032e-34 8.0150e-26 3.3333e-17 8.9257e-10 3.4650e-03 8.3569e-01 1.6085e-01
2.0750e+03 9.6292e-34 1.5632e-25 6.1748e-17 1.5702e-09 5.8516e-03 8.9551e-01 9.8634e-02
2.2750e+03 2.2247e-33 3.5309e-25 1.2939e-16 3.0551e-09 1.0662e-02 9.3696e-01 5.2378e-02
2.4750e+03 6.3242e-33 9.6308e-25 3.1814e-16 6.7881e-09 2.1498e-02 9.5525e-01 2.3250e-02
2.6750e+03 2.3459e-32 3.3533e-24 9.6401e-16 1.7990e-08 4.9646e-02 9.4221e-01 8.1395e-03
2.8750e+03 1.1815e-31 1.5469e-23 3.7131e-15 5.8359e-08 1.3322e-01 8.6475e-01 2.0231e-03
3.0750e+03 7.6713e-31 8.9371e-23 1.7016e-14 2.1509e-07 3.7833e-01 6.2140e-01 2.7241e-04
