#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 320
#vel_mid[km/s] si0 si1 si2 si3 si4 si5 si6 si7
1.902500E+04 1.336856E-03 9.986629E-01 2.013045E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.907500E+04 1.335214E-03 9.986646E-01 2.000120E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.912500E+04 1.336233E-03 9.986636E-01 1.973512E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.917500E+04 1.345598E-03 9.986542E-01 1.921201E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.922500E+04 1.349193E-03 9.986506E-01 1.885440E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.927500E+04 1.342508E-03 9.986573E-01 1.880061E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.932500E+04 1.332327E-03 9.986675E-01 1.883565E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.937500E+04 1.347410E-03 9.986524E-01 1.814966E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.942500E+04 1.336300E-03 9.986635E-01 1.820194E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.947500E+04 1.325468E-03 9.986743E-01 1.824920E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.952500E+04 1.312504E-03 9.986873E-01 1.835763E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.957500E+04 1.312491E-03 9.986873E-01 1.809764E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.962500E+04 1.313415E-03 9.986864E-01 1.781319E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.967500E+04 1.310221E-03 9.986896E-01 1.763935E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.972500E+04 1.302956E-03 9.986969E-01 1.758307E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.977500E+04 1.298672E-03 9.987012E-01 1.744299E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.982500E+04 1.299661E-03 9.987002E-01 1.716026E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.987500E+04 1.299680E-03 9.987002E-01 1.690462E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.992500E+04 1.287734E-03 9.987121E-01 1.697044E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
1.997500E+04 1.297522E-03 9.987023E-01 1.646026E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.002500E+04 1.280085E-03 9.987197E-01 1.666886E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.007500E+04 1.271566E-03 9.987283E-01 1.664545E-07 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
