#NTIMES: 50
#time[d] Lbol[erg/s] Edep[erg/s] 
199.16 2.19e+40 2.14e+40
202.03 2.10e+40 2.06e+40
204.93 2.01e+40 1.97e+40
207.87 1.93e+40 1.89e+40
210.86 1.84e+40 1.80e+40
213.89 1.77e+40 1.73e+40
216.97 1.69e+40 1.65e+40
220.09 1.62e+40 1.58e+40
223.25 1.55e+40 1.52e+40
226.46 1.48e+40 1.45e+40
229.71 1.42e+40 1.39e+40
233.01 1.35e+40 1.32e+40
236.36 1.29e+40 1.27e+40
239.76 1.24e+40 1.21e+40
243.21 1.18e+40 1.16e+40
246.70 1.13e+40 1.10e+40
250.25 1.08e+40 1.05e+40
253.85 1.03e+40 1.00e+40
257.50 9.77e+39 9.57e+39
261.20 9.33e+39 9.14e+39
264.95 8.91e+39 8.70e+39
268.76 8.49e+39 8.31e+39
272.62 8.08e+39 7.93e+39
276.54 7.73e+39 7.56e+39
280.51 7.36e+39 7.20e+39
284.55 7.00e+39 6.86e+39
288.64 6.69e+39 6.55e+39
292.79 6.34e+39 6.22e+39
296.99 6.06e+39 5.92e+39
301.26 5.75e+39 5.63e+39
305.59 5.48e+39 5.36e+39
309.99 5.20e+39 5.09e+39
314.44 4.95e+39 4.84e+39
318.96 4.70e+39 4.61e+39
323.55 4.47e+39 4.37e+39
328.19 4.24e+39 4.15e+39
332.91 4.02e+39 3.93e+39
337.70 3.82e+39 3.73e+39
342.55 3.62e+39 3.54e+39
347.48 3.43e+39 3.36e+39
352.47 3.26e+39 3.17e+39
357.54 3.07e+39 3.01e+39
362.68 2.91e+39 2.85e+39
367.89 2.75e+39 2.70e+39
373.18 2.61e+39 2.54e+39
378.54 2.46e+39 2.41e+39
383.98 2.33e+39 2.27e+39
389.50 2.20e+39 2.15e+39
395.10 2.07e+39 2.02e+39
400.78 1.95e+39 1.91e+39
