#NTIMES: 108
#time[d] Lbol[erg/s] Edep[erg/s] 
2.037028e+00 1.063222e+39 9.974848e+43 
2.112455e+00 2.439816e+39 6.418700e+42 
2.190675e+00 2.743781e+39 6.371791e+42 
2.271792e+00 2.452471e+39 6.329628e+42 
2.355913e+00 3.202170e+39 6.273226e+42 
2.443148e+00 2.148018e+39 6.238489e+42 
2.533613e+00 2.989070e+39 6.171419e+42 
2.627428e+00 3.222732e+39 6.133505e+42 
2.724717e+00 3.408040e+39 6.082122e+42 
2.825608e+00 4.247854e+39 6.017514e+42 
2.930235e+00 4.688060e+39 5.970337e+42 
3.038736e+00 5.602330e+39 5.913063e+42 
3.151255e+00 6.644197e+39 5.848717e+42 
3.267940e+00 8.506820e+39 5.795660e+42 
3.388946e+00 1.058663e+40 5.720798e+42 
3.514432e+00 1.267260e+40 5.669860e+42 
3.644565e+00 1.689497e+40 5.595799e+42 
3.779516e+00 2.285651e+40 5.536632e+42 
3.919465e+00 2.698469e+40 5.462069e+42 
4.064595e+00 3.483096e+40 5.389650e+42 
4.215100e+00 4.550582e+40 5.319527e+42 
4.371177e+00 5.999536e+40 5.253572e+42 
4.533034e+00 7.956344e+40 5.177100e+42 
4.700883e+00 9.932084e+40 5.101407e+42 
4.874948e+00 1.224370e+41 5.024211e+42 
5.055458e+00 1.524557e+41 4.948730e+42 
5.242653e+00 1.901999e+41 4.868068e+42 
5.436778e+00 2.316106e+41 4.792051e+42 
5.638092e+00 2.778444e+41 4.713421e+42 
5.846861e+00 3.325243e+41 4.633009e+42 
6.063359e+00 3.889942e+41 4.538260e+42 
6.287873e+00 4.502407e+41 4.460646e+42 
6.520702e+00 5.114198e+41 4.380258e+42 
6.762152e+00 5.848922e+41 4.294257e+42 
7.012541e+00 6.665129e+41 4.205934e+42 
7.272203e+00 7.464845e+41 4.116473e+42 
7.541479e+00 8.383129e+41 4.032343e+42 
7.820726e+00 9.326733e+41 3.943139e+42 
8.110313e+00 1.028785e+42 3.857163e+42 
8.410623e+00 1.131716e+42 3.765711e+42 
8.722052e+00 1.235185e+42 3.673273e+42 
9.045013e+00 1.342235e+42 3.585129e+42 
9.379933e+00 1.458916e+42 3.494806e+42 
9.727255e+00 1.568551e+42 3.403997e+42 
1.008744e+01 1.689859e+42 3.320490e+42 
1.046096e+01 1.806883e+42 3.224845e+42 
1.084831e+01 1.928712e+42 3.138896e+42 
1.125000e+01 2.037467e+42 3.052114e+42 
1.166656e+01 2.158169e+42 2.963383e+42 
1.209856e+01 2.259097e+42 2.881067e+42 
1.254655e+01 2.348902e+42 2.792203e+42 
1.301112e+01 2.446302e+42 2.708487e+42 
1.349289e+01 2.517952e+42 2.624229e+42 
1.399251e+01 2.576211e+42 2.543650e+42 
1.451063e+01 2.636089e+42 2.463910e+42 
1.504793e+01 2.683018e+42 2.387617e+42 
1.560513e+01 2.708580e+42 2.306291e+42 
1.618296e+01 2.718720e+42 2.228345e+42 
1.678218e+01 2.718124e+42 2.155537e+42 
1.740360e+01 2.703001e+42 2.079593e+42 
1.804802e+01 2.669886e+42 2.013834e+42 
1.871630e+01 2.628265e+42 1.941476e+42 
1.940933e+01 2.570266e+42 1.877365e+42 
2.012802e+01 2.499427e+42 1.812785e+42 
2.087333e+01 2.409180e+42 1.750204e+42 
2.164623e+01 2.310265e+42 1.691247e+42 
2.244774e+01 2.209204e+42 1.629832e+42 
2.327894e+01 2.093952e+42 1.572473e+42 
2.414092e+01 1.966702e+42 1.516631e+42 
2.503481e+01 1.840568e+42 1.464150e+42 
2.596181e+01 1.707961e+42 1.407484e+42 
2.692312e+01 1.589639e+42 1.358824e+42 
2.792004e+01 1.490503e+42 1.307895e+42 
2.895387e+01 1.398564e+42 1.257808e+42 
3.002597e+01 1.316894e+42 1.211927e+42 
3.113778e+01 1.240832e+42 1.163717e+42 
3.229075e+01 1.176370e+42 1.117645e+42 
3.348642e+01 1.120719e+42 1.071122e+42 
3.472636e+01 1.070200e+42 1.025857e+42 
3.601222e+01 1.022188e+42 9.824073e+41 
3.734568e+01 9.730890e+41 9.386056e+41 
3.872852e+01 9.277901e+41 8.977298e+41 
4.016256e+01 8.881357e+41 8.537180e+41 
4.164970e+01 8.480382e+41 8.118963e+41 
4.319192e+01 8.050001e+41 7.713056e+41 
4.479123e+01 7.642829e+41 7.322821e+41 
4.644977e+01 7.192632e+41 6.934620e+41 
4.816972e+01 6.749744e+41 6.544772e+41 
4.995336e+01 6.324611e+41 6.174050e+41 
5.180304e+01 5.937695e+41 5.814378e+41 
5.372120e+01 5.576811e+41 5.465246e+41 
5.571040e+01 5.224535e+41 5.130022e+41 
5.777325e+01 4.882045e+41 4.804342e+41 
5.991249e+01 4.561308e+41 4.488323e+41 
6.213094e+01 4.254616e+41 4.187676e+41 
6.443153e+01 3.970026e+41 3.902070e+41 
6.681731e+01 3.686518e+41 3.626743e+41 
6.929144e+01 3.431528e+41 3.368855e+41 
7.185717e+01 3.177618e+41 3.117514e+41 
7.451791e+01 2.935578e+41 2.884453e+41 
7.727716e+01 2.728773e+41 2.666581e+41 
8.013859e+01 2.518587e+41 2.461178e+41 
8.310597e+01 2.318314e+41 2.267146e+41 
8.618323e+01 2.125253e+41 2.082670e+41 
8.937444e+01 1.948107e+41 1.914917e+41 
9.268381e+01 1.790882e+41 1.756114e+41 
9.611572e+01 1.634405e+41 1.607536e+41 
9.967470e+01 1.490481e+41 1.468274e+41 
