#NTIMES:  59
#NBANDS:   8
#OPTSET: Bessell
#NIRSET: 2MASS
#time[d] U B V R I J H K
2.00100e+00 -12.320 -11.571 -10.980 -12.674 -14.363 -13.718 -13.451 -13.508
2.00200e+00 -12.187 -11.498 -10.974 -12.618 -14.342 -13.709 -13.436 -13.508
2.00300e+00 -12.107 -11.458 -10.971 -12.581 -14.320 -13.702 -13.427 -13.507
2.00500e+00 -12.032 -11.422 -10.966 -12.541 -14.294 -13.693 -13.416 -13.506
2.01000e+00 -11.932 -11.375 -10.953 -12.487 -14.254 -13.681 -13.396 -13.500
2.02000e+00 -11.799 -11.312 -10.927 -12.426 -14.190 -13.660 -13.363 -13.484
2.05000e+00 -11.560 -11.178 -10.830 -12.332 -14.039 -13.596 -13.275 -13.425
2.10000e+00 -11.384 -11.018 -10.645 -12.246 -13.909 -13.470 -13.128 -13.309
2.20000e+00  -9.654 -10.241 -10.245 -11.358 -13.096 -13.120 -12.793 -13.039
2.40000e+00  -8.532  -9.321  -9.583 -10.844 -12.522 -12.441 -12.219 -12.495
2.64000e+00  -7.986  -8.491  -9.049 -10.687 -12.338 -11.777 -11.734 -11.987
2.90000e+00  -7.914  -8.310  -9.167 -10.793 -12.350 -11.456 -11.573 -11.812
3.19000e+00  -8.269  -9.074 -10.045 -11.173 -12.479 -11.769 -11.950 -12.197
3.51000e+00  -9.115 -10.212 -11.118 -11.797 -12.726 -12.506 -12.698 -12.928
3.86000e+00 -10.199 -11.294 -12.088 -12.524 -13.105 -13.285 -13.478 -13.680
4.25000e+00 -11.271 -12.260 -12.938 -13.252 -13.601 -13.993 -14.179 -14.359
4.67000e+00 -12.205 -13.082 -13.653 -13.911 -14.146 -14.593 -14.761 -14.929
5.14000e+00 -13.041 -13.817 -14.282 -14.519 -14.725 -15.118 -15.266 -15.427
5.65000e+00 -13.787 -14.450 -14.809 -15.036 -15.238 -15.572 -15.693 -15.846
6.21000e+00 -14.456 -14.997 -15.265 -15.478 -15.677 -15.978 -16.066 -16.196
6.83000e+00 -15.051 -15.480 -15.668 -15.863 -16.044 -16.345 -16.391 -16.471
7.51000e+00 -15.565 -15.901 -16.014 -16.191 -16.342 -16.668 -16.665 -16.677
8.26000e+00 -16.004 -16.256 -16.305 -16.468 -16.583 -16.941 -16.895 -16.844
9.09000e+00 -16.373 -16.550 -16.542 -16.693 -16.771 -17.160 -17.089 -16.991
