#NTIMES: 191
#NBANDS:   8
#OPTSET: Bessell
#NIRSET: 2MASS
#time[d] U B V R I J H K
2.01862e+00 -12.731 -13.486 -14.336 -14.808 -14.993 -15.855 -16.127 -16.286
2.05619e+00 -12.327 -13.268 -14.164 -14.644 -14.834 -15.723 -16.021 -16.159
2.09447e+00 -11.844 -12.923 -13.864 -14.367 -14.580 -15.522 -15.852 -16.019
2.13346e+00 -11.382 -12.411 -13.386 -13.947 -14.290 -15.184 -15.507 -15.687
2.17318e+00 -10.895 -11.732 -12.526 -13.243 -13.967 -14.695 -14.970 -15.229
2.21363e+00 -10.283 -11.027 -11.657 -12.566 -13.671 -14.358 -14.554 -14.793
2.25484e+00  -9.768 -10.624 -11.228 -12.249 -13.438 -14.229 -14.411 -14.702
2.29681e+00  -9.120 -10.049 -10.737 -11.918 -13.194 -14.112 -14.301 -14.606
2.33957e+00  -8.291  -9.528 -10.196 -11.558 -12.962 -13.972 -14.153 -14.510
2.38312e+00  -7.645  -8.841  -9.650 -11.214 -12.715 -13.823 -13.976 -14.452
2.42749e+00  -6.913  -8.235  -9.082 -10.847 -12.487 -13.664 -13.782 -14.271
2.47267e+00  -6.451  -7.618  -8.463 -10.541 -12.232 -13.443 -13.562 -14.132
2.51870e+00  -5.295  -6.860  -7.879 -10.281 -12.042 -13.201 -13.392 -14.050
2.56559e+00  -2.800  -5.981  -7.603 -10.072 -11.835 -12.997 -13.198 -13.988
2.61335e+00  -1.107  -5.578  -7.325  -9.901 -11.624 -12.790 -13.065 -13.997
2.66200e+00  99.999  -4.842  -6.758  -9.608 -11.395 -12.599 -12.995 -13.881
2.71155e+00  99.999  -4.727  -6.724  -9.412 -11.211 -12.432 -12.902 -13.860
2.76203e+00  99.999  -4.554  -6.296  -9.220 -11.020 -12.259 -12.767 -13.785
2.81345e+00  99.999  -3.919  -6.062  -8.990 -10.824 -12.074 -12.678 -13.720
2.86582e+00  99.999  -3.730  -5.879  -8.742 -10.631 -11.928 -12.487 -13.646
2.91917e+00  99.999  -3.850  -5.438  -8.502 -10.439 -11.730 -12.388 -13.538
2.97351e+00  99.999  -2.804  -4.946  -8.257 -10.230 -11.585 -12.219 -13.405
3.02887e+00  99.999  -2.502  -5.017  -8.025 -10.017 -11.403 -12.020 -13.224
3.08525e+00  99.999  -2.199  -4.587  -7.848  -9.875 -11.208 -11.929 -13.079
3.14268e+00  99.999  -2.293  -4.588  -7.666  -9.702 -11.108 -11.743 -12.947
3.20119e+00  99.999  -2.067  -4.325  -7.496  -9.544 -10.907 -11.583 -12.722
3.26078e+00  99.999  -2.137  -4.377  -7.460  -9.490 -10.799 -11.502 -12.561
3.32148e+00  99.999  -2.742  -4.643  -7.389  -9.408 -10.784 -11.383 -12.456
3.38331e+00  99.999  -3.028  -4.806  -7.185  -9.297 -10.705 -11.378 -12.355
3.44629e+00  99.999  -2.524  -5.007  -7.687  -9.640 -10.676 -11.519 -12.337
3.51045e+00  99.999  -3.467  -5.748  -7.791  -9.472 -11.080 -11.427 -12.630
3.57580e+00  99.999  -2.942  -6.160  -8.122  -9.866 -10.954 -11.620 -12.397
3.64236e+00  99.999  -5.868  -7.410  -7.959  -9.862 -11.401 -11.665 -12.516
3.71017e+00  -1.686  -2.617  -6.292  -8.018  -9.937 -11.173 -11.729 -12.796
3.77923e+00  -3.172  -3.770  -5.949  -7.847  -9.832 -11.634 -11.727 -12.649
3.84959e+00  -3.012  -3.567  -6.632  -8.450 -10.284 -11.334 -11.893 -12.813
3.92125e+00  -3.709  -6.145  -6.230  -8.366  -9.977 -11.576 -12.281 -13.018
3.99425e+00  -4.404  -4.601  -5.064  -8.695 -10.131 -11.675 -12.312 -12.911
4.06860e+00  -2.654  -3.158  -5.069  -8.633 -10.445 -11.995 -12.532 -13.349
4.14434e+00  -4.428  -3.718  -5.799  -9.290 -10.883 -12.108 -12.702 -13.123
4.22149e+00  -1.473  -3.519  -5.701  -9.338 -11.038 -12.203 -12.574 -13.536
4.30007e+00  -3.831  -3.061  -6.614  -9.464 -11.160 -12.435 -12.775 -13.445
4.38012e+00  -3.442  -4.272  -6.834  -9.652 -11.218 -12.646 -13.174 -13.707
4.46166e+00  -3.852  -4.003  -7.515  -9.757 -11.187 -12.581 -13.087 -13.644
4.54472e+00  -2.580  -4.685  -7.027  -9.698 -11.215 -12.660 -13.254 -14.011
4.62932e+00  -3.371  -4.637  -7.543  -9.676 -11.505 -12.980 -13.433 -14.166
4.71550e+00  -3.111  -5.516  -7.210  -9.970 -11.556 -12.996 -13.478 -14.210
4.80328e+00  -1.963  -5.258  -6.958  -9.939 -11.617 -13.123 -13.605 -14.181
4.89269e+00  -4.197  -5.045  -7.450 -10.140 -11.942 -13.223 -13.758 -14.265
4.98377e+00  -4.496  -5.176  -7.655 -10.341 -12.018 -13.366 -13.902 -14.516
5.07655e+00  -4.963  -5.401  -7.221 -10.519 -12.180 -13.517 -14.052 -14.613
5.17105e+00  -5.653  -5.630  -7.694 -10.671 -12.409 -13.672 -14.218 -14.864
5.26731e+00  -5.494  -5.754  -7.722 -10.805 -12.595 -13.927 -14.346 -14.944
5.36537e+00  -6.800  -6.689  -8.026 -11.158 -12.748 -13.929 -14.382 -15.118
5.46525e+00  -5.683  -6.814  -8.047 -11.137 -12.760 -14.123 -14.482 -15.095
5.56699e+00  -4.817  -7.276  -8.492 -11.306 -12.986 -14.272 -14.647 -15.343
5.67062e+00  -5.321  -7.350  -8.611 -11.600 -13.118 -14.378 -14.795 -15.322
5.77618e+00  -6.232  -8.293  -8.676 -11.633 -13.218 -14.548 -14.844 -15.489
5.88371e+00  -5.580  -8.375  -9.209 -11.758 -13.296 -14.651 -14.985 -15.667
5.99324e+00  -6.886  -8.632  -9.224 -11.897 -13.449 -14.766 -15.076 -15.742
6.10480e+00  -6.319  -9.408  -9.519 -12.055 -13.603 -14.886 -15.206 -15.761
6.21845e+00  -6.532  -9.704 -10.009 -12.267 -13.769 -14.976 -15.258 -15.865
6.33421e+00  -7.386 -10.086 -10.208 -12.457 -13.914 -15.146 -15.350 -15.966
6.45212e+00  -6.929 -10.648 -10.351 -12.686 -14.041 -15.212 -15.444 -16.023
6.57223e+00  -7.700 -10.980 -10.760 -12.917 -14.213 -15.311 -15.562 -16.143
6.69458e+00  -8.019 -11.405 -11.082 -13.132 -14.321 -15.437 -15.696 -16.223
6.81920e+00  -9.002 -11.682 -11.259 -13.337 -14.435 -15.533 -15.745 -16.330
6.94614e+00  -9.163 -11.956 -11.653 -13.566 -14.549 -15.644 -15.862 -16.410
7.07545e+00  -9.960 -12.213 -11.889 -13.737 -14.648 -15.745 -15.965 -16.545
7.20716e+00 -10.811 -12.504 -12.229 -13.944 -14.739 -15.855 -16.045 -16.576
7.34133e+00 -11.460 -12.718 -12.530 -14.118 -14.875 -15.984 -16.187 -16.692
7.47799e+00 -12.005 -12.984 -12.861 -14.299 -14.999 -16.069 -16.256 -16.765
7.61720e+00 -12.418 -13.188 -13.243 -14.500 -15.101 -16.167 -16.386 -16.877
7.75900e+00 -12.742 -13.420 -13.611 -14.681 -15.186 -16.249 -16.503 -16.943
7.90343e+00 -13.018 -13.617 -13.917 -14.863 -15.302 -16.339 -16.590 -16.995
8.05056e+00 -13.278 -13.779 -14.168 -15.010 -15.389 -16.450 -16.665 -17.116
8.20043e+00 -13.437 -13.964 -14.385 -15.167 -15.480 -16.522 -16.793 -17.170
8.35308e+00 -13.619 -14.090 -14.606 -15.307 -15.577 -16.607 -16.844 -17.223
8.50858e+00 -13.752 -14.248 -14.788 -15.445 -15.684 -16.679 -16.925 -17.271
8.66697e+00 -13.892 -14.369 -14.962 -15.552 -15.748 -16.755 -16.973 -17.302
8.82831e+00 -14.012 -14.504 -15.120 -15.682 -15.865 -16.832 -17.039 -17.396
8.99265e+00 -14.126 -14.646 -15.276 -15.783 -15.929 -16.894 -17.099 -17.422
9.16006e+00 -14.231 -14.748 -15.431 -15.892 -16.015 -16.972 -17.161 -17.427
9.33058e+00 -14.316 -14.861 -15.576 -15.992 -16.107 -17.037 -17.198 -17.481
9.50427e+00 -14.415 -14.975 -15.690 -16.085 -16.183 -17.094 -17.268 -17.490
9.68120e+00 -14.513 -15.085 -15.806 -16.171 -16.243 -17.156 -17.305 -17.488
9.86142e+00 -14.590 -15.192 -15.919 -16.262 -16.326 -17.231 -17.373 -17.568
1.00450e+01 -14.652 -15.293 -16.014 -16.348 -16.401 -17.278 -17.393 -17.582
1.02320e+01 -14.738 -15.399 -16.113 -16.409 -16.472 -17.325 -17.439 -17.609
1.04225e+01 -14.833 -15.493 -16.194 -16.485 -16.537 -17.376 -17.469 -17.652
1.06165e+01 -14.890 -15.580 -16.267 -16.547 -16.618 -17.423 -17.499 -17.678
1.08141e+01 -14.941 -15.671 -16.340 -16.606 -16.682 -17.469 -17.544 -17.692
1.10154e+01 -15.007 -15.747 -16.404 -16.655 -16.750 -17.510 -17.572 -17.719
1.12205e+01 -15.069 -15.833 -16.463 -16.708 -16.811 -17.542 -17.586 -17.749
1.14294e+01 -15.122 -15.898 -16.518 -16.756 -16.888 -17.569 -17.625 -17.766
1.16421e+01 -15.178 -15.969 -16.577 -16.802 -16.943 -17.599 -17.640 -17.820
1.18588e+01 -15.235 -16.028 -16.622 -16.844 -17.008 -17.641 -17.665 -17.825
1.20796e+01 -15.286 -16.099 -16.661 -16.888 -17.067 -17.664 -17.690 -17.867
1.23045e+01 -15.363 -16.156 -16.709 -16.926 -17.121 -17.706 -17.720 -17.889
1.25335e+01 -15.407 -16.214 -16.750 -16.960 -17.165 -17.744 -17.737 -17.910
1.27668e+01 -15.465 -16.263 -16.788 -16.994 -17.225 -17.773 -17.756 -17.930
1.30045e+01 -15.517 -16.312 -16.821 -17.028 -17.270 -17.805 -17.774 -17.942
1.32466e+01 -15.588 -16.366 -16.863 -17.065 -17.319 -17.831 -17.789 -17.954
1.34932e+01 -15.637 -16.408 -16.889 -17.095 -17.371 -17.859 -17.815 -17.992
1.37444e+01 -15.692 -16.452 -16.922 -17.127 -17.411 -17.892 -17.832 -18.016
1.40002e+01 -15.747 -16.491 -16.957 -17.160 -17.453 -17.927 -17.847 -18.010
1.42608e+01 -15.794 -16.529 -16.978 -17.188 -17.489 -17.956 -17.868 -18.031
1.45263e+01 -15.847 -16.565 -17.006 -17.215 -17.536 -17.983 -17.876 -18.054
1.47967e+01 -15.897 -16.598 -17.033 -17.244 -17.569 -18.009 -17.884 -18.071
1.50722e+01 -15.933 -16.628 -17.051 -17.265 -17.602 -18.024 -17.916 -18.101
1.53528e+01 -15.978 -16.655 -17.073 -17.290 -17.635 -18.055 -17.911 -18.096
1.56386e+01 -16.015 -16.683 -17.089 -17.307 -17.661 -18.077 -17.929 -18.100
1.59297e+01 -16.038 -16.703 -17.110 -17.329 -17.694 -18.096 -17.937 -18.120
1.62262e+01 -16.071 -16.722 -17.127 -17.350 -17.722 -18.121 -17.951 -18.129
1.65283e+01 -16.102 -16.741 -17.139 -17.365 -17.740 -18.138 -17.952 -18.142
1.68360e+01 -16.124 -16.759 -17.151 -17.381 -17.767 -18.153 -17.967 -18.140
1.71494e+01 -16.134 -16.771 -17.167 -17.398 -17.790 -18.168 -17.965 -18.152
1.74686e+01 -16.153 -16.784 -17.179 -17.415 -17.809 -18.184 -17.978 -18.157
1.77938e+01 -16.164 -16.798 -17.187 -17.426 -17.826 -18.193 -17.986 -18.170
1.81251e+01 -16.168 -16.808 -17.191 -17.433 -17.838 -18.206 -17.980 -18.177
1.84625e+01 -16.160 -16.806 -17.198 -17.442 -17.849 -18.210 -17.989 -18.185
1.88062e+01 -16.161 -16.813 -17.199 -17.445 -17.857 -18.218 -18.001 -18.185
1.91562e+01 -16.139 -16.815 -17.205 -17.450 -17.868 -18.223 -17.999 -18.195
1.95128e+01 -16.117 -16.817 -17.207 -17.453 -17.870 -18.220 -18.007 -18.190
1.98761e+01 -16.093 -16.818 -17.209 -17.456 -17.871 -18.223 -18.004 -18.178
2.02461e+01 -16.044 -16.814 -17.205 -17.453 -17.869 -18.217 -18.016 -18.193
2.06230e+01 -15.996 -16.810 -17.203 -17.446 -17.860 -18.211 -18.000 -18.201
2.10069e+01 -15.946 -16.796 -17.204 -17.442 -17.852 -18.200 -18.009 -18.203
2.13979e+01 -15.872 -16.785 -17.202 -17.434 -17.836 -18.188 -18.005 -18.200
2.17963e+01 -15.819 -16.763 -17.198 -17.423 -17.822 -18.181 -18.013 -18.196
2.22020e+01 -15.739 -16.740 -17.189 -17.411 -17.801 -18.163 -18.007 -18.183
2.26153e+01 -15.663 -16.709 -17.185 -17.403 -17.782 -18.147 -17.995 -18.187
2.30363e+01 -15.568 -16.674 -17.176 -17.387 -17.756 -18.131 -17.990 -18.185
2.34652e+01 -15.437 -16.635 -17.165 -17.370 -17.725 -18.106 -17.989 -18.193
2.39020e+01 -15.337 -16.585 -17.156 -17.350 -17.691 -18.094 -17.993 -18.178
2.43469e+01 -15.237 -16.527 -17.136 -17.332 -17.652 -18.061 -17.986 -18.173
2.48002e+01 -15.108 -16.465 -17.114 -17.310 -17.615 -18.042 -17.977 -18.184
2.52618e+01 -14.949 -16.388 -17.089 -17.282 -17.567 -18.024 -17.982 -18.182
2.57321e+01 -14.800 -16.300 -17.061 -17.252 -17.516 -18.001 -17.963 -18.170
2.62111e+01 -14.650 -16.210 -17.027 -17.219 -17.465 -17.976 -17.972 -18.165
2.66990e+01 -14.505 -16.107 -16.985 -17.184 -17.410 -17.968 -17.962 -18.167
2.71961e+01 -14.350 -16.006 -16.938 -17.141 -17.360 -17.951 -17.973 -18.167
2.77023e+01 -14.198 -15.906 -16.885 -17.104 -17.312 -17.934 -17.971 -18.191
2.82180e+01 -14.050 -15.802 -16.833 -17.064 -17.274 -17.907 -17.970 -18.187
2.87433e+01 -13.885 -15.702 -16.776 -17.026 -17.236 -17.894 -17.962 -18.179
2.92784e+01 -13.718 -15.605 -16.708 -16.976 -17.203 -17.858 -17.961 -18.182
2.98234e+01 -13.595 -15.508 -16.647 -16.932 -17.172 -17.834 -17.943 -18.199
3.03786e+01 -13.435 -15.411 -16.578 -16.886 -17.152 -17.800 -17.935 -18.195
3.09441e+01 -13.271 -15.309 -16.500 -16.838 -17.129 -17.768 -17.926 -18.198
3.15202e+01 -13.124 -15.211 -16.425 -16.793 -17.115 -17.743 -17.911 -18.209
3.21069e+01 -13.014 -15.117 -16.351 -16.741 -17.098 -17.709 -17.906 -18.215
3.27046e+01 -12.857 -15.029 -16.276 -16.696 -17.081 -17.683 -17.899 -18.223
3.33134e+01 -12.739 -14.955 -16.199 -16.647 -17.072 -17.652 -17.880 -18.239
3.39336e+01 -12.644 -14.882 -16.113 -16.590 -17.059 -17.634 -17.875 -18.258
3.45653e+01 -12.523 -14.810 -16.028 -16.541 -17.056 -17.612 -17.851 -18.286
3.52087e+01 -12.394 -14.751 -15.951 -16.488 -17.049 -17.590 -17.840 -18.286
3.58641e+01 -12.291 -14.687 -15.876 -16.440 -17.043 -17.568 -17.829 -18.312
3.65318e+01 -12.183 -14.635 -15.805 -16.389 -17.039 -17.547 -17.808 -18.326
3.72118e+01 -12.087 -14.584 -15.738 -16.348 -17.031 -17.527 -17.795 -18.349
3.79045e+01 -12.003 -14.532 -15.679 -16.306 -17.016 -17.507 -17.778 -18.376
3.86102e+01 -11.872 -14.489 -15.628 -16.267 -17.012 -17.482 -17.759 -18.391
3.93289e+01 -11.876 -14.439 -15.582 -16.230 -16.996 -17.468 -17.749 -18.417
4.00610e+01 -11.821 -14.406 -15.546 -16.188 -16.982 -17.445 -17.738 -18.432
4.08068e+01 -11.778 -14.356 -15.502 -16.147 -16.963 -17.426 -17.710 -18.449
4.15664e+01 -11.703 -14.321 -15.464 -16.102 -16.941 -17.398 -17.672 -18.451
4.23402e+01 -11.653 -14.268 -15.410 -16.055 -16.918 -17.372 -17.663 -18.450
4.31284e+01 -11.607 -14.232 -15.378 -16.008 -16.896 -17.340 -17.628 -18.443
4.39313e+01 -11.488 -14.197 -15.336 -15.965 -16.873 -17.301 -17.605 -18.424
4.47491e+01 -11.428 -14.153 -15.289 -15.913 -16.841 -17.272 -17.575 -18.419
4.55821e+01 -11.267 -14.113 -15.252 -15.869 -16.809 -17.233 -17.542 -18.390
4.64306e+01 -11.102 -14.076 -15.213 -15.824 -16.777 -17.196 -17.510 -18.369
4.72950e+01 -11.073 -14.033 -15.182 -15.780 -16.751 -17.151 -17.470 -18.345
4.81754e+01 -11.023 -14.005 -15.140 -15.731 -16.718 -17.110 -17.434 -18.317
4.90722e+01 -10.906 -13.958 -15.107 -15.695 -16.689 -17.064 -17.397 -18.297
4.99857e+01 -10.796 -13.932 -15.069 -15.653 -16.662 -17.029 -17.345 -18.265
5.09162e+01 -10.716 -13.894 -15.033 -15.616 -16.636 -16.990 -17.312 -18.233
5.18640e+01 -10.624 -13.858 -14.999 -15.580 -16.607 -16.952 -17.272 -18.207
5.28295e+01 -10.555 -13.821 -14.966 -15.541 -16.579 -16.916 -17.230 -18.169
5.38130e+01 -10.498 -13.795 -14.932 -15.507 -16.553 -16.876 -17.184 -18.149
5.48147e+01 -10.351 -13.761 -14.893 -15.475 -16.524 -16.843 -17.144 -18.117
5.58351e+01 -10.283 -13.726 -14.860 -15.439 -16.501 -16.806 -17.091 -18.075
5.68745e+01 -10.164 -13.691 -14.821 -15.401 -16.474 -16.778 -17.042 -18.044
5.79333e+01 -10.105 -13.659 -14.778 -15.368 -16.452 -16.735 -16.982 -18.006
5.90118e+01 -10.044 -13.628 -14.744 -15.333 -16.417 -16.699 -16.930 -17.979
6.01103e+01  -9.959 -13.587 -14.695 -15.305 -16.390 -16.658 -16.873 -17.947
6.12293e+01  -9.840 -13.540 -14.652 -15.267 -16.361 -16.627 -16.795 -17.908
6.23691e+01  -9.698 -13.490 -14.609 -15.238 -16.329 -16.585 -16.738 -17.874
6.35301e+01  -9.479 -13.439 -14.550 -15.208 -16.297 -16.548 -16.666 -17.848
6.47128e+01  -9.372 -13.383 -14.499 -15.179 -16.271 -16.507 -16.595 -17.809
6.59174e+01  -9.208 -13.328 -14.436 -15.153 -16.242 -16.473 -16.527 -17.777
6.71445e+01  -9.108 -13.259 -14.373 -15.126 -16.209 -16.430 -16.448 -17.737
