#NTIMES: 50
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 140
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
1125.00 5.2920e+03 4.3290e-16 9.2146e+06 4.7271e+06
2375.00 5.3614e+03 2.8156e-16 6.3214e+06 3.4401e+06
3125.00 5.0900e+03 2.1738e-16 4.8832e+06 3.2614e+06
3625.00 4.4169e+03 1.8292e-16 3.8214e+06 3.1886e+06
4125.00 3.8096e+03 1.5392e-16 2.8770e+06 2.9703e+06
4625.00 3.4452e+03 1.2952e-16 2.3448e+06 2.5530e+06
4875.00 3.3540e+03 1.1880e-16 2.0191e+06 2.3423e+06
5375.00 3.3457e+03 9.9965e-17 1.6635e+06 1.9708e+06
5625.00 3.2946e+03 9.1696e-17 1.4714e+06 1.8078e+06
6125.00 3.3109e+03 7.7155e-17 1.2350e+06 1.5210e+06
6375.00 3.2109e+03 7.0773e-17 1.1174e+06 1.3953e+06
6625.00 3.2568e+03 6.4918e-17 1.0117e+06 1.2799e+06
6875.00 3.2461e+03 5.9548e-17 9.2289e+05 1.1740e+06
7125.00 3.1389e+03 5.4622e-17 8.4850e+05 1.0769e+06
7625.00 3.2897e+03 4.5959e-17 7.0884e+05 9.0602e+05
7875.00 3.1489e+03 4.2157e-17 6.8668e+05 8.3120e+05
8125.00 3.2498e+03 3.8670e-17 6.0790e+05 7.6229e+05
8375.00 3.2212e+03 3.5471e-17 5.6587e+05 6.9929e+05
8625.00 2.9957e+03 3.2537e-17 5.5225e+05 6.4141e+05
8875.00 2.9850e+03 2.9844e-17 5.0472e+05 5.8834e+05
9125.00 3.1723e+03 2.7375e-17 4.4492e+05 5.3976e+05
9375.00 3.1978e+03 2.5110e-17 4.1940e+05 4.9497e+05
9625.00 2.9196e+03 2.3034e-17 4.3551e+05 4.5407e+05
9875.00 3.1514e+03 2.1128e-17 3.6841e+05 4.1658e+05
