#NTIMES: 257
#TIMES[d]: 2.2 2.42 2.662 2.9282 3.22102 3.543122 3.897434 4.287178 4.715896 5.187485 5.706233 6.276857 6.904542 7.594996 8.354497 9.189946 10.10894 11.10894 12.10894 13.108941 14.108941 15.108941 16.108941 17.108941 18.108941 19.108941 20.108941 21.108941 22.108941 23.108941 24.108941 25.108941 26.108941 27.108941 28.108941 29.108941 30.108941 31.108941 32.108941 33.108941 34.108941 35.108941 36.108941 37.108941 38.108941 39.108941 40.108941 41.108941 42.108941 43.108941 44.108941 45.108941 46.108941 47.108941 48.108941 49.108941 50.108941 51.108941 52.108941 53.108941 54.108941 55.108941 56.108941 57.108941 58.108941 59.108941 60.108941 61.108941 62.108941 63.108941 64.108941 65.108941 66.108941 67.108941 68.108941 69.108941 70.108941 71.108941 72.108941 73.108941 74.108941 75.108941 76.108941 77.108941 78.108941 79.108941 80.108941 81.108941 82.108941 83.108941 84.108941 85.108941 86.108941 87.108941 88.108941 89.108941 90.108941 91.108941 92.108941 93.108941 94.108941 95.108941 96.108941 97.108935 98.108935 99.108935 100.108935 101.108935 102.108935 103.108935 104.108935 105.108935 106.108935 107.108935 108.108935 109.108935 110.108935 111.108935 112.108935 113.108935 114.108935 115.108935 116.108935 117.108935 118.108935 119.108935 120.108935 121.108935 122.108935 123.108935 124.108935 125.108935 126.108935 127.108935 128.108935 129.108935 130.108935 131.108935 132.108935 133.108935 134.108935 135.108935 136.108935 137.108935 138.108935 139.108935 140.108935 141.108935 142.108935 143.108935 144.108935 145.108935 146.108935 147.108935 148.108935 149.108935 150.108935 151.108935 152.108935 153.108935 154.108935 155.108935 156.108935 157.108935 158.108935 159.108935 160.108935 161.108935 162.108935 163.108935 164.108935 165.108935 166.108935 167.108935 168.108935 169.108935 170.108935 171.108935 172.108935 173.108935 174.108935 175.108935 176.108935 177.108935 178.108935 179.108935 180.108935 181.108935 182.108935 183.108935 184.108935 185.108935 186.108935 187.108935 188.108935 189.108935 190.108935 191.108935 192.108935 193.108935 194.108935 195.108935 196.108935 197.108935 198.108935 199.108935 200.108935 201.108935 202.108935 203.108935 204.108935 205.108935 206.108935 207.108935 208.108935 209.108935 210.108935 211.108935 212.108935 213.108935 214.108935 215.108935 216.108935 217.108935 218.108935 219.108935 220.108935 221.108935 222.108935 223.108935 224.108935 225.108935 226.108935 227.108935 228.108935 229.108935 230.108935 231.108935 232.108935 233.108935 234.108935 235.108935 236.108935 237.108935 238.108935 239.108935 240.108935 241.108935 242.108935 243.108935 244.108935 245.108935 246.108935 247.108935 248.108935 249.108935 250.108935
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
2.500e+02 1.260043e+05 4.175883e-10 2.229126e+13 4.458286e+12
7.500e+02 1.156968e+05 3.603231e-10 1.924551e+13 3.849135e+12
1.250e+03 1.093537e+05 3.053569e-10 1.640394e+13 3.280834e+12
1.750e+03 1.029673e+05 2.577460e-10 1.420248e+13 2.840670e+12
2.250e+03 9.509941e+04 2.172502e-10 1.280061e+13 2.561447e+12
2.750e+03 8.486475e+04 1.829977e-10 1.209611e+13 2.436472e+12
3.250e+03 7.082042e+04 1.540947e-10 1.116416e+13 2.399080e+12
3.750e+03 5.294167e+04 1.297295e-10 1.043343e+13 2.333977e+12
4.250e+03 3.085876e+04 1.091961e-10 8.514537e+12 2.134273e+12
4.750e+03 1.619060e+04 9.190834e-11 1.073864e+12 1.817722e+12
5.250e+03 1.266865e+04 7.734786e-11 9.222763e+11 1.529751e+12
5.750e+03 9.456325e+03 6.509467e-11 7.907291e+11 1.287413e+12
6.250e+03 6.812546e+03 5.477986e-11 6.768831e+11 1.083412e+12
6.750e+03 5.416548e+03 4.609767e-11 5.786483e+11 9.116990e+11
7.250e+03 5.042020e+03 3.879038e-11 4.941181e+11 7.671787e+11
7.750e+03 5.418283e+03 3.264162e-11 4.215731e+11 6.455713e+11
8.250e+03 5.401373e+03 2.746657e-11 3.594353e+11 5.432214e+11
8.750e+03 5.309231e+03 2.311195e-11 3.063235e+11 4.570977e+11
9.250e+03 5.467275e+03 1.944703e-11 2.609910e+11 3.846147e+11
9.750e+03 5.320214e+03 1.636364e-11 2.223619e+11 3.236326e+11
1.025e+04 5.248231e+03 1.376859e-11 1.894665e+11 2.723091e+11
1.075e+04 5.149255e+03 1.158527e-11 1.614826e+11 2.291283e+11
1.125e+04 5.222058e+03 9.748310e-12 1.376860e+11 1.927977e+11
1.175e+04 5.270531e+03 8.202104e-12 1.174439e+11 1.622175e+11
1.225e+04 5.237713e+03 6.901277e-12 1.002314e+11 1.364904e+11
1.275e+04 5.277613e+03 5.806762e-12 8.558739e+10 1.148435e+11
1.325e+04 5.338237e+03 4.885800e-12 7.312052e+10 9.662916e+10
1.375e+04 5.320238e+03 4.110969e-12 6.250000e+10 8.130490e+10
1.425e+04 5.301296e+03 3.458903e-12 5.344153e+10 6.840863e+10
1.475e+04 5.252587e+03 2.910293e-12 4.570959e+10 5.755847e+10
1.525e+04 5.219670e+03 2.448760e-12 3.910369e+10 4.843048e+10
1.575e+04 5.150053e+03 2.060331e-12 3.345203e+10 4.074829e+10
1.625e+04 5.114829e+03 1.733584e-12 2.861479e+10 3.428604e+10
1.675e+04 5.152260e+03 1.458603e-12 2.446968e+10 2.884759e+10
1.725e+04 5.187705e+03 1.227273e-12 2.091703e+10 2.427245e+10
