#NTIMES: 4
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 320
#vel_mid[km/s] temp[K] rho[gcc] ne[/cm^3] natom[/cm^3]
1.902500E+04 4.243271E+03 5.659904E-14 1.032095E+09 1.124559E+09
1.907500E+04 4.249287E+03 5.563008E-14 1.014793E+09 1.105306E+09
1.912500E+04 4.251507E+03 5.467712E-14 9.974077E+08 1.086372E+09
1.917500E+04 4.251344E+03 5.374080E-14 9.797646E+08 1.067769E+09
1.922500E+04 4.251360E+03 5.282048E-14 9.627322E+08 1.049483E+09
1.927500E+04 4.253810E+03 5.191616E-14 9.466423E+08 1.031515E+09
1.932500E+04 4.256082E+03 5.102720E-14 9.309785E+08 1.013852E+09
1.937500E+04 4.253125E+03 5.015296E-14 9.140820E+08 9.964823E+08
1.942500E+04 4.255203E+03 4.929408E-14 8.989883E+08 9.794173E+08
1.947500E+04 4.257328E+03 4.844992E-14 8.841363E+08 9.626448E+08
1.952500E+04 4.259779E+03 4.762048E-14 8.696500E+08 9.461648E+08
1.957500E+04 4.259601E+03 4.680512E-14 8.546885E+08 9.299645E+08
1.962500E+04 4.259104E+03 4.600384E-14 8.399297E+08 9.140440E+08
1.967500E+04 4.258871E+03 4.521600E-14 8.256110E+08 8.983905E+08
1.972500E+04 4.259852E+03 4.444160E-14 8.117687E+08 8.830040E+08
1.977500E+04 4.260015E+03 4.368064E-14 7.979988E+08 8.678846E+08
1.982500E+04 4.259078E+03 4.293248E-14 7.841900E+08 8.530195E+08
1.987500E+04 4.258048E+03 4.219712E-14 7.706546E+08 8.384088E+08
1.992500E+04 4.259461E+03 4.147456E-14 7.579452E+08 8.240523E+08
1.997500E+04 4.256391E+03 4.076416E-14 7.443888E+08 8.099375E+08
2.002500E+04 4.258874E+03 4.006656E-14 7.323816E+08 7.960770E+08
2.007500E+04 4.259626E+03 3.938048E-14 7.201484E+08 7.824453E+08
2.012500E+04 4.259059E+03 3.870592E-14 7.078586E+08 7.690426E+08
2.017500E+04 4.258755E+03 3.804288E-14 6.958829E+08 7.558687E+08
2.022500E+04 4.257857E+03 3.739136E-14 6.838829E+08 7.429238E+08
2.027500E+04 4.255541E+03 3.675136E-14 6.718525E+08 7.302077E+08
2.032500E+04 4.255204E+03 3.612160E-14 6.604320E+08 7.176951E+08
2.037500E+04 4.255664E+03 3.550336E-14 6.493844E+08 7.054114E+08
2.042500E+04 4.256107E+03 3.489536E-14 6.385876E+08 6.933311E+08
2.047500E+04 4.258186E+03 3.429760E-14 6.282114E+08 6.814543E+08
2.052500E+04 4.255950E+03 3.371072E-14 6.172053E+08 6.697937E+08
2.057500E+04 4.254798E+03 3.313344E-14 6.066182E+08 6.583238E+08
2.062500E+04 4.252700E+03 3.256576E-14 5.959848E+08 6.470446E+08
2.067500E+04 4.252679E+03 3.200832E-14 5.859889E+08 6.359689E+08
2.072500E+04 4.255736E+03 3.145984E-14 5.767368E+08 6.250712E+08
2.077500E+04 4.255180E+03 3.092160E-14 5.669494E+08 6.143770E+08
2.082500E+04 4.256056E+03 3.039168E-14 5.575719E+08 6.038481E+08
2.087500E+04 4.254677E+03 2.987136E-14 5.479692E+08 5.935099E+08
2.092500E+04 4.252289E+03 2.936000E-14 5.383704E+08 5.833498E+08
2.097500E+04 4.249141E+03 2.885696E-14 5.288011E+08 5.733550E+08
2.102500E+04 4.250376E+03 2.836288E-14 5.201377E+08 5.635382E+08
2.107500E+04 4.247560E+03 2.787712E-14 5.109864E+08 5.538867E+08
2.112500E+04 4.246641E+03 2.739968E-14 5.022302E+08 5.444005E+08
2.117500E+04 4.245425E+03 2.693056E-14 4.936754E+08 5.350796E+08
2.122500E+04 4.243412E+03 2.646912E-14 4.850838E+08 5.259113E+08
2.127500E+04 4.243892E+03 2.601600E-14 4.770471E+08 5.169083E+08
2.132500E+04 4.239266E+03 2.557056E-14 4.683514E+08 5.080579E+08
2.137500E+04 4.240821E+03 2.513280E-14 4.607641E+08 4.993601E+08
2.142500E+04 4.239858E+03 2.470208E-14 4.528993E+08 4.908022E+08
2.147500E+04 4.242387E+03 2.427904E-14 4.456900E+08 4.823969E+08
2.152500E+04 4.240580E+03 2.386368E-14 4.379738E+08 4.741442E+08
2.157500E+04 4.239630E+03 2.345472E-14 4.305267E+08 4.660186E+08
2.162500E+04 4.238632E+03 2.305344E-14 4.232007E+08 4.580456E+08
2.167500E+04 4.239016E+03 2.265856E-14 4.161693E+08 4.501998E+08
2.172500E+04 4.237323E+03 2.227072E-14 4.090349E+08 4.424939E+08
2.177500E+04 4.237743E+03 2.188928E-14 4.022589E+08 4.349151E+08
2.182500E+04 4.233320E+03 2.151424E-14 3.950012E+08 4.274635E+08
2.187500E+04 4.231814E+03 2.114560E-14 3.881974E+08 4.201390E+08
2.192500E+04 4.233049E+03 2.078400E-14 3.818769E+08 4.129544E+08
2.197500E+04 4.231868E+03 2.042752E-14 3.753583E+08 4.058716E+08
2.202500E+04 4.229006E+03 2.007808E-14 3.687895E+08 3.989286E+08
2.207500E+04 4.228876E+03 1.973440E-14 3.626134E+08 3.921001E+08
2.212500E+04 4.225990E+03 1.939648E-14 3.562386E+08 3.853860E+08
2.217500E+04 4.223435E+03 1.906432E-14 3.500057E+08 3.787864E+08
2.222500E+04 4.224186E+03 1.873792E-14 3.442501E+08 3.723012E+08
2.227500E+04 4.221884E+03 1.841664E-14 3.382739E+08 3.659177E+08
2.232500E+04 4.220990E+03 1.810112E-14 3.325528E+08 3.596487E+08
2.237500E+04 4.221903E+03 1.779136E-14 3.271165E+08 3.534941E+08
2.242500E+04 4.218795E+03 1.748672E-14 3.213431E+08 3.474412E+08
2.247500E+04 4.218533E+03 1.718720E-14 3.159547E+08 3.414901E+08
2.252500E+04 4.216632E+03 1.689280E-14 3.104958E+08 3.356407E+08
2.257500E+04 4.216793E+03 1.660352E-14 3.053496E+08 3.298931E+08
2.262500E+04 4.215833E+03 1.631936E-14 3.001985E+08 3.242471E+08
2.267500E+04 4.213689E+03 1.603968E-14 2.950057E+08 3.186902E+08
2.272500E+04 4.211928E+03 1.576512E-14 2.899402E+08 3.132350E+08
2.277500E+04 4.208525E+03 1.549504E-14 2.848105E+08 3.078688E+08
2.282500E+04 4.205091E+03 1.523008E-14 2.797747E+08 3.026044E+08
2.287500E+04 4.206232E+03 1.496896E-14 2.752133E+08 2.974162E+08
2.292500E+04 4.205499E+03 1.471296E-14 2.705870E+08 2.923298E+08
2.297500E+04 4.202790E+03 1.446080E-14 2.658536E+08 2.873196E+08
2.302500E+04 4.202739E+03 1.421312E-14 2.614354E+08 2.823985E+08
2.307500E+04 4.199594E+03 1.396992E-14 2.568446E+08 2.775664E+08
2.312500E+04 4.198044E+03 1.373056E-14 2.524341E+08 2.728106E+08
