#NTIMES: 4
#NVEL: 20
#TIMES[d]: 100 200 300 400
#Vel_mid[km/s], Tgas_t1 [erg/s/cm3] Tgas_t2 ...
2.500000e+02 6.440000e+03 5.370000e+03 4.770000e+03 4.130000e+03
7.500000e+02 6.470000e+03 5.440000e+03 4.870000e+03 4.220000e+03
1.250000e+03 6.470000e+03 5.500000e+03 4.960000e+03 4.320000e+03
1.750000e+03 6.420000e+03 5.540000e+03 5.040000e+03 4.380000e+03
2.250000e+03 6.340000e+03 5.520000e+03 5.040000e+03 4.360000e+03
2.750000e+03 6.240000e+03 5.450000e+03 4.930000e+03 4.190000e+03
3.250000e+03 6.240000e+03 5.360000e+03 4.580000e+03 3.730000e+03
3.750000e+03 6.400000e+03 5.100000e+03 3.570000e+03 3.030000e+03
4.250000e+03 6.610000e+03 3.510000e+03 2.770000e+03 2.470000e+03
4.750000e+03 6.420000e+03 3.080000e+03 2.620000e+03 2.290000e+03
5.250000e+03 6.020000e+03 2.960000e+03 2.590000e+03 2.230000e+03
5.750000e+03 5.490000e+03 2.900000e+03 2.560000e+03 2.170000e+03
6.250000e+03 5.040000e+03 2.870000e+03 2.540000e+03 2.120000e+03
6.750000e+03 4.870000e+03 2.850000e+03 2.530000e+03 2.060000e+03
7.250000e+03 4.930000e+03 2.840000e+03 2.530000e+03 2.000000e+03
7.750000e+03 5.140000e+03 2.850000e+03 2.530000e+03 1.920000e+03
8.250000e+03 5.330000e+03 2.860000e+03 2.530000e+03 1.810000e+03
8.750000e+03 5.430000e+03 2.880000e+03 2.540000e+03 1.610000e+03
9.250000e+03 5.420000e+03 2.900000e+03 2.550000e+03 1.140000e+03
9.750000e+03 5.230000e+03 2.920000e+03 2.560000e+03 6.170000e+02
