#Magnitudes for spectra_toy01_artisnebular calculated by wsynphot
#with vega calibration file: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/calspec/alpha_lyr_stis_003.fits 
#and with scipy 1D interpolation kind='cubic'.
#U,B,V,R,I are Generic Bessell filters and J, H, K are 2MASS filters, taken from http://svo2.cab.inta-csic.es/theory/fps/index.php 
#The spectra file used was last modified at: 2022-03-04 17:08:04 UTC
#and had md5 hash: d1a6a20208b528f8cfbc076dfd0d03da
#
#NTIMES: 50
#NBANDS: 8
#time[d] U B V R I J H K
1.991600e+02 -10.345087 -12.250888 -12.414933 -12.201628 -12.704485 -11.559753 -11.855587 -11.844337
2.020300e+02 -10.271550 -12.200853 -12.369238 -12.145738 -12.651528 -11.547560 -11.832991 -11.790976
2.049300e+02 -10.196014 -12.154559 -12.317864 -12.085041 -12.596626 -11.519284 -11.790794 -11.775575
2.078700e+02 -10.118915 -12.105681 -12.274348 -12.030654 -12.543774 -11.517660 -11.776694 -11.727398
2.108600e+02 -10.058589 -12.057223 -12.226930 -11.968398 -12.485689 -11.497557 -11.760928 -11.691777
2.138900e+02 -9.966431 -12.005063 -12.178381 -11.911602 -12.430655 -11.486256 -11.752062 -11.672900
2.169700e+02 -9.900742 -11.948740 -12.130657 -11.855743 -12.376307 -11.469705 -11.728227 -11.592986
2.200900e+02 -9.825886 -11.897505 -12.078622 -11.796081 -12.320950 -11.451971 -11.706452 -11.569681
2.232500e+02 -9.757694 -11.844188 -12.027190 -11.735603 -12.265437 -11.432867 -11.698009 -11.534855
2.264600e+02 -9.682160 -11.790354 -11.979117 -11.677645 -12.208101 -11.418935 -11.670430 -11.458325
2.297100e+02 -9.591322 -11.737808 -11.928165 -11.617820 -12.150197 -11.396532 -11.674840 -11.440407
2.330100e+02 -9.525347 -11.683332 -11.877327 -11.556958 -12.095561 -11.378877 -11.653439 -11.406754
2.363600e+02 -9.441588 -11.630886 -11.825097 -11.492927 -12.038487 -11.354797 -11.637453 -11.347930
2.397600e+02 -9.389251 -11.575610 -11.771327 -11.431559 -11.980274 -11.348272 -11.620086 -11.333043
2.432100e+02 -9.338826 -11.518653 -11.719542 -11.368693 -11.923897 -11.333355 -11.606622 -11.269826
2.467000e+02 -9.274209 -11.461989 -11.669570 -11.305048 -11.863057 -11.299836 -11.595495 -11.244639
2.502500e+02 -9.193264 -11.406716 -11.613293 -11.245210 -11.809395 -11.278165 -11.589595 -11.194881
2.538500e+02 -9.127591 -11.347517 -11.560595 -11.183324 -11.745220 -11.262711 -11.579220 -11.158930
2.575000e+02 -9.046316 -11.290879 -11.498799 -11.120556 -11.691304 -11.249947 -11.556327 -11.080936
2.612000e+02 -8.954104 -11.229018 -11.445915 -11.064480 -11.640438 -11.239716 -11.561379 -11.064787
2.649500e+02 -8.900252 -11.170181 -11.387692 -11.000277 -11.586216 -11.217039 -11.566029 -11.042580
2.687600e+02 -8.848204 -11.112187 -11.331010 -10.941117 -11.532606 -11.205638 -11.531277 -10.991032
2.726200e+02 -8.781507 -11.047011 -11.267380 -10.873365 -11.469711 -11.184397 -11.534755 -10.918417
2.765400e+02 -8.687260 -10.985372 -11.211776 -10.812406 -11.419810 -11.177755 -11.530865 -10.892043
2.805100e+02 -8.596696 -10.924049 -11.154813 -10.750058 -11.369603 -11.145077 -11.523246 -10.840267
2.845500e+02 -8.553098 -10.864409 -11.091594 -10.683149 -11.309191 -11.138051 -11.521407 -10.812397
2.886400e+02 -8.480114 -10.796220 -11.029637 -10.615738 -11.250428 -11.111102 -11.516464 -10.733692
2.927900e+02 -8.405937 -10.731227 -10.970152 -10.553834 -11.195788 -11.100709 -11.498295 -10.637953
2.969900e+02 -8.312272 -10.662863 -10.901577 -10.489675 -11.138125 -11.090979 -11.504506 -10.647861
3.012600e+02 -8.233847 -10.594180 -10.837897 -10.426959 -11.086443 -11.075098 -11.484168 -10.604259
3.055900e+02 -8.162637 -10.528303 -10.771382 -10.360451 -11.025431 -11.070680 -11.477792 -10.535566
3.099900e+02 -8.084605 -10.459439 -10.706537 -10.294565 -10.972911 -11.054000 -11.481917 -10.483438
3.144400e+02 -8.030915 -10.392595 -10.642821 -10.229835 -10.914655 -11.034995 -11.476712 -10.456031
3.189600e+02 -7.949262 -10.315721 -10.573958 -10.160887 -10.857542 -11.022397 -11.456064 -10.371348
3.235500e+02 -7.863714 -10.239542 -10.504839 -10.088810 -10.796532 -10.999539 -11.473049 -10.340924
3.281900e+02 -7.760424 -10.166560 -10.429640 -10.025513 -10.744767 -10.985831 -11.455934 -10.260691
3.329100e+02 -7.702823 -10.085966 -10.359116 -9.956427 -10.687807 -10.967838 -11.463446 -10.226362
3.377000e+02 -7.633275 -10.012812 -10.289171 -9.889933 -10.631311 -10.951133 -11.446056 -10.187232
3.425500e+02 -7.560354 -9.932041 -10.217331 -9.821953 -10.578102 -10.935200 -11.452052 -10.113645
3.474800e+02 -7.476744 -9.849423 -10.139904 -9.755139 -10.518554 -10.917592 -11.449800 -10.042506
3.524700e+02 -7.400857 -9.766145 -10.061080 -9.681353 -10.456126 -10.922263 -11.453489 -10.001267
3.575400e+02 -7.323739 -9.686290 -9.986949 -9.614585 -10.397593 -10.905330 -11.439905 -9.946787
3.626800e+02 -7.283571 -9.592539 -9.906879 -9.543808 -10.337199 -10.881147 -11.443006 -9.854135
3.678900e+02 -7.176334 -9.503647 -9.825897 -9.470703 -10.273868 -10.864958 -11.430914 -9.794966
3.731800e+02 -7.082752 -9.408277 -9.731628 -9.398264 -10.218599 -10.858454 -11.416522 -9.755055
3.785400e+02 -6.964900 -9.316208 -9.657320 -9.329706 -10.158818 -10.842445 -11.427970 -9.589636
3.839800e+02 -6.913939 -9.221484 -9.571441 -9.255764 -10.082548 -10.814164 -11.420392 -9.556507
3.895000e+02 -6.791049 -9.119440 -9.478229 -9.176092 -10.023022 -10.811803 -11.401784 -9.501367
3.951000e+02 -6.728394 -9.027683 -9.396395 -9.110912 -9.966877 -10.786897 -11.412071 -9.436292
4.007800e+02 -6.677631 -8.917848 -9.308116 -9.017673 -9.897550 -10.777861 -11.384250 -9.304748
