#Magnitudes for spectra_toy01_supernu calculated by wsynphot
#with vega calibration file: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/calspec/alpha_lyr_stis_003.fits 
#and with scipy 1D interpolation kind='cubic'.
#U,B,V,R,I are Generic Bessell filters and J, H, K are 2MASS filters, taken from http://svo2.cab.inta-csic.es/theory/fps/index.php 
#
#NTIMES: 191
#NBANDS: 8
#time[d] U B V R I J H K
2.018616e+00 -12.748223 -13.507941 -14.358537 -14.839139 -15.019050 -15.870700 -16.148685 -16.304785
2.056193e+00 -12.343736 -13.289534 -14.187331 -14.675226 -14.860348 -15.739221 -16.043227 -16.177547
2.094470e+00 -11.861298 -12.944720 -13.886948 -14.398090 -14.606106 -15.537914 -15.873713 -16.037627
2.133460e+00 -11.399322 -12.432858 -13.409124 -13.978018 -14.316584 -15.199714 -15.529417 -15.706068
2.173176e+00 -10.912406 -11.753257 -12.549355 -13.274211 -13.993671 -14.710356 -14.992234 -15.247760
2.213630e+00 -10.300081 -11.048342 -11.680311 -12.596674 -13.696759 -14.374266 -14.575753 -14.811692
2.254838e+00 -9.785274 -10.645411 -11.250620 -12.279596 -13.463828 -14.245197 -14.433324 -14.720854
2.296813e+00 -9.137303 -10.070707 -10.759564 -11.948565 -13.220274 -14.128145 -14.323243 -14.624668
2.339570e+00 -8.308041 -9.549900 -10.218830 -11.589296 -12.988573 -13.987867 -14.175444 -14.529268
2.383122e+00 -7.662496 -8.862490 -9.672707 -11.245316 -12.741511 -13.838451 -13.997689 -14.470757
2.427485e+00 -6.930365 -8.256561 -9.105134 -10.877469 -12.513250 -13.679742 -13.803940 -14.289742
2.472674e+00 -6.468163 -7.639181 -8.486394 -10.571804 -12.258603 -13.459071 -13.584441 -14.151414
2.518704e+00 -5.311462 -6.881236 -7.902354 -10.311710 -12.068690 -13.216828 -13.413822 -14.069135
2.565592e+00 -2.817246 -6.002411 -7.626526 -10.102619 -11.860983 -13.012840 -13.219932 -14.007331
2.613351e+00 -1.128074 -5.599551 -7.348189 -9.931657 -11.650172 -12.805327 -13.087338 -14.015825
2.662000e+00 1.733874 -4.863436 -6.781569 -9.639113 -11.421158 -12.614919 -13.016628 -13.900491
2.711555e+00 2.754173 -4.748219 -6.746819 -9.442572 -11.237501 -12.448237 -12.924132 -13.879486
2.762032e+00 2.468489 -4.575750 -6.319363 -9.251286 -11.046607 -12.275030 -12.788987 -13.803761
2.813449e+00 3.358573 -3.940557 -6.085595 -9.021324 -10.850354 -12.090308 -12.699887 -13.739511
2.865823e+00 3.651444 -3.751316 -5.902585 -8.772469 -10.657369 -11.943686 -12.509221 -13.665048
2.919172e+00 1.474301 -3.871910 -5.461058 -8.532567 -10.465637 -11.746019 -12.409516 -13.557287
2.973513e+00 5.362731 -2.825953 -4.969306 -8.288032 -10.256646 -11.601211 -12.241374 -13.424189
3.028867e+00 5.063281 -2.523430 -5.040082 -8.055770 -10.043566 -11.418397 -12.042168 -13.242691
3.085251e+00 3.692103 -2.220418 -4.610441 -7.878656 -9.901057 -11.224016 -11.951033 -13.097668
3.142685e+00 1.181004 -2.314878 -4.611017 -7.696787 -9.728720 -11.123392 -11.764711 -12.965628
3.201188e+00 3.513731 -2.088120 -4.348136 -7.526439 -9.569942 -10.922766 -11.605253 -12.740919
3.260779e+00 4.252269 -2.158860 -4.400154 -7.490678 -9.516442 -10.815275 -11.524372 -12.580510
3.321481e+00 2.754041 -2.763834 -4.665635 -7.419414 -9.433938 -10.799507 -11.404736 -12.474897
3.383312e+00 1.676558 -3.049875 -4.828836 -7.215595 -9.322809 -10.720753 -11.400389 -12.374193
3.446294e+00 0.907047 -2.545866 -5.030248 -7.717667 -9.666485 -10.691762 -11.540607 -12.355912
