#Magnitudes for spectra_toy01_urilight calculated by wsynphot
#with vega calibration file: https://archive.stsci.edu/hlsps/reference-atlases/cdbs/calspec/alpha_lyr_stis_003.fits 
#and with scipy 1D interpolation kind='cubic'.
#U,B,V,R,I are Generic Bessell filters and J, H, K are 2MASS filters, taken from http://svo2.cab.inta-csic.es/theory/fps/index.php 
#
#NTIMES: 108
#NBANDS: 8
#time[d] U B V R I J H K
2.037028e+00 -8.561235 -7.584391 -6.828017 -7.914726 -9.591037 -10.888377 -11.156921 -11.816777
2.112455e+00 -7.556333 -7.739366 -8.730273 -9.261996 -10.064236 -11.444992 -12.277411 -11.976065
2.190675e+00 -8.368412 -7.078829 -8.905092 -9.219497 -9.622765 -11.749284 -12.449649 -13.067992
2.271792e+00 -7.285740 -7.545707 -8.897718 -9.184174 -10.272862 -11.540215 -12.046234 -11.705758
2.355913e+00 -8.160810 -8.385851 -8.995367 -9.271811 -10.433112 -11.669254 -12.622563 -12.767201
2.443148e+00 inf -6.280200 -9.036351 -9.335720 -10.253011 -11.482071 -11.711984 -12.347226
2.533613e+00 -7.925526 -7.481362 -7.329203 -9.290937 -10.690018 -11.457823 -12.472765 -13.551971
2.627428e+00 -6.718315 -7.350849 -8.493814 -9.873146 -10.685151 -12.091796 -12.626077 -11.243462
2.724717e+00 -8.921112 -7.395782 -9.068101 -9.692599 -10.452053 -11.667516 -13.169444 -13.135654
2.825608e+00 -8.689996 -8.285794 -8.744728 -10.048703 -10.993417 -12.183624 -12.546018 -12.979219
2.930235e+00 -6.296259 -7.979544 -8.485784 -10.043977 -10.971869 -12.496695 -12.540450 -13.298387
3.038736e+00 -8.053346 -9.078942 -8.994787 -9.971599 -11.354285 -12.429768 -12.653463 -13.368674
3.151255e+00 -7.541782 -8.855154 -9.609319 -10.401312 -11.418059 -12.890450 -13.127098 -13.845972
3.267940e+00 -8.530714 -8.967250 -9.779649 -10.794183 -11.869875 -13.022515 -13.662136 -13.538896
3.388946e+00 -8.638229 -9.210439 -9.013946 -10.978942 -12.013033 -13.324949 -13.748764 -13.885416
3.514432e+00 -8.395374 -9.349110 -10.092655 -11.292695 -12.330762 -13.361462 -13.835153 -14.002255
3.644565e+00 -8.017787 -9.841295 -10.191898 -11.569668 -12.594575 -13.703131 -14.097952 -14.475041
3.779516e+00 -9.600848 -10.277687 -10.820150 -12.082094 -12.913753 -13.885493 -14.408003 -14.811199
3.919465e+00 -9.770369 -10.768469 -10.954821 -12.185929 -13.178477 -14.204459 -14.509719 -14.754651
4.064595e+00 -10.081828 -11.216970 -11.420860 -12.531335 -13.395006 -14.303701 -14.700436 -15.000002
