#NTIMES: 4
#NVEL: 591
#TIMES[d]: 5.0 10.0 15.0 20.0
#vel_mid[km/s] ne_t0[/cm^3] ne_t1[/cm^3] … ne_tn[/cm^3]
5.525000E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.767526E+09
5.574915E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.722266E+09
5.624831E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.677280E+09
5.674746E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.633004E+09
5.724661E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.589801E+09
5.774576E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.547649E+09
5.824492E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.506561E+09
5.874407E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.466729E+09
5.924322E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.428182E+09
5.974237E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.390955E+09
6.024153E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.354674E+09
6.074068E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.319263E+09
6.123983E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.284825E+09
6.173898E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.252293E+09
6.223814E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.220719E+09
6.273729E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.189479E+09
6.323644E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.159456E+09
6.373559E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.128421E+09
6.423475E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.098746E+09
6.473390E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.068801E+09
6.523305E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.040239E+09
6.573220E+03 1.000000E-99 1.000000E-99 1.000000E-99 2.010842E+09
6.623136E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.981416E+09
6.673051E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.952891E+09
6.722966E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.925350E+09
6.772881E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.898249E+09
6.822797E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.873474E+09
6.872712E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.850170E+09
6.922627E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.826562E+09
6.972542E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.804428E+09
7.022458E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.783902E+09
7.072373E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.764209E+09
7.122288E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.744237E+09
7.172203E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.724445E+09
7.222119E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.705877E+09
7.272034E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.689145E+09
7.321949E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.671792E+09
7.371864E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.655574E+09
7.421780E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.638792E+09
7.471695E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.623015E+09
7.521610E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.608260E+09
7.571525E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.594009E+09
7.621441E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.580680E+09
7.671356E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.566857E+09
7.721271E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.552976E+09
7.771186E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.540080E+09
7.821102E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.527017E+09
7.871017E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.514217E+09
7.920932E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.500952E+09
7.970847E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.488127E+09
8.020763E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.474903E+09
8.070678E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.461975E+09
8.120593E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.448177E+09
8.170508E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.434564E+09
8.220424E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.420204E+09
8.270339E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.405951E+09
8.320254E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.392277E+09
8.370169E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.377756E+09
8.420085E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.363405E+09
8.470000E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.349683E+09
8.519915E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.335806E+09
8.569831E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.321646E+09
8.619746E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.307232E+09
8.669661E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.293822E+09
8.719576E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.280733E+09
8.769492E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.267537E+09
8.819407E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.254492E+09
8.869322E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.241595E+09
8.919237E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.228998E+09
8.969153E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.216553E+09
9.019068E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.204240E+09
9.068983E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.192082E+09
9.118898E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.179741E+09
9.168814E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.167584E+09
9.218729E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.155642E+09
9.268644E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.143715E+09
9.318559E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.131719E+09
9.368475E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.119765E+09
9.418390E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.107582E+09
9.468305E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.095511E+09
9.518220E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.083244E+09
9.568136E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.070757E+09
9.618051E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.058216E+09
9.667966E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.045271E+09
9.717881E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.032374E+09
9.767797E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.019174E+09
9.817712E+03 1.000000E-99 1.000000E-99 1.000000E-99 1.005497E+09
9.867627E+03 1.000000E-99 1.000000E-99 1.000000E-99 9.915807E+08
9.917542E+03 1.000000E-99 1.000000E-99 1.000000E-99 9.773065E+08
9.967458E+03 1.000000E-99 1.000000E-99 1.000000E-99 9.623575E+08
1.001737E+04 1.000000E-99 1.000000E-99 1.000000E-99 9.465931E+08
1.006729E+04 1.000000E-99 1.000000E-99 1.607584E+09 9.307449E+08
1.011720E+04 1.000000E-99 1.000000E-99 1.585532E+09 9.139294E+08
1.016712E+04 1.000000E-99 1.000000E-99 1.563037E+09 8.958777E+08
1.021703E+04 1.000000E-99 1.000000E-99 1.541512E+09 8.774275E+08
