#NTIMES: 257
#NSTAGES: 6
#TIMES[d]: 2.200 2.420 2.662 2.928 3.221 3.543 3.897 4.287 4.716 5.187 5.706 6.277 6.905 7.595 8.354 9.190 10.109 11.109 12.109 13.109 14.109 15.109 16.109 17.109 18.109 19.109 20.109 21.109 22.109 23.109 24.109 25.109 26.109 27.109 28.109 29.109 30.109 31.109 32.109 33.109 34.109 35.109 36.109 37.109 38.109 39.109 40.109 41.109 42.109 43.109 44.109 45.109 46.109 47.109 48.109 49.109 50.109 51.109 52.109 53.109 54.109 55.109 56.109 57.109 58.109 59.109 60.109 61.109 62.109 63.109 64.109 65.109 66.109 67.109 68.109 69.109 70.109 71.109 72.109 73.109 74.109 75.109 76.109 77.109 78.109 79.109 80.109 81.109 82.109 83.109 84.109 85.109 86.109 87.109 88.109 89.109 90.109 91.109 92.109 93.109 94.109 95.109 96.109 97.109 98.109 99.109 100.109 101.109 102.109 103.109 104.109 105.109 106.109 107.109 108.109 109.109 110.109 111.109 112.109 113.109 114.109 115.109 116.109 117.109 118.109 119.109 120.109 121.109 122.109 123.109 124.109 125.109 126.109 127.109 128.109 129.109 130.109 131.109 132.109 133.109 134.109 135.109 136.109 137.109 138.109 139.109 140.109 141.109 142.109 143.109 144.109 145.109 146.109 147.109 148.109 149.109 150.109 151.109 152.109 153.109 154.109 155.109 156.109 157.109 158.109 159.109 160.109 161.109 162.109 163.109 164.109 165.109 166.109 167.109 168.109 169.109 170.109 171.109 172.109 173.109 174.109 175.109 176.109 177.109 178.109 179.109 180.109 181.109 182.109 183.109 184.109 185.109 186.109 187.109 188.109 189.109 190.109 191.109 192.109 193.109 194.109 195.109 196.109 197.109 198.109 199.109 200.109 201.109 202.109 203.109 204.109 205.109 206.109 207.109 208.109 209.109 210.109 211.109 212.109 213.109 214.109 215.109 216.109 217.109 218.109 219.109 220.109 221.109 222.109 223.109 224.109 225.109 226.109 227.109 228.109 229.109 230.109 231.109 232.109 233.109 234.109 235.109 236.109 237.109 238.109 239.109 240.109 241.109 242.109 243.109 244.109 245.109 246.109 247.109 248.109 249.109 250.109 
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] Co0 Co1 Co2 Co3 Co4 Co5
2.500e+07 4.107182e-39 1.025663e-29 8.052024e-21 1.412821e-12 4.270824e-05 9.999573e-01
7.500e+07 4.991218e-39 1.303444e-29 1.030332e-20 1.741247e-12 4.828833e-05 9.999517e-01
1.250e+08 6.383820e-39 1.749999e-29 1.390298e-20 2.245114e-12 5.621486e-05 9.999438e-01
1.750e+08 8.503239e-39 2.444189e-29 1.945047e-20 2.984909e-12 6.682393e-05 9.999332e-01
2.250e+08 1.179017e-38 3.546234e-29 2.816338e-20 4.086526e-12 8.104401e-05 9.999190e-01
2.750e+08 1.696129e-38 5.327947e-29 4.209392e-20 5.751092e-12 1.001696e-04 9.998998e-01
3.250e+08 2.542169e-38 8.319819e-29 6.515390e-20 8.342401e-12 1.263401e-04 9.998737e-01
3.750e+08 3.974342e-38 1.351813e-28 1.045585e-19 1.248799e-11 1.626728e-04 9.998373e-01
4.250e+08 6.490481e-38 2.288722e-28 1.742323e-19 1.931852e-11 2.139318e-04 9.997861e-01
4.750e+08 1.109109e-37 4.044226e-28 3.019566e-19 3.092798e-11 2.874847e-04 9.997125e-01
5.250e+08 1.988286e-37 7.477159e-28 5.456204e-19 5.135061e-11 3.950988e-04 9.996049e-01
5.750e+08 3.744515e-37 1.448385e-27 1.029423e-18 8.852626e-11 5.554859e-04 9.994445e-01
6.250e+08 7.431824e-37 2.948530e-27 2.034024e-18 1.588411e-10 7.997539e-04 9.992002e-01
6.750e+08 1.654222e-36 6.664489e-27 4.408217e-18 3.071946e-10 1.202194e-03 9.987978e-01
7.250e+08 6.841100e-36 2.614315e-26 1.525916e-17 8.528489e-10 2.217622e-03 9.977824e-01
7.750e+08 6.748964e-35 2.237946e-25 1.032638e-16 3.991045e-09 5.498461e-03 9.945015e-01
8.250e+08 1.631950e-33 4.341661e-24 1.433393e-15 3.292438e-08 1.875999e-02 9.812400e-01
8.750e+08 1.011950e-31 2.015847e-22 4.340287e-14 5.008570e-07 8.856852e-02 9.114310e-01
9.250e+08 1.329002e-29 1.873454e-20 2.410790e-12 1.143202e-05 4.426303e-01 5.573583e-01
9.750e+08 1.989869e-27 1.834791e-18 1.240234e-10 1.786248e-04 9.266484e-01 7.317293e-02
1.025e+09 6.525505e-25 3.589739e-16 1.052522e-08 2.920584e-03 9.952439e-01 1.835547e-03
1.075e+09 1.994575e-21 5.688353e-13 5.066594e-06 1.254410e-01 8.745467e-01 7.252567e-06
1.125e+09 8.125233e-18 1.090485e-09 1.646922e-03 9.801342e-01 1.821891e-02 3.256862e-11
1.175e+09 4.187445e-13 1.539982e-05 6.903948e-01 3.095897e-01 8.265600e-08 1.052599e-23
