#NTIMES: 257
#NSTAGES: 6
#TIMES[d]: 2.200 2.420 2.662 2.928 3.221 3.543 3.897 4.287 4.716 5.187 5.706 6.277 6.905 7.595 8.354 9.190 10.109 11.109 12.109 13.109 14.109 15.109 16.109 17.109 18.109 19.109 20.109 21.109 22.109 23.109 24.109 25.109 26.109 27.109 28.109 29.109 30.109 31.109 32.109 33.109 34.109 35.109 36.109 37.109 38.109 39.109 40.109 41.109 42.109 43.109 44.109 45.109 46.109 47.109 48.109 49.109 50.109 51.109 52.109 53.109 54.109 55.109 56.109 57.109 58.109 59.109 60.109 61.109 62.109 63.109 64.109 65.109 66.109 67.109 68.109 69.109 70.109 71.109 72.109 73.109 74.109 75.109 76.109 77.109 78.109 79.109 80.109 81.109 82.109 83.109 84.109 85.109 86.109 87.109 88.109 89.109 90.109 91.109 92.109 93.109 94.109 95.109 96.109 97.109 98.109 99.109 100.109 101.109 102.109 103.109 104.109 105.109 106.109 107.109 108.109 109.109 110.109 111.109 112.109 113.109 114.109 115.109 116.109 117.109 118.109 119.109 120.109 121.109 122.109 123.109 124.109 125.109 126.109 127.109 128.109 129.109 130.109 131.109 132.109 133.109 134.109 135.109 136.109 137.109 138.109 139.109 140.109 141.109 142.109 143.109 144.109 145.109 146.109 147.109 148.109 149.109 150.109 151.109 152.109 153.109 154.109 155.109 156.109 157.109 158.109 159.109 160.109 161.109 162.109 163.109 164.109 165.109 166.109 167.109 168.109 169.109 170.109 171.109 172.109 173.109 174.109 175.109 176.109 177.109 178.109 179.109 180.109 181.109 182.109 183.109 184.109 185.109 186.109 187.109 188.109 189.109 190.109 191.109 192.109 193.109 194.109 195.109 196.109 197.109 198.109 199.109 200.109 201.109 202.109 203.109 204.109 205.109 206.109 207.109 208.109 209.109 210.109 211.109 212.109 213.109 214.109 215.109 216.109 217.109 218.109 219.109 220.109 221.109 222.109 223.109 224.109 225.109 226.109 227.109 228.109 229.109 230.109 231.109 232.109 233.109 234.109 235.109 236.109 237.109 238.109 239.109 240.109 241.109 242.109 243.109 244.109 245.109 246.109 247.109 248.109 249.109 250.109 
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] Fe0 Fe1 Fe2 Fe3 Fe4 Fe5
2.500e+07 2.382378e-39 6.871032e-30 5.750797e-21 1.012263e-12 2.746485e-05 9.999725e-01
7.500e+07 2.836506e-39 8.596048e-30 7.264869e-21 1.232747e-12 3.080591e-05 9.999692e-01
1.250e+08 3.542451e-39 1.133193e-29 9.657037e-21 1.567592e-12 3.554068e-05 9.999645e-01
1.750e+08 4.599810e-39 1.552043e-29 1.329443e-20 2.053608e-12 4.185305e-05 9.999581e-01
2.250e+08 6.208857e-39 2.205818e-29 1.892389e-20 2.768242e-12 5.026766e-05 9.999497e-01
2.750e+08 8.684667e-39 3.243181e-29 2.778074e-20 3.833188e-12 6.150568e-05 9.999385e-01
3.250e+08 1.263967e-38 4.950876e-29 4.219332e-20 5.466685e-12 7.675752e-05 9.999232e-01
3.750e+08 1.916269e-38 7.855546e-29 6.637436e-20 8.038714e-12 9.773334e-05 9.999023e-01
4.250e+08 3.030618e-38 1.297357e-28 1.083023e-19 1.220487e-11 1.270156e-04 9.998730e-01
4.750e+08 5.008177e-38 2.233607e-28 1.835794e-19 1.915788e-11 1.685469e-04 9.998315e-01
5.250e+08 8.669385e-38 4.018625e-28 3.240410e-19 3.115314e-11 2.285433e-04 9.997715e-01
5.750e+08 1.574170e-37 7.565612e-28 5.964360e-19 5.253863e-11 3.167400e-04 9.996833e-01
6.250e+08 3.007488e-37 1.494851e-27 1.148068e-18 9.210035e-11 4.490935e-04 9.995509e-01
6.750e+08 6.426314e-37 3.271928e-27 2.418375e-18 1.736643e-10 6.638636e-04 9.993361e-01
7.250e+08 2.519764e-36 1.230599e-26 8.061516e-18 4.662097e-10 1.197646e-03 9.988024e-01
7.750e+08 2.314733e-35 9.954565e-26 5.181689e-17 2.084129e-09 2.881444e-03 9.971186e-01
8.250e+08 5.122216e-34 1.800014e-24 6.739807e-16 1.624031e-08 9.483609e-03 9.905164e-01
8.750e+08 2.917568e-32 7.847153e-23 1.925501e-14 2.358379e-07 4.394878e-02 9.560510e-01
9.250e+08 4.144584e-30 8.088357e-21 1.190761e-12 6.102936e-06 2.582362e-01 7.417577e-01
9.750e+08 8.606753e-28 1.128156e-18 8.754204e-11 1.403550e-04 8.333267e-01 1.665329e-01
