#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 81 
#vel_mid[km/s] ca0 ca1 ca2 ca3 ca4 
250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6750.00 1.28e-25 5.94e-17 1.31e-08 6.44e-03 9.94e-01 
7250.00 6.87e-25 2.90e-16 5.88e-08 1.44e-02 9.86e-01 
7750.00 6.75e-24 2.57e-15 4.63e-07 4.44e-02 9.56e-01 
8250.00 1.14e-22 3.91e-14 6.00e-06 1.76e-01 8.24e-01 
8750.00 1.84e-21 5.96e-13 7.93e-05 5.81e-01 4.19e-01 
9250.00 1.82e-20 5.66e-12 6.33e-04 9.16e-01 8.34e-02 
9750.00 2.16e-19 5.96e-11 4.93e-03 9.86e-01 9.19e-03 
10250.00 4.36e-18 1.06e-09 5.88e-02 9.41e-01 4.43e-04 
10750.00 6.85e-17 1.57e-08 5.54e-01 4.46e-01 8.02e-06 
11250.00 1.93e-16 4.52e-08 9.77e-01 2.30e-02 1.58e-09 
11750.00 3.44e-16 8.70e-08 1.00e+00 3.28e-04 5.88e-14 
12250.00 6.56e-16 1.77e-07 1.00e+00 2.12e-06 1.01e-18 
12750.00 1.12e-15 3.14e-07 1.00e+00 4.54e-08 7.31e-23 
13250.00 2.09e-15 5.56e-07 1.00e+00 2.14e-09 5.77e-26 
13750.00 3.99e-15 9.95e-07 1.00e+00 1.13e-10 5.97e-29 
14250.00 7.89e-15 1.81e-06 1.00e+00 6.08e-12 6.34e-32 
14750.00 1.60e-14 3.31e-06 1.00e+00 3.65e-13 8.70e-35 
15250.00 3.19e-14 5.88e-06 1.00e+00 2.27e-14 1.19e-37 
15750.00 6.66e-14 1.08e-05 1.00e+00 1.34e-15 2.30e-39 
