#NTIMES:     39
#NSTAGES:     5
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           ca1           ca2           ca3           ca4           ca5
    1.025000E+03    1.0000E-99    4.7003E-22    2.2318E-15    2.1749E-07    1.0000E+00
    1.037120E+03    1.0000E-99    4.6590E-22    2.2153E-15    2.1669E-07    1.0000E+00
    1.061360E+03    1.0000E-99    4.6295E-22    2.2022E-15    2.1597E-07    1.0000E+00
    1.109839E+03    1.0000E-99    4.6784E-22    2.2168E-15    2.1670E-07    1.0000E+00
    1.213017E+03    1.0000E-99    4.9099E-22    2.2961E-15    2.2083E-07    1.0000E+00
    1.325723E+03    1.0000E-99    5.2043E-22    2.3976E-15    2.2603E-07    1.0000E+00
    1.448902E+03    1.0000E-99    5.5593E-22    2.5192E-15    2.3215E-07    1.0000E+00
    1.583526E+03    1.0000E-99    5.9869E-22    2.6642E-15    2.3932E-07    1.0000E+00
    1.730658E+03    1.0000E-99    6.5071E-22    2.8387E-15    2.4778E-07    1.0000E+00
    1.891461E+03    1.0000E-99    7.1342E-22    3.0468E-15    2.5766E-07    1.0000E+00
    2.067205E+03    1.0000E-99    7.9126E-22    3.3018E-15    2.6946E-07    1.0000E+00
    2.259278E+03    1.0000E-99    8.8780E-22    3.6140E-15    2.8350E-07    1.0000E+00
    2.469197E+03    1.0000E-99    1.0122E-21    4.0101E-15    3.0072E-07    1.0000E+00
    2.698621E+03    1.0000E-99    1.1727E-21    4.5135E-15    3.2180E-07    1.0000E+00
    2.949361E+03    1.0000E-99    1.3840E-21    5.1657E-15    3.4793E-07    1.0000E+00
    3.223399E+03    1.0000E-99    1.6703E-21    6.0341E-15    3.8100E-07    1.0000E+00
    3.522899E+03    1.0000E-99    2.0675E-21    7.2179E-15    4.2349E-07    1.0000E+00
    3.850227E+03    1.0000E-99    2.6358E-21    8.8817E-15    4.7924E-07    1.0000E+00
    4.207968E+03    1.0000E-99    3.4779E-21    1.1305E-14    5.5414E-07    1.0000E+00
    4.598949E+03    1.0000E-99    4.7777E-21    1.4984E-14    6.5754E-07    1.0000E+00
    5.026257E+03    1.0000E-99    6.8797E-21    2.0849E-14    8.0487E-07    1.0000E+00
