#NTIMES: 257
#NSTAGES: 6
#TIMES[d]: 2.2 2.42 2.662 2.9282 3.22102 3.543122 3.897434 4.287178 4.715896 5.187485 5.706233 6.276857 6.904542 7.594996 8.354497 9.189946 10.10894 11.10894 12.10894 13.108941 14.108941 15.108941 16.108941 17.108941 18.108941 19.108941 20.108941 21.108941 22.108941 23.108941 24.108941 25.108941 26.108941 27.108941 28.108941 29.108941 30.108941 31.108941 32.108941 33.108941 34.108941 35.108941 36.108941 37.108941 38.108941 39.108941 40.108941 41.108941 42.108941 43.108941 44.108941 45.108941 46.108941 47.108941 48.108941 49.108941 50.108941 51.108941 52.108941 53.108941 54.108941 55.108941 56.108941 57.108941 58.108941 59.108941 60.108941 61.108941 62.108941 63.108941 64.108941 65.108941 66.108941 67.108941 68.108941 69.108941 70.108941 71.108941 72.108941 73.108941 74.108941 75.108941 76.108941 77.108941 78.108941 79.108941 80.108941 81.108941 82.108941 83.108941 84.108941 85.108941 86.108941 87.108941 88.108941 89.108941 90.108941 91.108941 92.108941 93.108941 94.108941 95.108941 96.108941 97.108935 98.108935 99.108935 100.108935 101.108935 102.108935 103.108935 104.108935 105.108935 106.108935 107.108935 108.108935 109.108935 110.108935 111.108935 112.108935 113.108935 114.108935 115.108935 116.108935 117.108935 118.108935 119.108935 120.108935 121.108935 122.108935 123.108935 124.108935 125.108935 126.108935 127.108935 128.108935 129.108935 130.108935 131.108935 132.108935 133.108935 134.108935 135.108935 136.108935 137.108935 138.108935 139.108935 140.108935 141.108935 142.108935 143.108935 144.108935 145.108935 146.108935 147.108935 148.108935 149.108935 150.108935 151.108935 152.108935 153.108935 154.108935 155.108935 156.108935 157.108935 158.108935 159.108935 160.108935 161.108935 162.108935 163.108935 164.108935 165.108935 166.108935 167.108935 168.108935 169.108935 170.108935 171.108935 172.108935 173.108935 174.108935 175.108935 176.108935 177.108935 178.108935 179.108935 180.108935 181.108935 182.108935 183.108935 184.108935 185.108935 186.108935 187.108935 188.108935 189.108935 190.108935 191.108935 192.108935 193.108935 194.108935 195.108935 196.108935 197.108935 198.108935 199.108935 200.108935 201.108935 202.108935 203.108935 204.108935 205.108935 206.108935 207.108935 208.108935 209.108935 210.108935 211.108935 212.108935 213.108935 214.108935 215.108935 216.108935 217.108935 218.108935 219.108935 220.108935 221.108935 222.108935 223.108935 224.108935 225.108935 226.108935 227.108935 228.108935 229.108935 230.108935 231.108935 232.108935 233.108935 234.108935 235.108935 236.108935 237.108935 238.108935 239.108935 240.108935 241.108935 242.108935 243.108935 244.108935 245.108935 246.108935 247.108935 248.108935 249.108935 250.108935
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] Ca0 Ca1 Ca2 Ca3 Ca4 Ca5
2.500e+02 3.242754e-37 6.421750e-28 9.344168e-21 7.701136e-13 1.181847e-05 9.999882e-01
7.500e+02 4.408911e-37 9.179712e-28 1.261307e-20 9.613005e-13 1.325548e-05 9.999867e-01
1.250e+03 6.426529e-37 1.413088e-27 1.813180e-20 1.264736e-12 1.536922e-05 9.999846e-01
1.750e+03 9.843491e-37 2.283631e-27 2.718250e-20 1.729673e-12 1.829868e-05 9.999817e-01
2.250e+03 1.581262e-36 3.862632e-27 4.241657e-20 2.458595e-12 2.236298e-05 9.999776e-01
2.750e+03 2.653186e-36 6.810575e-27 6.873007e-20 3.629822e-12 2.802516e-05 9.999720e-01
3.250e+03 4.671081e-36 1.256856e-26 1.161410e-19 5.588259e-12 3.606176e-05 9.999639e-01
3.750e+03 8.640265e-36 2.430612e-26 2.051438e-19 8.991196e-12 4.766105e-05 9.999523e-01
4.250e+03 1.682059e-35 4.933821e-26 3.798813e-19 1.515222e-11 6.472173e-05 9.999353e-01
4.750e+03 3.452885e-35 1.053020e-25 7.399340e-19 2.679643e-11 9.032551e-05 9.999097e-01
5.250e+03 7.496763e-35 2.369953e-25 1.523108e-18 4.985084e-11 1.296417e-04 9.998704e-01
5.750e+03 1.724240e-34 5.632698e-25 3.325771e-18 9.765793e-11 1.913726e-04 9.998086e-01
6.250e+03 4.216602e-34 1.418704e-24 7.748344e-18 2.018969e-10 2.908044e-04 9.997092e-01
6.750e+03 1.174350e-33 4.026532e-24 2.034078e-17 4.579786e-10 4.645157e-04 9.995355e-01
7.250e+03 6.513926e-33 2.125412e-23 9.271968e-17 1.580433e-09 9.311138e-04 9.990689e-01
7.750e+03 9.575208e-32 2.715773e-22 9.520102e-16 1.004115e-08 2.597504e-03 9.974025e-01
8.250e+03 3.913243e-30 8.882776e-21 2.442871e-14 1.250941e-07 1.042627e-02 9.895736e-01
8.750e+03 4.838362e-28 8.129341e-19 1.793162e-12 3.296594e-06 6.179483e-02 9.382019e-01
9.250e+03 1.541007e-25 1.779237e-16 3.329809e-10 1.518556e-04 4.133973e-01 5.864509e-01
9.750e+03 5.442359e-23 3.856983e-14 6.344884e-08 4.359408e-03 9.370022e-01 5.863835e-02
1.025e+04 4.459172e-20 1.656991e-11 2.429038e-05 1.252865e-01 8.738870e-01 8.022822e-04
1.075e+04 4.004907e-17 5.985966e-09 7.517981e-03 9.432023e-01 4.927963e-02 1.078976e-07
1.125e+04 1.482617e-14 6.530339e-07 7.042675e-01 2.957236e-01 8.237336e-06 1.559401e-15
1.175e+04 2.869059e-13 2.188944e-06 9.999900e-01 7.768555e-06 1.219191e-16 3.802441e-34
1.225e+04 2.018074e-09 2.912144e-03 9.970879e-01 4.243475e-21 5.345906e-52 1.218624e-94
