#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 290
#vel_mid[km/s] Ca0 Ca1 Ca2 Ca3 Ca4 Ca5 Ca6 Ca7
2.052500E+04 4.020981E-14 2.114413E-05 9.999789E-01 5.692358E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.057500E+04 4.289230E-14 2.200808E-05 9.999780E-01 5.560586E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.062500E+04 4.489067E-14 2.270647E-05 9.999773E-01 5.169116E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.067500E+04 4.667901E-14 2.332033E-05 9.999767E-01 4.920056E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.072500E+04 4.772718E-14 2.371540E-05 9.999763E-01 4.730369E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.077500E+04 4.930301E-14 2.428087E-05 9.999757E-01 4.431370E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.082500E+04 5.052293E-14 2.473568E-05 9.999753E-01 4.203527E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.087500E+04 5.184454E-14 2.521435E-05 9.999748E-01 4.004005E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.092500E+04 5.280255E-14 2.559139E-05 9.999744E-01 3.823039E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.097500E+04 5.338021E-14 2.583615E-05 9.999742E-01 3.762079E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.102500E+04 5.491228E-14 2.641119E-05 9.999736E-01 3.446629E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.107500E+04 5.548728E-14 2.667097E-05 9.999733E-01 3.343492E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.112500E+04 5.607236E-14 2.692479E-05 9.999731E-01 3.274183E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.117500E+04 5.662264E-14 2.716385E-05 9.999728E-01 3.225441E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.122500E+04 5.752310E-14 2.753932E-05 9.999725E-01 3.052259E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.127500E+04 5.794762E-14 2.775363E-05 9.999722E-01 2.984785E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.132500E+04 5.841621E-14 2.797740E-05 9.999720E-01 2.927826E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.137500E+04 5.903909E-14 2.826479E-05 9.999717E-01 2.814294E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.142500E+04 5.955655E-14 2.853043E-05 9.999715E-01 2.691181E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.147500E+04 5.941245E-14 2.856389E-05 9.999714E-01 2.708718E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.152500E+04 5.976072E-14 2.876095E-05 9.999712E-01 2.650070E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.157500E+04 6.074028E-14 2.918565E-05 9.999708E-01 2.461671E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.162500E+04 6.137591E-14 2.948032E-05 9.999705E-01 2.369132E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.167500E+04 6.173381E-14 2.968888E-05 9.999703E-01 2.305549E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.172500E+04 6.189241E-14 2.983236E-05 9.999702E-01 2.267923E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.177500E+04 6.257679E-14 3.015970E-05 9.999698E-01 2.150796E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.182500E+04 6.313612E-14 3.045902E-05 9.999695E-01 2.031576E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.187500E+04 6.337819E-14 3.064214E-05 9.999694E-01 1.973173E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.192500E+04 6.268772E-14 3.050336E-05 9.999695E-01 2.035381E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.197500E+04 6.288855E-14 3.067528E-05 9.999693E-01 1.978041E-17 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
