#NTIMES:    57
#NSTAGES:     6
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570   60.030   66.000   72.560   80.000   88.000   97.000  107.000  117.000  127.000  137.000  147.000  157.000  167.000  177.000  187.000  197.000  207.000  217.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           co0           co1           co2           co3           co4           co5
    1.025000E+03   1.0000E-099   6.3037E-031   6.6767E-022   9.6168E-014   2.7399E-006   1.0000E+000
    1.037120E+03   1.0000E-099   6.2074E-031   6.6008E-022   9.5434E-014   2.7299E-006   1.0000E+000
    1.061360E+03   1.0000E-099   6.1363E-031   6.5603E-022   9.5254E-014   2.7290E-006   1.0000E+000
    1.109839E+03   1.0000E-099   6.2071E-031   6.6677E-022   9.6944E-014   2.7578E-006   1.0000E+000
    1.213017E+03   1.0000E-099   6.6199E-031   7.1330E-022   1.0305E-013   2.8552E-006   1.0000E+000
    1.325723E+03   1.0000E-099   7.1689E-031   7.7383E-022   1.1073E-013   2.9739E-006   1.0000E+000
    1.448902E+03   1.0000E-099   7.8522E-031   8.4875E-022   1.2007E-013   3.1138E-006   1.0000E+000
    1.583526E+03   1.0000E-099   8.7033E-031   9.4171E-022   1.3148E-013   3.2791E-006   1.0000E+000
    1.730658E+03   1.0000E-099   9.7772E-031   1.0586E-021   1.4559E-013   3.4757E-006   1.0000E+000
    1.891461E+03   1.0000E-099   1.1126E-030   1.2051E-021   1.6301E-013   3.7084E-006   1.0000E+000
    2.067205E+03   1.0000E-099   1.2880E-030   1.3949E-021   1.8511E-013   3.9899E-006   1.0000E+000
    2.259278E+03   1.0000E-099   1.5173E-030   1.6421E-021   2.1331E-013   4.3306E-006   1.0000E+000
    2.469197E+03   1.0000E-099   1.8310E-030   1.9777E-021   2.5062E-013   4.7549E-006   1.0000E+000
    2.698621E+03   1.0000E-099   2.2647E-030   2.4386E-021   3.0048E-013   5.2848E-006   9.9999E-001
    2.949361E+03   1.0000E-099   2.8824E-030   3.0898E-021   3.6875E-013   5.9570E-006   9.9999E-001
    3.223399E+03   1.0000E-099   3.7983E-030   4.0445E-021   4.6537E-013   6.8291E-006   9.9999E-001
    3.522899E+03   1.0000E-099   5.2083E-030   5.4951E-021   6.0637E-013   7.9821E-006   9.9999E-001
    3.850227E+03   1.0000E-099   7.4837E-030   7.7977E-021   8.2021E-013   9.5444E-006   9.9999E-001
    4.207968E+03   1.0000E-099   1.1361E-029   1.1642E-020   1.1590E-012   1.1721E-005   9.9999E-001
    4.598949E+03   1.0000E-099   1.8399E-029   1.8447E-020   1.7240E-012   1.4851E-005   9.9999E-001
    5.026257E+03   1.0000E-099   3.2154E-029   3.1346E-020   2.7234E-012   1.9520E-005   9.9998E-001
    5.493268E+03   1.0000E-099   6.1419E-029   5.7801E-020   4.6180E-012   2.6792E-005   9.9997E-001
    6.003672E+03   1.0000E-099   1.3042E-028   1.1749E-019   8.5005E-012   3.8662E-005   9.9996E-001
    6.563976E+03   1.0000E-099   3.1496E-028   2.7085E-019   1.7424E-011   5.9535E-005   9.9994E-001
    7.150150E+03   1.0000E-099   1.2013E-027   9.6197E-019   4.9406E-011   1.1062E-004   9.9989E-001
    7.624563E+03   1.0000E-099   6.5657E-027   4.4902E-018   1.7213E-010   2.2922E-004   9.9977E-001
    8.015598E+03   1.0000E-099   4.5505E-026   2.5240E-017   6.9022E-010   5.1281E-004   9.9949E-001
    8.365060E+03   1.0000E-099   4.3041E-025   1.8504E-016   3.3979E-009   1.2900E-003   9.9871E-001
    8.678533E+03   1.0000E-099   5.2224E-024   1.6861E-015   1.9795E-008   3.5741E-003   9.9643E-001
    8.970829E+03   1.0000E-099   8.3613E-023   1.9655E-014   1.3977E-007   1.1041E-002   9.8896E-001
