#NTIMES: 50
#NSTAGES: 5
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 81
#vel_mid[km/s] fe0 fe1 fe2 fe3 fe4
250.00 4.8789e-06 1.3226e-01 5.7132e-01 2.3843e-01 5.7991e-02
750.00 2.1802e-06 8.6252e-02 5.8481e-01 2.6278e-01 6.6158e-02
1250.00 5.2852e-07 3.8031e-02 5.8613e-01 2.9922e-01 7.6622e-02
1750.00 8.6453e-08 1.2005e-02 5.6067e-01 3.3932e-01 8.8010e-02
2250.00 1.3481e-08 3.1404e-03 5.1620e-01 3.7974e-01 1.0092e-01
2750.00 4.2535e-09 1.3779e-03 4.6940e-01 4.1462e-01 1.1460e-01
3250.00 2.0177e-09 8.1626e-04 4.2642e-01 4.4304e-01 1.2973e-01
3750.00 1.2738e-09 6.0390e-04 3.8917e-01 4.6402e-01 1.4620e-01
4250.00 7.5559e-10 4.1369e-04 3.4597e-01 4.8908e-01 1.6454e-01
4750.00 5.3853e-10 3.2920e-04 3.1015e-01 5.0443e-01 1.8509e-01
5250.00 3.4658e-10 2.3948e-04 2.6752e-01 5.2290e-01 2.0934e-01
5750.00 2.5776e-10 1.9794e-04 2.3572e-01 5.2863e-01 2.3546e-01
6250.00 1.6882e-10 1.4739e-04 1.9782e-01 5.3625e-01 2.6579e-01
6750.00 1.5438e-10 1.4616e-04 1.7832e-01 5.2609e-01 2.9544e-01
7250.00 1.8341e-10 1.7626e-04 1.8517e-01 5.1424e-01 3.0042e-01
7750.00 3.9935e-10 3.5413e-04 2.2814e-01 4.8981e-01 2.8170e-01
8250.00 1.8141e-09 1.3316e-03 2.8203e-01 4.6088e-01 2.5576e-01
8750.00 1.0008e-08 5.4978e-03 3.1840e-01 4.3826e-01 2.3785e-01
9250.00 2.9314e-08 1.1505e-02 3.3764e-01 4.2529e-01 2.2557e-01
9750.00 6.5096e-08 1.8354e-02 3.5754e-01 4.1389e-01 2.1021e-01
10250.00 1.3891e-07 2.8628e-02 3.7523e-01 4.0077e-01 1.9538e-01
10750.00 2.5649e-07 3.9088e-02 3.9216e-01 3.8919e-01 1.7957e-01
11250.00 3.9339e-07 4.6399e-02 4.1035e-01 3.7698e-01 1.6628e-01
11750.00 4.6893e-07 4.9399e-02 4.2468e-01 3.6913e-01 1.5679e-01
12250.00 4.1691e-07 4.7831e-02 4.2206e-01 3.7138e-01 1.5873e-01
12750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
13250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
13750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
14250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
14750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
15250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
15750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
16250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
16750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
17250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
17750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
18250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
18750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
19250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
19750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
20250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
20750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
