#NTIMES:    57
#NSTAGES:     6
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570   60.030   66.000   72.560   80.000   88.000   97.000  107.000  117.000  127.000  137.000  147.000  157.000  167.000  177.000  187.000  197.000  207.000  217.000
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5
    1.025000E+03   9.9188E-041   3.2119E-030   7.0732E-022   9.7968E-014   1.4759E-006   1.0000E+000
    1.037120E+03   9.7275E-041   3.1626E-030   6.9908E-022   9.7198E-014   1.4700E-006   1.0000E+000
    1.061360E+03   9.5564E-041   3.1227E-030   6.9380E-022   9.6952E-014   1.4696E-006   1.0000E+000
    1.109839E+03   9.5711E-041   3.1450E-030   7.0265E-022   9.8310E-014   1.4850E-006   1.0000E+000
    1.213017E+03   1.0021E-040   3.3159E-030   7.4573E-022   1.0338E-013   1.5373E-006   1.0000E+000
    1.325723E+03   1.0642E-040   3.5444E-030   8.0190E-022   1.0971E-013   1.6008E-006   1.0000E+000
    1.448902E+03   1.1412E-040   3.8265E-030   8.7102E-022   1.1733E-013   1.6756E-006   1.0000E+000
    1.583526E+03   1.2363E-040   4.1739E-030   9.5612E-022   1.2654E-013   1.7638E-006   1.0000E+000
    1.730658E+03   1.3548E-040   4.6066E-030   1.0621E-021   1.3781E-013   1.8685E-006   1.0000E+000
    1.891461E+03   1.5004E-040   5.1409E-030   1.1936E-021   1.5152E-013   1.9921E-006   1.0000E+000
    2.067205E+03   1.6866E-040   5.8240E-030   1.3620E-021   1.6867E-013   2.1411E-006   1.0000E+000
    2.259278E+03   1.9242E-040   6.6987E-030   1.5784E-021   1.9019E-013   2.3210E-006   1.0000E+000
    2.469197E+03   2.2429E-040   7.8703E-030   1.8680E-021   2.1821E-013   2.5442E-006   1.0000E+000
    2.698621E+03   2.6715E-040   9.4488E-030   2.2594E-021   2.5492E-013   2.8219E-006   1.0000E+000
    2.949361E+03   3.2633E-040   1.1632E-029   2.8020E-021   3.0413E-013   3.1725E-006   1.0000E+000
    3.223399E+03   4.1123E-040   1.4764E-029   3.5812E-021   3.7219E-013   3.6250E-006   1.0000E+000
    3.522899E+03   5.3702E-040   1.9404E-029   4.7366E-021   4.6905E-013   4.2197E-006   1.0000E+000
    3.850227E+03   7.3140E-040   2.6567E-029   6.5204E-021   6.1193E-013   5.0201E-006   9.9999E-001
    4.207968E+03   1.0467E-039   3.8155E-029   9.4042E-021   8.3167E-013   6.1262E-006   9.9999E-001
    4.598949E+03   1.5879E-039   5.7959E-029   1.4322E-020   1.1864E-012   7.7024E-006   9.9999E-001
    5.026257E+03   2.5802E-039   9.4038E-029   2.3247E-020   1.7921E-012   1.0029E-005   9.9999E-001
    5.493268E+03   4.5480E-039   1.6494E-028   4.0691E-020   2.8982E-012   1.3608E-005   9.9999E-001
    6.003672E+03   8.8089E-039   3.1656E-028   7.7729E-020   5.0744E-012   1.9364E-005   9.9998E-001
    6.563976E+03   1.9490E-038   6.9134E-028   1.6891E-019   9.8768E-012   2.9318E-005   9.9997E-001
    7.150150E+03   7.1945E-038   2.4194E-027   5.7451E-019   2.6620E-011   5.3269E-005   9.9995E-001
    7.624563E+03   3.9323E-037   1.1595E-026   2.4788E-018   8.7490E-011   1.0768E-004   9.9989E-001
    8.015598E+03   2.8205E-036   6.9942E-026   1.2871E-017   3.3025E-010   2.3448E-004   9.9977E-001
    8.365060E+03   2.8181E-035   5.6658E-025   8.6576E-017   1.5248E-009   5.7175E-004   9.9943E-001
    8.678533E+03   3.6614E-034   5.8139E-024   7.2016E-016   8.3183E-009   1.5306E-003   9.9847E-001
    8.970829E+03   6.3808E-033   7.7976E-023   7.6529E-015   5.4982E-008   4.5607E-003   9.9544E-001
    9.225513E+03   1.1445E-031   1.0784E-021   8.3950E-014   3.7008E-007   1.3652E-002   9.8635E-001
    9.474694E+03   2.7764E-030   1.9763E-020   1.1950E-012   3.0514E-006   4.5380E-002   9.5462E-001
    9.694307E+03   6.1597E-029   3.3512E-019   1.5828E-011   2.3439E-005   1.4030E-001   8.5968E-001
    9.904307E+03   1.4359E-027   5.8784E-018   2.1203E-010   1.7285E-004   3.8386E-001   6.1597E-001
    1.009658E+04   2.5204E-026   7.7103E-017   2.0881E-009   9.0890E-004   7.1538E-001   2.8371E-001
    1.028085E+04   3.7251E-025   8.3800E-016   1.6554E-008   3.6190E-003   9.1727E-001   7.9108E-002
    1.045267E+04   5.1835E-024   8.5650E-015   1.2105E-007   1.2730E-002   9.7069E-001   1.6583E-002
    1.061724E+04   8.2954E-023   9.9802E-014   9.7589E-007   4.6151E-002   9.5107E-001   2.7827E-003
    1.077223E+04   1.4426E-021   1.2584E-012   8.2439E-006   1.6502E-001   8.3460E-001   3.6649E-004
    1.091419E+04   2.0188E-020   1.2932E-011   5.5963E-005   4.5986E-001   5.4005E-001   3.2867E-005
    1.104427E+04   1.7480E-019   8.4207E-011   2.3996E-004   7.9346E-001   2.0630E-001   1.6190E-006
    1.116962E+04   1.1417E-018   4.1891E-010   7.6711E-004   9.5141E-001   4.7822E-002   3.9884E-008
    1.128592E+04   7.2002E-018   2.0104E-009   2.2785E-003   9.8919E-001   8.5345E-003   6.4374E-010
    1.138719E+04   4.8718E-017   1.0123E-008   6.7924E-003   9.9181E-001   1.4005E-003   9.0949E-012
    1.148357E+04   4.1316E-016   6.1443E-008   2.2553E-002   9.7726E-001   1.8397E-004   7.8681E-014
    1.157588E+04   4.0355E-015   4.2300E-007   8.0086E-002   9.1989E-001   1.8615E-005   3.9065E-016
    1.165789E+04   3.3144E-014   2.5224E-006   2.4788E-001   7.5211E-001   1.5574E-006   1.4845E-018
    1.172968E+04   1.8858E-013   1.0728E-005   5.5326E-001   4.4673E-001   9.2509E-008   3.8883E-021
    1.179602E+04   7.9795E-013   3.3001E-005   8.3827E-001   1.6170E-001   2.7662E-009   1.7311E-023
    1.185624E+04   2.9293E-012   8.3306E-005   9.6046E-001   3.9452E-002   4.6264E-011   3.3379E-024
    1.191139E+04   1.0765E-011   2.0265E-004   9.9200E-001   7.7980E-003   5.1411E-013   6.5355E-025
    1.196310E+04   4.2994E-011   5.1883E-004   9.9818E-001   1.2966E-003   3.6169E-015   1.0761E-025
    1.200903E+04   1.7518E-010   1.3561E-003   9.9844E-001   2.0044E-004   2.0319E-017   1.6826E-026
    1.204957E+04   7.1822E-010   3.6059E-003   9.9636E-001   2.9221E-005   9.4242E-020   2.5449E-027
    1.208724E+04   3.4522E-009   1.0774E-002   9.8922E-001   3.4046E-006   4.0015E-022   3.0468E-028
    1.211780E+04   1.5936E-008   3.1431E-002   9.6857E-001   4.0910E-007   1.5393E-022   3.7134E-029
    1.214029E+04   5.3743E-008   7.4206E-002   9.2579E-001   6.7755E-008   1.4513E-022   6.3395E-030
    1.215784E+04   1.3669E-007   1.4448E-001   8.5552E-001   1.4266E-008   1.3708E-022   1.4030E-030
    1.217298E+04   2.9234E-007   2.4876E-001   7.5124E-001   3.1708E-009   1.2530E-022   3.3146E-031
    1.218654E+04   5.4717E-007   3.8535E-001   6.1465E-001   6.8821E-010   1.0692E-022   7.6219E-032
    1.220016E+04   9.6009E-007   5.5614E-001   4.4386E-001   1.1576E-010   7.9841E-023   1.3429E-032
    1.221368E+04   1.5320E-006   7.2420E-001   2.7579E-001   1.4931E-011   5.0335E-023   1.7754E-033
    1.222859E+04   2.3173E-006   8.6636E-001   1.3364E-001   1.0024E-012   2.4243E-023   1.1959E-034
    1.224457E+04   3.2345E-006   9.4693E-001   5.3069E-002   3.8428E-014   9.3979E-024   4.5150E-036
    1.225965E+04   4.0907E-006   9.7755E-001   2.2446E-002   1.6646E-015   3.8648E-024   1.9159E-037
    1.227256E+04   4.7525E-006   9.8775E-001   1.2250E-002   1.4946E-016   2.0668E-024   1.6953E-038
    1.228514E+04   5.3749E-006   9.9281E-001   7.1878E-003   1.2207E-017   1.1903E-024   1.3674E-039
    1.229683E+04   5.9129E-006   9.9515E-001   4.8446E-003   1.2917E-018   7.8760E-025   1.4296E-040
    1.232733E+04   6.8728E-006   9.9645E-001   3.5413E-003   1.0164E-019   5.5715E-025   1.0984E-041
    1.289197E+04   1.4633E-005   9.9862E-001   1.3689E-003   9.8116E-021   2.2757E-025   1.1252E-042
    1.402569E+04   4.8659E-005   9.9979E-001   1.5879E-004   1.8507E-022   2.9384E-026   2.3742E-044
    1.518573E+04   1.1510E-004   9.9986E-001   2.8770E-005   1.1040E-022   5.8423E-027   1.5589E-044
    1.632859E+04   2.2307E-004   9.9977E-001   8.5651E-006   1.1725E-022   1.8819E-027   1.7959E-044
    1.745157E+04   3.5136E-004   9.9964E-001   3.7090E-006   1.2534E-022   8.7184E-028   2.0583E-044
    1.855827E+04   4.7563E-004   9.9952E-001   2.0809E-006   1.3293E-022   5.1873E-028   2.3195E-044
    1.963325E+04   5.6359E-004   9.9944E-001   1.3830E-006   1.3988E-022   3.6278E-028   2.5723E-044
    2.068109E+04   6.1375E-004   9.9939E-001   1.0175E-006   1.4625E-022   2.7916E-028   2.8166E-044
    2.170537E+04   6.3430E-004   9.9936E-001   7.9621E-007   1.5212E-022   2.2734E-028   3.0522E-044
    2.269952E+04   6.3400E-004   9.9937E-001   6.6061E-007   1.5750E-022   1.9539E-028   3.2769E-044
    2.366536E+04   6.1778E-004   9.9938E-001   5.7624E-007   1.6244E-022   1.7587E-028   3.4905E-044
    2.460914E+04   5.8794E-004   9.9941E-001   5.2568E-007   1.6701E-022   1.6501E-028   3.6946E-044
    2.553354E+04   5.4664E-004   9.9945E-001   4.9583E-007   1.7126E-022   1.5965E-028   3.8899E-044
    2.644080E+04   4.9668E-004   9.9950E-001   4.8130E-007   1.7522E-022   1.5859E-028   4.0774E-044
    2.733350E+04   4.4441E-004   9.9956E-001   4.7427E-007   1.7893E-022   1.5962E-028   4.2582E-044
    2.821284E+04   3.9165E-004   9.9961E-001   4.6813E-007   1.8242E-022   1.6066E-028   4.4329E-044
    2.908138E+04   3.4289E-004   9.9966E-001   4.5591E-007   1.8572E-022   1.5934E-028   4.6022E-044
    2.994295E+04   2.9609E-004   9.9970E-001   4.3628E-007   1.8885E-022   1.5510E-028   4.7669E-044
    3.079959E+04   2.5355E-004   9.9975E-001   4.1515E-007   1.9185E-022   1.4999E-028   4.9272E-044
    3.165298E+04   2.1378E-004   9.9979E-001   4.1150E-007   1.9471E-022   1.5094E-028   5.0833E-044
    3.250461E+04   1.7695E-004   9.9982E-001   4.5092E-007   1.9745E-022   1.6778E-028   5.2353E-044
    3.335585E+04   1.4352E-004   9.9986E-001   5.6377E-007   2.0008E-022   2.1261E-028   5.3837E-044
    3.420806E+04   1.1187E-004   9.9989E-001   8.2397E-007   2.0260E-022   3.1472E-028   5.5287E-044
    3.506257E+04   8.4011E-005   9.9991E-001   1.4620E-006   2.0503E-022   5.6518E-028   5.6701E-044
    3.592077E+04   5.9868E-005   9.9994E-001   2.6370E-006   2.0737E-022   1.0312E-027   5.8074E-044
    3.678416E+04   3.8626E-005   9.9996E-001   6.3392E-006   2.0963E-022   2.5061E-027   5.9409E-044
    3.765440E+04   1.9892E-005   9.9996E-001   1.7178E-005   2.1183E-022   6.8624E-027   6.0713E-044
    3.853330E+04   1.2480E-005   9.9995E-001   3.6107E-005   2.1398E-022   1.4569E-026   6.1987E-044
    3.942287E+04   1.0638E-005   9.9995E-001   4.1706E-005   2.1604E-022   1.6989E-026   6.3217E-044
    4.030996E+04   7.7718E-006   9.9996E-001   3.4217E-005   2.1566E-022   1.3903E-026   6.2713E-044
    4.032500E+04   7.9372E-006   9.9996E-001   3.2422E-005   1.0233E-022   6.4464E-027   1.6795E-044
#TIME:     2.020
#NVEL: 111
#vel_mid[km/s]           fe0           fe1           fe2           fe3           fe4           fe5
    1.025000E+03   1.0689E-040   3.4603E-030   7.6186E-022   1.0473E-013   1.5398E-006   1.0000E+000
    1.037120E+03   1.0458E-040   3.4003E-030   7.5186E-022   1.0382E-013   1.5330E-006   1.0000E+000
    1.061360E+03   1.0132E-040   3.3177E-030   7.3880E-022   1.0267E-013   1.5252E-006   1.0000E+000
    1.109839E+03   9.8640E-041   3.2609E-030   7.3301E-022   1.0242E-013   1.5269E-006   1.0000E+000
