#NTIMES: 99
#NSTAGES: 8
#TIMES[d]:    2.0   3.0   4.0   5.0   6.0   7.0   8.0   9.0  10.0  11.0  12.0  13.0  14.0  15.0  16.0  17.0  18.0  19.0  20.0  21.0  22.0  23.0  24.0  25.0  26.0  27.0  28.0  29.0  30.0  31.0  32.0  33.0  34.0  35.0  36.0  37.0  38.0  39.0  40.0  41.0  42.0  43.0  44.0  45.0  46.0  47.0  48.0  49.0  50.0  51.0  52.0  53.0  54.0  55.0  56.0  57.0  58.0  59.0  60.0  61.0  62.0  63.0  64.0  65.0  66.0  67.0  68.0  69.0  70.0  71.0  72.0  73.0  74.0  75.0  76.0  77.0  78.0  79.0  80.0  81.0  82.0  83.0  84.0  85.0  86.0  87.0  88.0  89.0  90.0  91.0  92.0  93.0  94.0  95.0  96.0  97.0  98.0  99.0 100.0
#
#TIME: 2.0
#NVEL: 100
#vel_mid[km/s]    fe0          fe1          fe2          fe3          fe4          fe5          fe6          fe7
   2.0000E+02   3.4384E-49   5.1789E-40   2.1439E-31   2.0249E-23   3.7823E-16   8.1850E-10   1.3621E-04   9.9986E-01
   4.0000E+02   4.9512E-49   7.6409E-40   3.1900E-31   2.9876E-23   5.3734E-16   1.0820E-09   1.6038E-04   9.9984E-01
   6.0000E+02   7.2143E-49   1.1406E-39   4.8004E-31   4.4547E-23   7.7048E-16   1.4404E-09   1.8960E-04   9.9981E-01
   8.0000E+02   1.0658E-48   1.7255E-39   7.3169E-31   6.7212E-23   1.1161E-15   1.9323E-09   2.2510E-04   9.9977E-01
   1.0000E+03   1.5933E-48   2.6409E-39   1.1277E-30   1.0246E-22   1.6314E-15   2.6097E-09   2.6826E-04   9.9973E-01
   1.2000E+03   2.4094E-48   4.0873E-39   1.7568E-30   1.5776E-22   2.4054E-15   3.5479E-09   3.2087E-04   9.9968E-01
   1.4000E+03   3.6782E-48   6.3853E-39   2.7617E-30   2.4496E-22   3.5728E-15   4.8499E-09   3.8500E-04   9.9961E-01
   1.6000E+03   5.7079E-48   1.0135E-38   4.4075E-30   3.8569E-22   5.3710E-15   6.6897E-09   4.6427E-04   9.9954E-01
   1.8000E+03   8.9605E-48   1.6269E-38   7.1110E-30   6.1346E-22   8.1457E-15   9.2887E-09   5.6193E-04   9.9944E-01
   2.0000E+03   1.4266E-47   2.6476E-38   1.1624E-29   9.8766E-22   1.2484E-14   1.2999E-08   6.8312E-04   9.9932E-01
