#NTIMES: 145 
#NSTAGES: 7 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 81 
#vel_mid[km/s] ni0 ni1 ni2 ni3 ni4 ni5 ni6 
250.00 2.23e-22 1.20e-14 1.56e-07 6.04e-02 7.03e-01 2.06e-01 3.07e-02 
750.00 1.25e-22 7.75e-15 1.15e-07 5.15e-02 6.90e-01 2.24e-01 3.42e-02 
1250.00 8.74e-23 5.98e-15 9.63e-08 4.71e-02 6.91e-01 2.28e-01 3.35e-02 
1750.00 7.22e-23 5.32e-15 9.02e-08 4.56e-02 7.02e-01 2.22e-01 3.01e-02 
2250.00 7.25e-23 5.75e-15 1.03e-07 5.21e-02 7.46e-01 1.86e-01 1.62e-02 
2750.00 7.28e-23 6.39e-15 1.21e-07 6.12e-02 7.85e-01 1.46e-01 7.43e-03 
3250.00 6.68e-23 6.57e-15 1.33e-07 6.71e-02 8.12e-01 1.17e-01 3.40e-03 
3750.00 6.42e-23 7.06e-15 1.51e-07 7.40e-02 8.33e-01 9.13e-02 1.44e-03 
4250.00 6.99e-23 8.52e-15 1.88e-07 8.51e-02 8.48e-01 6.60e-02 5.23e-04 
4750.00 6.91e-23 9.49e-15 2.17e-07 9.20e-02 8.57e-01 5.04e-02 2.09e-04 
5250.00 7.34e-23 1.13e-14 2.64e-07 1.02e-01 8.61e-01 3.66e-02 7.72e-05 
5750.00 1.01e-22 1.71e-14 3.98e-07 1.29e-01 8.49e-01 2.23e-02 2.10e-05 
6250.00 1.79e-22 3.29e-14 7.30e-07 1.83e-01 8.06e-01 1.10e-02 3.95e-06 
6750.00 3.73e-25 1.29e-16 4.07e-09 2.36e-03 8.12e-01 1.86e-01 8.63e-05 
7250.00 9.70e-25 3.78e-16 1.11e-08 4.56e-03 8.89e-01 1.07e-01 1.74e-05 
7750.00 4.80e-24 1.93e-15 4.83e-08 1.15e-02 9.46e-01 4.21e-02 1.57e-06 
8250.00 4.65e-23 1.74e-14 3.36e-07 3.90e-02 9.51e-01 9.58e-03 4.98e-08 
8750.00 8.15e-22 2.43e-13 3.31e-06 1.59e-01 8.39e-01 1.22e-03 3.89e-10 
9250.00 1.51e-20 3.41e-12 3.00e-05 5.07e-01 4.93e-01 9.15e-05 2.60e-12 
9750.00 2.02e-19 3.73e-11 1.86e-04 8.55e-01 1.45e-01 2.67e-06 1.26e-15 
10250.00 3.03e-18 4.84e-10 1.16e-03 9.80e-01 1.90e-02 1.35e-08 6.03e-20 
10750.00 6.15e-17 8.22e-09 8.48e-03 9.90e-01 1.14e-03 2.42e-11 7.51e-25 
11250.00 2.01e-15 2.12e-07 8.07e-02 9.19e-01 3.23e-05 1.93e-15 1.63e-32 
11750.00 9.42e-14 7.19e-06 6.69e-01 3.31e-01 6.48e-08 1.53e-20 9.51e-39 
12250.00 9.11e-13 4.77e-05 9.81e-01 1.89e-02 3.38e-11 2.95e-27 1.33e-37 
12750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
13250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
13750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
18250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
18750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
19250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
19750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
21250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
21750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
22250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
22750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
23250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
23750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
25250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
25750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
26250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
26750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
