#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 81
#vel_mid[km/s] ni0 ni1 ni2 ni3
1250.00 1.9066e-03 5.2574e-01 2.8360e-01 1.8875e-01
2750.00 5.0644e-04 4.4572e-01 3.1580e-01 2.3797e-01
3750.00 4.8055e-05 3.8107e-01 3.4173e-01 2.7715e-01
4250.00 1.7648e-05 3.4715e-01 3.5399e-01 2.9885e-01
4750.00 1.0304e-05 3.1436e-01 3.6113e-01 3.2450e-01
5250.00 6.1995e-06 2.7931e-01 3.6712e-01 3.5357e-01
5750.00 5.1151e-06 2.3947e-01 3.7303e-01 3.8749e-01
6250.00 3.7623e-06 2.0237e-01 3.7366e-01 4.2396e-01
6750.00 2.9984e-06 1.7049e-01 3.6901e-01 4.6050e-01
7250.00 3.8496e-06 1.6675e-01 3.6016e-01 4.7309e-01
7750.00 6.5271e-06 1.8380e-01 3.6223e-01 4.5396e-01
8250.00 2.7707e-05 2.0292e-01 3.4911e-01 4.4794e-01
8750.00 8.7760e-05 2.2586e-01 3.4610e-01 4.2795e-01
9250.00 2.6278e-04 2.3580e-01 3.4243e-01 4.2150e-01
9750.00 6.5300e-04 2.5642e-01 3.4224e-01 4.0069e-01
10250.00 3.7541e-03 2.8193e-01 3.4032e-01 3.7399e-01
10750.00 2.9046e-03 3.0926e-01 3.3705e-01 3.5079e-01
11250.00 5.6612e-03 3.3327e-01 3.3302e-01 3.2805e-01
11750.00 2.6097e-02 3.3510e-01 3.2802e-01 3.1079e-01
12250.00 1.4313e-01 2.5528e-01 3.1448e-01 2.8712e-01
12750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
13250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
