#NTIMES: 99
#NSTAGES: 8
#TIMES[d]:    2.0   3.0   4.0   5.0   6.0   7.0   8.0   9.0  10.0  11.0  12.0  13.0  14.0  15.0  16.0  17.0  18.0  19.0  20.0  21.0  22.0  23.0  24.0  25.0  26.0  27.0  28.0  29.0  30.0  31.0  32.0  33.0  34.0  35.0  36.0  37.0  38.0  39.0  40.0  41.0  42.0  43.0  44.0  45.0  46.0  47.0  48.0  49.0  50.0  51.0  52.0  53.0  54.0  55.0  56.0  57.0  58.0  59.0  60.0  61.0  62.0  63.0  64.0  65.0  66.0  67.0  68.0  69.0  70.0  71.0  72.0  73.0  74.0  75.0  76.0  77.0  78.0  79.0  80.0  81.0  82.0  83.0  84.0  85.0  86.0  87.0  88.0  89.0  90.0  91.0  92.0  93.0  94.0  95.0  96.0  97.0  98.0  99.0 100.0
#
#TIME: 2.0
#NVEL: 100
#vel_mid[km/s]    ni0          ni1          ni2          ni3          ni4          ni5          ni6          ni7
   2.0000E+02   6.6478E-50   3.2099E-40   8.2802E-32   9.2966E-24   2.1672E-16   5.7224E-10   7.1259E-05   9.9993E-01
   4.0000E+02   9.9229E-50   4.8728E-40   1.2685E-31   1.4057E-23   3.1350E-16   7.6656E-10   8.4783E-05   9.9992E-01
   6.0000E+02   1.5001E-49   7.4895E-40   1.9667E-31   2.1497E-23   4.5805E-16   1.0348E-09   1.0130E-04   9.9990E-01
   8.0000E+02   2.3013E-49   1.1676E-39   3.0911E-31   3.3289E-23   6.7661E-16   1.4085E-09   1.2158E-04   9.9988E-01
   1.0000E+03   3.5755E-49   1.8426E-39   4.9161E-31   5.2115E-23   1.0091E-15   1.9312E-09   1.4650E-04   9.9985E-01
   1.2000E+03   5.6236E-49   2.9427E-39   7.9084E-31   8.2463E-23   1.5193E-15   2.6669E-09   1.7722E-04   9.9982E-01
   1.4000E+03   8.9356E-49   4.7462E-39   1.2845E-30   1.3166E-22   2.3058E-15   3.7052E-09   2.1507E-04   9.9978E-01
   1.6000E+03   1.4447E-48   7.7840E-39   2.1200E-30   2.1333E-22   3.5445E-15   5.1977E-09   2.6239E-04   9.9974E-01
   1.8000E+03   2.3647E-48   1.2920E-38   3.5395E-30   3.4939E-22   5.5007E-15   7.3436E-09   3.2137E-04   9.9968E-01
   2.0000E+03   3.9289E-48   2.1755E-38   5.9921E-30   5.7964E-22   8.6329E-15   1.0464E-08   3.9542E-04   9.9960E-01
   2.2000E+03   6.5888E-48   3.6967E-38   1.0235E-29   9.6978E-22   1.3651E-14   1.4994E-08   4.8803E-04   9.9951E-01
   2.4000E+03   1.1277E-47   6.4057E-38   1.7813E-29   1.6507E-21   2.1911E-14   2.1727E-08   6.0602E-04   9.9939E-01
   2.6000E+03   1.9537E-47   1.1233E-37   3.1361E-29   2.8401E-21   3.5505E-14   3.1708E-08   7.5543E-04   9.9924E-01
   2.8000E+03   3.4310E-47   1.9957E-37   5.5920E-29   4.9451E-21   5.8134E-14   4.6635E-08   9.4570E-04   9.9905E-01
   3.0000E+03   6.1240E-47   3.6018E-37   1.0123E-28   8.7321E-21   9.6358E-14   6.9220E-08   1.1898E-03   9.9881E-01
   3.2000E+03   1.1092E-46   6.5934E-37   1.8579E-28   1.5618E-20   1.6151E-13   1.0360E-07   1.5037E-03   9.9850E-01
   3.4000E+03   2.0409E-46   1.2255E-36   3.4606E-28   2.8319E-20   2.7396E-13   1.5643E-07   1.9096E-03   9.9809E-01
   3.6000E+03   3.8149E-46   2.3130E-36   6.5422E-28   5.2066E-20   4.7033E-13   2.3834E-07   2.4368E-03   9.9756E-01
   3.8000E+03   7.2432E-46   4.4320E-36   1.2550E-27   9.7044E-20   8.1709E-13   3.6632E-07   3.1245E-03   9.9688E-01
   4.0000E+03   1.3975E-45   8.6255E-36   2.4443E-27   1.8344E-19   1.4369E-12   5.6814E-07   4.0258E-03   9.9597E-01
   4.2000E+03   2.7402E-45   1.7052E-35   4.8334E-27   3.5172E-19   2.5582E-12   8.8916E-07   5.2124E-03   9.9479E-01
   4.4000E+03   5.4632E-45   3.4261E-35   9.7092E-27   6.8434E-19   4.6124E-12   1.4046E-06   6.7824E-03   9.9322E-01
   4.6000E+03   1.1065E-44   6.9898E-35   1.9796E-26   1.3502E-18   8.4163E-12   2.2384E-06   8.8660E-03   9.9113E-01
   4.8000E+03   2.2778E-44   1.4488E-34   4.0992E-26   2.7026E-18   1.5549E-11   3.5995E-06   1.1644E-02   9.8835E-01
   5.0000E+03   4.7664E-44   3.0513E-34   8.6209E-26   5.4888E-18   2.9084E-11   5.8406E-06   1.5363E-02   9.8463E-01
   5.2500E+03   1.2256E-43   7.9057E-34   2.2288E-25   1.3566E-17   6.4675E-11   1.0822E-05   2.1847E-02   9.7814E-01
   5.5000E+03   3.2259E-43   2.0958E-33   5.8934E-25   3.4247E-17   1.4641E-10   2.0307E-05   3.1244E-02   9.6874E-01
   5.7500E+03   8.6735E-43   5.6740E-33   1.5911E-24   8.8158E-17   3.3688E-10   3.8528E-05   4.4870E-02   9.5509E-01
   6.0000E+03   2.3712E-42   1.5620E-32   4.3689E-24   2.3057E-16   7.8526E-10   7.3693E-05   6.4544E-02   9.3538E-01
   6.2500E+03   6.5665E-42   4.3576E-32   1.2161E-23   6.1086E-16   1.8490E-09   1.4170E-04   9.2724E-02   9.0713E-01
   6.5000E+03   1.8286E-41   1.2235E-31   3.4099E-23   1.6298E-15   4.3734E-09   2.7249E-04   1.3240E-01   8.6733E-01
   6.7500E+03   5.3613E-41   3.6097E-31   1.0025E-22   4.5365E-15   1.0690E-08   5.3391E-04   1.8910E-01   8.1036E-01
   7.0000E+03   2.0814E-40   1.3884E-30   3.7773E-22   1.5749E-14   3.1239E-08   1.1785E-03   2.8174E-01   7.1708E-01
   7.2500E+03   1.0631E-39   6.9121E-30   1.8095E-21   6.7485E-14   1.0747E-07   2.8642E-03   4.2358E-01   5.7356E-01
   7.5000E+03   6.8909E-39   4.2880E-29   1.0589E-20   3.4192E-13   4.1503E-07   7.2662E-03   6.0522E-01   3.8752E-01
   8.0000E+03   6.0613E-37   3.1877E-27   6.4299E-19   1.3672E-11   7.9246E-06   4.6030E-02   8.7139E-01   8.2571E-02
   8.5000E+03   1.4999E-34   6.0117E-25   8.8572E-17   1.0304E-09   2.1287E-04   2.7653E-01   7.1789E-01   5.3657E-03
   9.0000E+03   5.6301E-32   1.5991E-22   1.5779E-14   8.3317E-08   4.4498E-03   8.3033E-01   1.6517E-01   4.6728E-05
