#NTIMES: 257
#NSTAGES: 6
#TIMES[d]: 2.2 2.42 2.662 2.9282 3.22102 3.543122 3.897434 4.287178 4.715896 5.187485 5.706233 6.276857 6.904542 7.594996 8.354497 9.189946 10.10894 11.10894 12.10894 13.108941 14.108941 15.108941 16.108941 17.108941 18.108941 19.108941 20.108941 21.108941 22.108941 23.108941 24.108941 25.108941 26.108941 27.108941 28.108941 29.108941 30.108941 31.108941 32.108941 33.108941 34.108941 35.108941 36.108941 37.108941 38.108941 39.108941 40.108941 41.108941 42.108941 43.108941 44.108941 45.108941 46.108941 47.108941 48.108941 49.108941 50.108941 51.108941 52.108941 53.108941 54.108941 55.108941 56.108941 57.108941 58.108941 59.108941 60.108941 61.108941 62.108941 63.108941 64.108941 65.108941 66.108941 67.108941 68.108941 69.108941 70.108941 71.108941 72.108941 73.108941 74.108941 75.108941 76.108941 77.108941 78.108941 79.108941 80.108941 81.108941 82.108941 83.108941 84.108941 85.108941 86.108941 87.108941 88.108941 89.108941 90.108941 91.108941 92.108941 93.108941 94.108941 95.108941 96.108941 97.108935 98.108935 99.108935 100.108935 101.108935 102.108935 103.108935 104.108935 105.108935 106.108935 107.108935 108.108935 109.108935 110.108935 111.108935 112.108935 113.108935 114.108935 115.108935 116.108935 117.108935 118.108935 119.108935 120.108935 121.108935 122.108935 123.108935 124.108935 125.108935 126.108935 127.108935 128.108935 129.108935 130.108935 131.108935 132.108935 133.108935 134.108935 135.108935 136.108935 137.108935 138.108935 139.108935 140.108935 141.108935 142.108935 143.108935 144.108935 145.108935 146.108935 147.108935 148.108935 149.108935 150.108935 151.108935 152.108935 153.108935 154.108935 155.108935 156.108935 157.108935 158.108935 159.108935 160.108935 161.108935 162.108935 163.108935 164.108935 165.108935 166.108935 167.108935 168.108935 169.108935 170.108935 171.108935 172.108935 173.108935 174.108935 175.108935 176.108935 177.108935 178.108935 179.108935 180.108935 181.108935 182.108935 183.108935 184.108935 185.108935 186.108935 187.108935 188.108935 189.108935 190.108935 191.108935 192.108935 193.108935 194.108935 195.108935 196.108935 197.108935 198.108935 199.108935 200.108935 201.108935 202.108935 203.108935 204.108935 205.108935 206.108935 207.108935 208.108935 209.108935 210.108935 211.108935 212.108935 213.108935 214.108935 215.108935 216.108935 217.108935 218.108935 219.108935 220.108935 221.108935 222.108935 223.108935 224.108935 225.108935 226.108935 227.108935 228.108935 229.108935 230.108935 231.108935 232.108935 233.108935 234.108935 235.108935 236.108935 237.108935 238.108935 239.108935 240.108935 241.108935 242.108935 243.108935 244.108935 245.108935 246.108935 247.108935 248.108935 249.108935 250.108935
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] Ni0 Ni1 Ni2 Ni3 Ni4 Ni5
2.500e+02 5.476591e-39 1.040493e-29 7.075639e-21 1.163792e-12 3.544568e-05 9.999646e-01
7.500e+02 6.727758e-39 1.324589e-29 9.015813e-21 1.425150e-12 3.977859e-05 9.999602e-01
1.250e+03 8.713967e-39 1.781964e-29 1.210766e-20 1.824476e-12 4.591968e-05 9.999541e-01
1.750e+03 1.176437e-38 2.494149e-29 1.685550e-20 2.408263e-12 5.411594e-05 9.999459e-01
2.250e+03 1.654509e-38 3.626819e-29 2.428484e-20 3.273836e-12 6.506458e-05 9.999349e-01
2.750e+03 2.415770e-38 5.461711e-29 3.611815e-20 4.576188e-12 7.973140e-05 9.999203e-01
3.250e+03 3.677467e-38 8.549419e-29 5.563404e-20 6.595677e-12 9.971526e-05 9.999003e-01
3.750e+03 5.843386e-38 1.392642e-28 8.886333e-20 9.814984e-12 1.273325e-04 9.998727e-01
4.250e+03 9.706207e-38 2.364107e-28 1.474205e-19 1.510300e-11 1.661084e-04 9.998339e-01
4.750e+03 1.688295e-37 4.189060e-28 2.544386e-19 2.406843e-11 2.214714e-04 9.997785e-01
5.250e+03 3.083213e-37 7.767654e-28 4.580634e-19 3.981160e-11 3.020543e-04 9.996979e-01
5.750e+03 5.920111e-37 1.509326e-27 8.615208e-19 6.844018e-11 4.215174e-04 9.995785e-01
6.250e+03 1.199016e-36 3.082758e-27 1.698097e-18 1.225813e-10 6.024706e-04 9.993975e-01
6.750e+03 2.727625e-36 6.993386e-27 3.674155e-18 2.369097e-10 8.990233e-04 9.991010e-01
7.250e+03 1.160826e-35 2.757244e-26 1.271226e-17 6.583652e-10 1.643673e-03 9.983563e-01
7.750e+03 1.191239e-34 2.378605e-25 8.626638e-17 3.095070e-09 4.031503e-03 9.959685e-01
8.250e+03 3.040922e-33 4.677193e-24 1.210913e-15 2.585097e-08 1.360683e-02 9.863931e-01
8.750e+03 2.055139e-31 2.249612e-22 3.810105e-14 4.079161e-07 6.440654e-02 9.355930e-01
9.250e+03 3.312555e-29 2.412535e-20 2.469978e-12 1.076842e-05 3.545523e-01 6.454370e-01
9.750e+03 6.898263e-27 3.058580e-18 1.679055e-10 2.172689e-04 8.942730e-01 1.055097e-01
1.025e+04 2.854424e-24 6.991634e-16 1.706214e-08 4.059677e-03 9.930651e-01 2.875220e-03
1.075e+04 1.092479e-20 1.295188e-12 9.708294e-06 1.889638e-01 8.110150e-01 1.148725e-05
1.125e+04 3.789616e-17 2.030770e-09 2.490333e-03 9.888905e-01 8.619186e-03 3.139148e-11
1.175e+04 1.792392e-12 2.604998e-05 8.270974e-01 1.728765e-01 1.134523e-08 4.894834e-24
1.225e+04 8.284154e-06 8.656171e-01 1.343746e-01 7.258848e-13 1.807545e-36 2.013751e-74
