#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 81
#vel_mid[km/s] s0 s1 s2 s3
250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6750.00 1.4114e-08 5.1778e-03 6.8309e-01 3.1174e-01
7250.00 1.7866e-08 6.4017e-03 7.1024e-01 2.8336e-01
7750.00 4.1064e-08 1.1630e-02 7.6404e-01 2.2433e-01
8250.00 2.0223e-07 3.5034e-02 7.9406e-01 1.7090e-01
8750.00 1.6115e-06 1.3462e-01 7.3880e-01 1.2658e-01
9250.00 5.1177e-06 2.3040e-01 6.7264e-01 9.6951e-02
9750.00 1.0942e-05 3.1523e-01 6.0756e-01 7.7203e-02
10250.00 1.5972e-05 3.7277e-01 5.6348e-01 6.3734e-02
10750.00 1.9238e-05 4.3430e-01 5.1267e-01 5.3010e-02
11250.00 1.8023e-05 4.7465e-01 4.8077e-01 4.4561e-02
11750.00 1.4717e-05 4.9202e-01 4.6698e-01 4.0985e-02
12250.00 1.1855e-05 5.0106e-01 4.5864e-01 4.0286e-02
12750.00 9.5065e-06 4.7581e-01 4.7953e-01 4.4643e-02
13250.00 9.0684e-06 4.4213e-01 5.0988e-01 4.7984e-02
13750.00 7.4203e-06 4.2856e-01 5.1654e-01 5.4891e-02
14250.00 6.5886e-06 4.0472e-01 5.3524e-01 6.0034e-02
14750.00 6.6302e-06 4.2313e-01 5.1650e-01 6.0363e-02
15250.00 5.4951e-06 3.6538e-01 5.6113e-01 7.3485e-02
15750.00 5.6742e-06 3.7799e-01 5.5307e-01 6.8940e-02
16250.00 4.7493e-06 3.2992e-01 5.8641e-01 8.3661e-02
16750.00 4.2322e-06 3.2332e-01 5.8496e-01 9.1710e-02
17250.00 3.4248e-06 2.8844e-01 6.0765e-01 1.0390e-01
17750.00 3.2474e-06 2.6504e-01 6.2326e-01 1.1170e-01
18250.00 3.7286e-06 3.1120e-01 5.8155e-01 1.0725e-01
18750.00 2.7198e-06 2.6591e-01 6.1305e-01 1.2104e-01
19250.00 2.0029e-06 2.1009e-01 6.3841e-01 1.5150e-01
19750.00 1.3519e-06 1.4581e-01 6.9244e-01 1.6175e-01
20250.00 1.8540e-06 2.2004e-01 6.0214e-01 1.7782e-01
20750.00 9.8218e-07 1.1731e-01 6.7880e-01 2.0389e-01
21250.00 1.6168e-06 1.9117e-01 5.9898e-01 2.0985e-01
21750.00 1.2068e-06 1.4558e-01 6.2837e-01 2.2605e-01
22250.00 9.8426e-07 1.4352e-01 6.0473e-01 2.5175e-01
22750.00 4.8014e-07 6.8158e-02 6.4936e-01 2.8248e-01
23250.00 7.8571e-07 1.2084e-01 5.8836e-01 2.9080e-01
23750.00 7.4610e-07 1.2095e-01 5.5829e-01 3.2076e-01
24250.00 4.7444e-07 7.6819e-02 5.7991e-01 3.4327e-01
24750.00 1.7802e-07 3.3738e-02 5.7560e-01 3.9066e-01
25250.00 3.4502e-08 7.0989e-03 5.7485e-01 4.1806e-01
25750.00 1.0314e-07 2.0697e-02 5.2275e-01 4.5655e-01
26250.00 1.4821e-07 3.6430e-02 4.8075e-01 4.8282e-01
26750.00 1.3489e-07 3.5449e-02 4.5613e-01 5.0842e-01
27250.00 1.7517e-07 4.0289e-02 4.2576e-01 5.3395e-01
27750.00 9.6529e-08 2.5993e-02 4.1156e-01 5.6245e-01
28250.00 5.5458e-08 1.6670e-02 3.8568e-01 5.9765e-01
28750.00 3.9685e-08 1.2574e-02 3.5678e-01 6.3065e-01
29250.00 4.9280e-08 1.6733e-02 3.1453e-01 6.6873e-01
29750.00 3.7682e-08 1.3228e-02 2.8849e-01 6.9828e-01
30250.00 2.5490e-08 9.9100e-03 2.6358e-01 7.2651e-01
30750.00 2.0068e-08 8.1747e-03 2.4675e-01 7.4507e-01
31250.00 1.3976e-08 6.0190e-03 2.2325e-01 7.7074e-01
31750.00 1.0380e-08 4.6002e-03 2.0094e-01 7.9446e-01
32250.00 7.7199e-09 3.7189e-03 1.8026e-01 8.1602e-01
32750.00 6.2349e-09 2.8636e-03 1.6117e-01 8.3596e-01
33250.00 4.4386e-09 2.2522e-03 1.4381e-01 8.5394e-01
33750.00 2.5984e-09 1.5588e-03 1.2825e-01 8.7020e-01
34250.00 9.7309e-10 7.8387e-04 1.1399e-01 8.8522e-01
34750.00 7.1791e-10 5.6142e-04 1.0117e-01 8.9827e-01
35250.00 5.7651e-10 4.6009e-04 8.9684e-02 9.0986e-01
