#NTIMES:     39
#NSTAGES:     5
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           s 1           s 2           s 3           s 4           s 5
    1.025000E+03    1.0000E-99    3.8524E-23    5.5376E-15    4.4673E-07    1.0000E+00
    1.037120E+03    1.0000E-99    3.8124E-23    5.5002E-15    4.4510E-07    1.0000E+00
    1.061360E+03    1.0000E-99    3.7628E-23    5.4569E-15    4.4322E-07    1.0000E+00
    1.109839E+03    1.0000E-99    3.7359E-23    5.4443E-15    4.4248E-07    1.0000E+00
    1.213017E+03    1.0000E-99    3.7666E-23    5.5083E-15    4.4452E-07    1.0000E+00
    1.325723E+03    1.0000E-99    3.8239E-23    5.6039E-15    4.4776E-07    1.0000E+00
    1.448902E+03    1.0000E-99    3.8975E-23    5.7213E-15    4.5178E-07    1.0000E+00
    1.583526E+03    1.0000E-99    3.9879E-23    5.8622E-15    4.5664E-07    1.0000E+00
    1.730658E+03    1.0000E-99    4.0989E-23    6.0317E-15    4.6252E-07    1.0000E+00
    1.891461E+03    1.0000E-99    4.2302E-23    6.2307E-15    4.6940E-07    1.0000E+00
    2.067205E+03    1.0000E-99    4.3930E-23    6.4730E-15    4.7777E-07    1.0000E+00
    2.259278E+03    1.0000E-99    4.5914E-23    6.7649E-15    4.8778E-07    1.0000E+00
    2.469197E+03    1.0000E-99    4.8465E-23    7.1319E-15    5.0025E-07    1.0000E+00
    2.698621E+03    1.0000E-99    5.1694E-23    7.5893E-15    5.1557E-07    1.0000E+00
    2.949361E+03    1.0000E-99    5.5858E-23    8.1692E-15    5.3458E-07    1.0000E+00
    3.223399E+03    1.0000E-99    6.1383E-23    8.9232E-15    5.5863E-07    1.0000E+00
    3.522899E+03    1.0000E-99    6.8866E-23    9.9225E-15    5.8936E-07    1.0000E+00
    3.850227E+03    1.0000E-99    7.9303E-23    1.1282E-14    6.2928E-07    1.0000E+00
    4.207968E+03    1.0000E-99    9.4361E-23    1.3190E-14    6.8205E-07    1.0000E+00
