#NTIMES: 257
#NSTAGES: 6
#TIMES[d]: 2.2 2.42 2.662 2.9282 3.22102 3.543122 3.897434 4.287178 4.715896 5.187485 5.706233 6.276857 6.904542 7.594996 8.354497 9.189946 10.10894 11.10894 12.10894 13.108941 14.108941 15.108941 16.108941 17.108941 18.108941 19.108941 20.108941 21.108941 22.108941 23.108941 24.108941 25.108941 26.108941 27.108941 28.108941 29.108941 30.108941 31.108941 32.108941 33.108941 34.108941 35.108941 36.108941 37.108941 38.108941 39.108941 40.108941 41.108941 42.108941 43.108941 44.108941 45.108941 46.108941 47.108941 48.108941 49.108941 50.108941 51.108941 52.108941 53.108941 54.108941 55.108941 56.108941 57.108941 58.108941 59.108941 60.108941 61.108941 62.108941 63.108941 64.108941 65.108941 66.108941 67.108941 68.108941 69.108941 70.108941 71.108941 72.108941 73.108941 74.108941 75.108941 76.108941 77.108941 78.108941 79.108941 80.108941 81.108941 82.108941 83.108941 84.108941 85.108941 86.108941 87.108941 88.108941 89.108941 90.108941 91.108941 92.108941 93.108941 94.108941 95.108941 96.108941 97.108935 98.108935 99.108935 100.108935 101.108935 102.108935 103.108935 104.108935 105.108935 106.108935 107.108935 108.108935 109.108935 110.108935 111.108935 112.108935 113.108935 114.108935 115.108935 116.108935 117.108935 118.108935 119.108935 120.108935 121.108935 122.108935 123.108935 124.108935 125.108935 126.108935 127.108935 128.108935 129.108935 130.108935 131.108935 132.108935 133.108935 134.108935 135.108935 136.108935 137.108935 138.108935 139.108935 140.108935 141.108935 142.108935 143.108935 144.108935 145.108935 146.108935 147.108935 148.108935 149.108935 150.108935 151.108935 152.108935 153.108935 154.108935 155.108935 156.108935 157.108935 158.108935 159.108935 160.108935 161.108935 162.108935 163.108935 164.108935 165.108935 166.108935 167.108935 168.108935 169.108935 170.108935 171.108935 172.108935 173.108935 174.108935 175.108935 176.108935 177.108935 178.108935 179.108935 180.108935 181.108935 182.108935 183.108935 184.108935 185.108935 186.108935 187.108935 188.108935 189.108935 190.108935 191.108935 192.108935 193.108935 194.108935 195.108935 196.108935 197.108935 198.108935 199.108935 200.108935 201.108935 202.108935 203.108935 204.108935 205.108935 206.108935 207.108935 208.108935 209.108935 210.108935 211.108935 212.108935 213.108935 214.108935 215.108935 216.108935 217.108935 218.108935 219.108935 220.108935 221.108935 222.108935 223.108935 224.108935 225.108935 226.108935 227.108935 228.108935 229.108935 230.108935 231.108935 232.108935 233.108935 234.108935 235.108935 236.108935 237.108935 238.108935 239.108935 240.108935 241.108935 242.108935 243.108935 244.108935 245.108935 246.108935 247.108935 248.108935 249.108935 250.108935
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] s0 s1 s2 s3 s4 s5
2.500e+02 1.173116e-39 1.511727e-30 5.694682e-22 2.824775e-13 1.263678e-06 9.999987e-01
7.500e+02 1.402254e-39 1.841699e-30 6.871181e-22 3.097157e-13 1.353642e-06 9.999986e-01
1.250e+03 1.759280e-39 2.354148e-30 8.663275e-22 3.480808e-13 1.482148e-06 9.999985e-01
1.750e+03 2.295559e-39 3.120155e-30 1.127978e-21 3.991486e-13 1.653345e-06 9.999983e-01
2.250e+03 3.114462e-39 4.284383e-30 1.515512e-21 4.672267e-13 1.879303e-06 9.999981e-01
2.750e+03 4.379660e-39 6.077739e-30 2.096946e-21 5.580383e-13 2.175592e-06 9.999978e-01
3.250e+03 6.409695e-39 8.939168e-30 2.997969e-21 6.820731e-13 2.568587e-06 9.999974e-01
3.750e+03 9.774017e-39 1.364727e-29 4.435097e-21 8.548712e-13 3.094497e-06 9.999969e-01
4.250e+03 1.555131e-38 2.165754e-29 6.801138e-21 1.101407e-12 3.806457e-06 9.999962e-01
4.750e+03 2.586087e-38 3.578434e-29 1.083198e-20 1.462956e-12 4.783228e-06 9.999952e-01
5.250e+03 4.506052e-38 6.171282e-29 1.796747e-20 2.010778e-12 6.145556e-06 9.999939e-01
5.750e+03 8.238100e-38 1.112475e-28 3.109923e-20 2.869712e-12 8.076309e-06 9.999919e-01
6.250e+03 1.585199e-37 2.102692e-28 5.635756e-20 4.271903e-12 1.086714e-05 9.999891e-01
6.750e+03 3.413449e-37 4.393895e-28 1.117824e-19 6.852415e-12 1.523797e-05 9.999848e-01
7.250e+03 1.352295e-36 1.558996e-27 3.469533e-19 1.523175e-11 2.578385e-05 9.999742e-01
7.750e+03 1.260885e-35 1.171676e-26 2.052425e-18 5.495315e-11 5.737901e-05 9.999426e-01
8.250e+03 2.857349e-34 1.951061e-25 2.455435e-17 3.454284e-10 1.734007e-04 9.998266e-01
8.750e+03 1.723262e-32 8.004477e-24 6.654236e-16 4.199018e-09 7.525596e-04 9.992474e-01
9.250e+03 3.234665e-30 9.723312e-22 4.873022e-14 1.132769e-07 5.115629e-03 9.948843e-01
9.750e+03 2.933475e-27 5.470997e-19 1.390206e-11 8.728523e-06 6.273545e-02 9.372558e-01
1.025e+04 9.979124e-24 1.143118e-15 1.078076e-08 1.146044e-03 6.938653e-01 3.049886e-01
1.075e+04 4.660774e-20 3.177374e-12 6.257693e-06 5.191368e-02 9.456045e-01 2.475559e-03
1.125e+04 8.498198e-16 3.164517e-08 5.244166e-03 9.124584e-01 8.229729e-02 7.102361e-08
1.175e+04 1.010331e-10 6.924471e-04 9.019413e-01 9.736590e-02 3.653664e-07 6.098188e-20
