#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 290
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6 s7
2.052500E+04 9.832757E-07 9.460109E-01 5.398815E-02 5.385114E-10 1.763733E-25 0.000000E+00 0.000000E+00 0.000000E+00
2.057500E+04 1.013838E-06 9.490500E-01 5.094895E-02 4.732169E-10 1.430613E-25 0.000000E+00 0.000000E+00 0.000000E+00
2.062500E+04 1.024791E-06 9.503180E-01 4.968098E-02 4.497138E-10 1.328456E-25 0.000000E+00 0.000000E+00 0.000000E+00
2.067500E+04 1.039217E-06 9.519613E-01 4.803763E-02 4.162275E-10 1.167999E-25 0.000000E+00 0.000000E+00 0.000000E+00
2.072500E+04 1.051858E-06 9.534519E-01 4.654701E-02 3.864605E-10 1.029761E-25 0.000000E+00 0.000000E+00 0.000000E+00
2.077500E+04 1.059064E-06 9.544960E-01 4.550290E-02 3.665043E-10 9.418124E-26 0.000000E+00 0.000000E+00 0.000000E+00
2.082500E+04 1.064734E-06 9.553978E-01 4.460113E-02 3.500043E-10 8.725045E-26 0.000000E+00 0.000000E+00 0.000000E+00
2.087500E+04 1.069099E-06 9.562147E-01 4.378421E-02 3.350706E-10 8.103482E-26 0.000000E+00 0.000000E+00 0.000000E+00
2.092500E+04 1.074217E-06 9.570850E-01 4.291388E-02 3.193139E-10 7.458852E-26 0.000000E+00 0.000000E+00 0.000000E+00
2.097500E+04 1.080422E-06 9.580237E-01 4.197524E-02 3.026546E-10 6.796016E-26 0.000000E+00 0.000000E+00 0.000000E+00
2.102500E+04 1.093448E-06 9.594617E-01 4.053717E-02 2.771108E-10 5.797450E-26 0.000000E+00 0.000000E+00 0.000000E+00
2.107500E+04 1.095001E-06 9.600490E-01 3.994994E-02 2.675218E-10 5.455757E-26 0.000000E+00 0.000000E+00 0.000000E+00
2.112500E+04 1.101181E-06 9.609698E-01 3.902910E-02 2.521862E-10 4.905753E-26 0.000000E+00 0.000000E+00 0.000000E+00
2.117500E+04 1.108030E-06 9.619070E-01 3.809189E-02 2.372240E-10 4.396275E-26 0.000000E+00 0.000000E+00 0.000000E+00
2.122500E+04 1.108278E-06 9.623614E-01 3.763753E-02 2.307844E-10 4.201669E-26 0.000000E+00 0.000000E+00 0.000000E+00
2.127500E+04 1.107237E-06 9.627460E-01 3.725293E-02 2.252993E-10 4.036051E-26 0.000000E+00 0.000000E+00 0.000000E+00
