#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 81 
#vel_mid[km/s] si0 si1 si2 si3 si4 
250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6750.00 2.93e-29 3.45e-21 3.10e-13 3.90e-06 1.00e+00 
7250.00 1.04e-28 1.13e-20 8.84e-13 7.41e-06 1.00e+00 
7750.00 5.33e-28 5.28e-20 3.40e-12 1.69e-05 1.00e+00 
8250.00 4.04e-27 3.60e-19 1.80e-11 4.61e-05 1.00e+00 
8750.00 3.76e-26 3.18e-18 1.22e-10 1.47e-04 1.00e+00 
9250.00 5.71e-25 4.61e-17 1.25e-09 6.00e-04 9.99e-01 
9750.00 2.50e-23 1.80e-15 2.83e-08 3.78e-03 9.96e-01 
10250.00 3.11e-21 1.95e-13 1.44e-06 3.76e-02 9.62e-01 
10750.00 5.03e-19 2.87e-11 8.99e-05 3.59e-01 6.41e-01 
11250.00 2.97e-17 1.59e-09 1.92e-03 9.18e-01 8.02e-02 
11750.00 2.00e-15 9.05e-08 3.20e-02 9.66e-01 1.67e-03 
12250.00 1.26e-13 4.19e-06 3.96e-01 6.04e-01 1.28e-05 
12750.00 9.79e-13 2.49e-05 8.66e-01 1.34e-01 1.03e-07 
13250.00 3.65e-12 6.96e-05 9.78e-01 2.18e-02 1.18e-09 
13750.00 1.20e-11 1.70e-04 9.97e-01 3.22e-03 1.33e-11 
14250.00 4.00e-11 4.15e-04 9.99e-01 4.84e-04 1.58e-13 
14750.00 1.28e-10 9.90e-04 9.99e-01 7.64e-05 2.26e-15 
15250.00 3.87e-10 2.30e-03 9.98e-01 1.33e-05 3.96e-17 
15750.00 1.22e-09 5.50e-03 9.94e-01 2.11e-06 5.84e-19 
