#NTIMES 50
#NSTAGES 4
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 81
#vel_mid[km/s] si0 si1 si2 si3
1250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6750.00 7.0908e-08 2.8596e-02 7.6746e-01 2.0394e-01
7250.00 9.2111e-08 3.6026e-02 7.6429e-01 1.9969e-01
7750.00 2.0230e-07 7.0349e-02 7.4966e-01 1.7999e-01
8250.00 7.0052e-07 1.8052e-01 6.8323e-01 1.3625e-01
8750.00 1.7927e-06 3.1366e-01 5.8390e-01 1.0244e-01
9250.00 3.5265e-06 4.5244e-01 4.7011e-01 7.7452e-02
9750.00 5.3461e-06 5.0970e-01 4.2557e-01 6.4723e-02
10250.00 7.3677e-06 5.5980e-01 3.8696e-01 5.3233e-02
10750.00 1.0057e-05 6.0557e-01 3.5047e-01 4.3950e-02
11250.00 1.3876e-05 6.3383e-01 3.2832e-01 3.7844e-02
11750.00 1.2540e-05 6.6551e-01 3.0131e-01 3.3166e-02
12250.00 1.2749e-05 6.8259e-01 2.8551e-01 3.1890e-02
