#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 290
#vel_mid[km/s] Si0 Si1 Si2 Si3 Si4 Si5 Si6 Si7
2.052500E+04 4.916506E-10 1.117179E-02 9.888281E-01 1.597506E-07 2.033229E-21 0.000000E+00 0.000000E+00 0.000000E+00
2.057500E+04 5.201861E-10 1.164207E-02 9.883578E-01 1.545187E-07 1.915047E-21 0.000000E+00 0.000000E+00 0.000000E+00
2.062500E+04 5.472896E-10 1.209438E-02 9.879055E-01 1.460831E-07 1.692604E-21 0.000000E+00 0.000000E+00 0.000000E+00
2.067500E+04 5.699411E-10 1.247972E-02 9.875201E-01 1.402215E-07 1.550843E-21 0.000000E+00 0.000000E+00 0.000000E+00
2.072500E+04 5.840599E-10 1.274453E-02 9.872553E-01 1.360056E-07 1.450500E-21 0.000000E+00 0.000000E+00 0.000000E+00
2.077500E+04 6.068754E-10 1.313370E-02 9.868662E-01 1.296116E-07 1.302396E-21 0.000000E+00 0.000000E+00 0.000000E+00
2.082500E+04 6.247710E-10 1.345352E-02 9.865464E-01 1.246772E-07 1.193974E-21 0.000000E+00 0.000000E+00 0.000000E+00
2.087500E+04 6.433850E-10 1.378326E-02 9.862166E-01 1.201652E-07 1.100488E-21 0.000000E+00 0.000000E+00 0.000000E+00
2.092500E+04 6.581014E-10 1.405999E-02 9.859399E-01 1.162182E-07 1.020617E-21 0.000000E+00 0.000000E+00 0.000000E+00
2.097500E+04 6.649204E-10 1.422637E-02 9.857735E-01 1.145775E-07 9.907958E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.102500E+04 6.915634E-10 1.467265E-02 9.853272E-01 1.079435E-07 8.631772E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.107500E+04 7.004818E-10 1.487184E-02 9.851281E-01 1.055736E-07 8.212089E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.112500E+04 7.082100E-10 1.505494E-02 9.849450E-01 1.038055E-07 7.918012E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.117500E+04 7.147411E-10 1.522219E-02 9.847777E-01 1.024312E-07 7.701311E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.122500E+04 7.308445E-10 1.552581E-02 9.844741E-01 9.863311E-08 7.058501E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.127500E+04 7.371965E-10 1.569391E-02 9.843060E-01 9.698855E-08 6.799986E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.132500E+04 7.435825E-10 1.586328E-02 9.841366E-01 9.551808E-08 6.577925E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.137500E+04 7.546859E-10 1.610068E-02 9.838992E-01 9.292894E-08 6.176325E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.142500E+04 7.655423E-10 1.633666E-02 9.836633E-01 9.019350E-08 5.760757E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.147500E+04 7.615280E-10 1.636373E-02 9.836362E-01 9.039819E-08 5.803254E-22 0.000000E+00 0.000000E+00 0.000000E+00
2.152500E+04 7.671274E-10 1.652697E-02 9.834729E-01 8.894990E-08 5.597379E-22 0.000000E+00 0.000000E+00 0.000000E+00
