#NTIMES:  56
#time[d] Lbol[erg/s] Edep[erg/s]
2.02000e+00 6.47059e+40 3.83132e+43
2.05000e+00 6.20957e+40 3.82077e+43
2.10000e+00 6.26508e+40 3.80330e+43
2.20000e+00 8.07596e+40 3.76864e+43
2.40000e+00 1.62186e+41 3.70049e+43
2.64000e+00 3.11432e+41 3.66733e+43
2.90000e+00 5.31519e+41 3.58556e+43
3.19000e+00 8.50909e+41 3.49695e+43
3.51000e+00 1.32491e+42 3.39119e+43
3.86000e+00 1.95533e+42 3.29139e+43
4.25000e+00 2.59899e+42 3.18474e+43
4.67000e+00 3.27442e+42 3.07547e+43
5.14000e+00 4.06785e+42 2.95904e+43
5.65000e+00 4.96485e+42 2.83821e+43
6.21000e+00 5.94774e+42 2.71438e+43
6.83000e+00 6.97877e+42 2.58452e+43
7.51000e+00 8.00412e+42 2.44989e+43
8.26000e+00 8.99711e+42 2.31241e+43
9.09000e+00 9.93197e+42 2.17176e+43
1.00000e+01 1.07714e+43 2.02860e+43
1.10000e+01 1.14908e+43 1.88613e+43
1.21000e+01 1.21146e+43 1.74362e+43
1.33100e+01 1.26742e+43 1.59842e+43
1.46400e+01 1.31055e+43 1.45652e+43
1.61000e+01 1.33394e+43 1.32137e+43
1.77100e+01 1.32515e+43 1.18604e+43
1.94800e+01 1.27878e+43 1.06134e+43
2.14300e+01 1.19449e+43 9.39478e+42
2.35700e+01 1.07837e+43 8.28149e+42
2.59300e+01 9.44482e+42 7.25004e+42
2.85200e+01 7.94972e+42 6.30196e+42
3.13700e+01 6.47404e+42 5.47305e+42
3.45100e+01 5.50679e+42 4.46008e+42
3.80000e+01 4.33299e+42 3.82619e+42
4.10000e+01 3.87975e+42 3.54095e+42
4.51000e+01 3.62386e+42 3.02733e+42
4.96100e+01 3.10192e+42 2.55456e+42
5.45700e+01 2.37636e+42 2.12739e+42
6.00300e+01 1.88217e+42 1.76889e+42
6.60000e+01 1.53363e+42 1.47888e+42
7.25600e+01 1.25837e+42 1.20917e+42
8.00000e+01 1.02023e+42 9.76200e+41
8.80000e+01 8.22905e+41 7.85554e+41
9.70000e+01 6.55900e+41 6.26416e+41
1.07000e+02 5.18036e+41 4.95796e+41
1.17000e+02 4.14045e+41 3.97250e+41
1.27000e+02 3.35198e+41 3.22929e+41
1.37000e+02 2.74802e+41 2.65943e+41
1.47000e+02 2.27954e+41 2.21501e+41
1.57000e+02 1.90810e+41 1.86277e+41
1.67000e+02 1.61347e+41 1.58033e+41
1.77000e+02 1.37300e+41 1.35068e+41
1.87000e+02 1.17677e+41 1.16208e+41
1.97000e+02 1.01548e+41 1.00589e+41
2.07000e+02 8.81331e+40 8.74934e+40
2.17000e+02 7.69007e+40 7.64680e+40
