#NTIMES: 1357
#time[d] Lbol[erg/s] Edep[erg/s]
2.000012e+00 3.9890e+34 3.8660e+43
2.000035e+00 8.8960e+34 3.8660e+43
2.000080e+00 1.4250e+35 3.8650e+43
2.000172e+00 2.0670e+35 3.8650e+43
2.000283e+00 2.7580e+35 3.8650e+43
2.000410e+00 3.5380e+35 3.8650e+43
2.000551e+00 4.4190e+35 3.8650e+43
2.000706e+00 5.4300e+35 3.8650e+43
2.000876e+00 7.7300e+35 3.8650e+43
2.001062e+00 1.2290e+36 3.8650e+43
2.001263e+00 2.2920e+36 3.8650e+43
2.001483e+00 4.7170e+36 3.8650e+43
2.001724e+00 1.0160e+37 3.8650e+43
2.001989e+00 2.1550e+37 3.8650e+43
2.002279e+00 4.3580e+37 3.8650e+43
2.002597e+00 8.3210e+37 3.8650e+43
2.002941e+00 1.4860e+38 3.8640e+43
2.003303e+00 2.4660e+38 3.8640e+43
2.003687e+00 3.8660e+38 3.8640e+43
2.004097e+00 5.7840e+38 3.8640e+43
2.004535e+00 8.3230e+38 3.8640e+43
2.005005e+00 1.1580e+39 3.8640e+43
2.005510e+00 1.5640e+39 3.8640e+43
2.006040e+00 2.0450e+39 3.8640e+43
2.006598e+00 2.6030e+39 3.8630e+43
2.007189e+00 3.2390e+39 3.8630e+43
2.007816e+00 3.9550e+39 3.8630e+43
2.008483e+00 4.7490e+39 3.8630e+43
2.009183e+00 5.6030e+39 3.8620e+43
2.009917e+00 6.5110e+39 3.8620e+43
2.010690e+00 7.4710e+39 3.8620e+43
2.011508e+00 8.4770e+39 3.8620e+43
2.012367e+00 9.5140e+39 3.8610e+43
2.013265e+00 1.0570e+40 3.8610e+43
2.014208e+00 1.1640e+40 3.8610e+43
2.015203e+00 1.2730e+40 3.8600e+43
2.016241e+00 1.3810e+40 3.8600e+43
2.017327e+00 1.4880e+40 3.8590e+43
2.018467e+00 1.5930e+40 3.8590e+43
2.019660e+00 1.6960e+40 3.8590e+43
2.020904e+00 1.7960e+40 3.8580e+43
2.022207e+00 1.8930e+40 3.8580e+43
2.023570e+00 1.9860e+40 3.8570e+43
2.024988e+00 2.0750e+40 3.8570e+43
