#NTIMES: 1357
#time[d] Lbol[erg/s] Edep[erg/s]
2.00000e+00 0.00000e+00 3.86600e+43
2.00000e+00 0.00000e+00 3.86600e+43
2.00000e+00 0.00000e+00 3.86500e+43
2.00000e+00 6.42400e+34 3.86500e+43
2.00000e+00 1.60700e+35 3.86500e+43
2.00000e+00 2.68000e+35 3.86500e+43
2.00100e+00 3.91100e+35 3.86500e+43
2.00100e+00 5.43000e+35 3.86500e+43
2.00100e+00 7.73000e+35 3.86500e+43
2.00100e+00 1.22900e+36 3.86500e+43
2.00100e+00 2.29200e+36 3.86500e+43
2.00200e+00 4.71700e+36 3.86500e+43
2.00200e+00 1.01600e+37 3.86500e+43
2.00200e+00 2.15500e+37 3.86500e+43
2.00200e+00 4.35800e+37 3.86500e+43
2.00300e+00 8.32100e+37 3.86500e+43
2.00300e+00 1.48600e+38 3.86400e+43
2.00300e+00 2.46600e+38 3.86400e+43
2.00400e+00 3.86600e+38 3.86400e+43
2.00400e+00 5.78400e+38 3.86400e+43
2.00500e+00 8.32300e+38 3.86400e+43
2.00500e+00 1.15800e+39 3.86400e+43
2.00600e+00 1.56400e+39 3.86400e+43
2.00600e+00 2.04500e+39 3.86400e+43
2.00700e+00 2.60300e+39 3.86300e+43
2.00700e+00 3.23900e+39 3.86300e+43
2.00800e+00 3.95500e+39 3.86300e+43
2.00800e+00 4.74900e+39 3.86300e+43
2.00900e+00 5.60300e+39 3.86200e+43
2.01000e+00 6.51100e+39 3.86200e+43
2.01100e+00 7.47100e+39 3.86200e+43
2.01100e+00 8.47700e+39 3.86200e+43
2.01200e+00 9.51400e+39 3.86100e+43
2.01300e+00 1.05700e+40 3.86100e+43
2.01400e+00 1.16400e+40 3.86100e+43
2.01500e+00 1.27300e+40 3.86000e+43
2.01600e+00 1.38100e+40 3.86000e+43
2.01700e+00 1.48800e+40 3.85900e+43
2.01900e+00 1.59300e+40 3.85900e+43
2.02000e+00 1.69600e+40 3.85900e+43
2.02100e+00 1.79600e+40 3.85800e+43
2.02200e+00 1.89300e+40 3.85800e+43
2.02400e+00 1.98600e+40 3.85700e+43
2.02500e+00 2.07500e+40 3.85700e+43
2.02700e+00 2.15900e+40 3.85600e+43
2.02800e+00 2.23900e+40 3.85600e+43
2.03000e+00 2.31300e+40 3.85500e+43
2.03100e+00 2.38300e+40 3.85500e+43
2.03300e+00 2.44700e+40 3.85400e+43
2.03500e+00 2.50600e+40 3.85300e+43
2.03700e+00 2.55900e+40 3.85300e+43
2.03900e+00 2.60600e+40 3.85200e+43
2.04100e+00 2.64900e+40 3.85100e+43
2.04300e+00 2.68700e+40 3.85000e+43
2.04500e+00 2.71800e+40 3.85000e+43
2.04800e+00 2.74500e+40 3.84900e+43
2.05000e+00 2.76600e+40 3.84800e+43
2.05200e+00 2.78200e+40 3.84700e+43
2.05500e+00 2.79300e+40 3.84600e+43
2.05800e+00 2.79900e+40 3.84500e+43
2.06100e+00 2.80000e+40 3.84400e+43
