#NTIMES: 224
#time[d] Lbol[erg/s] Edep[erg/s]
2.5 2.39208e+41 3.72803e+43
3.5 8.49798e+41 3.42207e+43
4.5 1.84472e+42 3.14611e+43
5.5 3.16292e+42 2.89863e+43
6.5 4.64649e+42 2.67430e+43
7.5 6.40590e+42 2.47124e+43
8.5 7.98777e+42 2.28750e+43
9.5 9.49694e+42 2.11808e+43
10.5 1.09534e+43 1.96533e+43
11.5 1.21392e+43 1.81982e+43
12.5 1.30701e+43 1.68806e+43
13.5 1.36937e+43 1.56736e+43
14.5 1.40846e+43 1.45762e+43
15.5 1.42616e+43 1.35783e+43
16.5 1.42310e+43 1.26888e+43
17.5 1.40853e+43 1.18487e+43
18.5 1.36894e+43 1.10904e+43
19.5 1.32055e+43 1.04062e+43
20.5 1.26783e+43 9.79022e+42
21.5 1.20765e+43 9.19958e+42
22.5 1.14844e+43 8.68592e+42
23.5 1.08870e+43 8.20629e+42
24.5 1.02993e+43 7.76442e+42
25.5 9.68844e+42 7.35501e+42
26.5 9.07531e+42 6.98861e+42
27.5 8.42743e+42 6.63336e+42
28.5 7.80025e+42 6.31430e+42
29.5 7.19634e+42 6.01845e+42
30.5 6.68584e+42 5.74090e+42
31.5 6.22762e+42 5.48247e+42
32.5 5.83371e+42 5.24383e+42
33.5 5.50608e+42 5.02670e+42
34.5 5.22857e+42 4.81205e+42
35.5 4.97562e+42 4.60678e+42
36.5 4.78953e+42 4.42434e+42
37.5 4.63974e+42 4.24465e+42
38.5 4.49595e+42 4.07919e+42
39.5 4.35841e+42 3.92202e+42
40.5 4.24466e+42 3.77256e+42
41.5 4.12483e+42 3.64105e+42
42.5 4.00352e+42 3.50154e+42
43.5 3.88534e+42 3.37293e+42
44.5 3.76159e+42 3.25564e+42
45.5 3.64716e+42 3.13747e+42
46.5 3.51646e+42 3.02521e+42
47.5 3.37970e+42 2.91966e+42
48.5 3.25001e+42 2.81894e+42
49.5 3.12324e+42 2.72400e+42
50.5 2.99880e+42 2.63210e+42
51.5 2.86648e+42 2.54572e+42
52.5 2.74425e+42 2.46180e+42
53.5 2.62532e+42 2.38290e+42
54.5 2.50689e+42 2.29917e+42
55.5 2.39430e+42 2.22072e+42
56.5 2.28999e+42 2.15192e+42
57.5 2.19758e+42 2.08433e+42
58.5 2.10429e+42 2.01714e+42
59.5 2.02335e+42 1.94934e+42
60.5 1.93558e+42 1.89189e+42
61.5 1.86503e+42 1.83207e+42
62.5 1.79880e+42 1.78016e+42
63.5 1.73425e+42 1.72316e+42
64.5 1.67988e+42 1.67408e+42
65.5 1.61442e+42 1.61698e+42
66.5 1.56754e+42 1.56950e+42
67.5 1.50961e+42 1.52275e+42
68.5 1.46422e+42 1.47309e+42
69.5 1.41759e+42 1.43130e+42
70.5 1.36838e+42 1.39359e+42
71.5 1.33380e+42 1.35122e+42
72.5 1.29030e+42 1.31077e+42
73.5 1.25087e+42 1.27432e+42
74.5 1.21540e+42 1.23863e+42
75.5 1.18458e+42 1.20642e+42
76.5 1.15150e+42 1.16968e+42
77.5 1.11589e+42 1.13329e+42
78.5 1.08840e+42 1.10246e+42
79.5 1.05636e+42 1.07189e+42
80.5 1.03187e+42 1.04549e+42
81.5 9.99972e+41 1.01546e+42
82.5 9.71799e+41 9.89885e+41
83.5 9.45547e+41 9.61475e+41
84.5 9.21721e+41 9.38019e+41
85.5 8.98086e+41 9.10103e+41
86.5 8.75999e+41 8.88123e+41
87.5 8.50609e+41 8.66187e+41
88.5 8.30082e+41 8.40785e+41
89.5 8.09054e+41 8.23001e+41
90.5 7.93395e+41 7.98427e+41
91.5 7.73884e+41 7.78976e+41
92.5 7.53400e+41 7.60749e+41
93.5 7.36287e+41 7.41056e+41
94.5 7.23556e+41 7.21879e+41
95.5 7.07171e+41 7.06783e+41
96.5 6.88106e+41 6.87391e+41
97.5 6.76042e+41 6.71307e+41
98.5 6.64746e+41 6.55398e+41
99.5 6.50464e+41 6.41216e+41
100.5 6.36342e+41 6.23499e+41
101.5 6.22332e+41 6.07723e+41
102.5 6.09585e+41 5.94153e+41
103.5 5.97168e+41 5.82207e+41
104.5 5.86741e+41 5.67324e+41
105.5 5.74303e+41 5.55406e+41
106.5 5.64764e+41 5.43452e+41
107.5 5.53712e+41 5.30285e+41
108.5 5.45378e+41 5.17671e+41
109.5 5.35932e+41 5.08504e+41
110.5 5.24010e+41 4.95343e+41
111.5 5.17423e+41 4.85323e+41
112.5 5.05631e+41 4.73009e+41
113.5 4.98518e+41 4.65636e+41
114.5 4.88088e+41 4.52747e+41
115.5 4.79202e+41 4.41799e+41
116.5 4.69949e+41 4.33763e+41
117.5 4.62417e+41 4.24941e+41
118.5 4.56558e+41 4.16204e+41
119.5 4.47448e+41 4.09035e+41
120.5 4.38951e+41 3.99079e+41
121.5 4.31548e+41 3.90230e+41
122.5 4.23660e+41 3.83994e+41
123.5 4.16748e+41 3.74575e+41
124.5 4.09523e+41 3.68358e+41
125.5 3.99081e+41 3.60885e+41
126.5 3.92583e+41 3.52435e+41
127.5 3.82292e+41 3.45930e+41
128.5 3.74936e+41 3.37934e+41
129.5 3.67659e+41 3.32045e+41
130.5 3.56978e+41 3.26725e+41
131.5 3.51059e+41 3.18495e+41
132.5 3.43273e+41 3.12749e+41
133.5 3.33973e+41 3.07944e+41
134.5 3.24907e+41 3.00788e+41
135.5 3.18199e+41 2.96598e+41
136.5 3.12032e+41 2.88434e+41
137.5 3.03554e+41 2.84794e+41
138.5 2.95972e+41 2.79079e+41
139.5 2.88941e+41 2.73546e+41
140.5 2.81951e+41 2.68327e+41
141.5 2.75494e+41 2.63761e+41
142.5 2.70001e+41 2.58777e+41
143.5 2.64176e+41 2.54791e+41
144.5 2.58064e+41 2.49396e+41
145.5 2.54291e+41 2.46381e+41
146.5 2.49366e+41 2.40529e+41
147.5 2.43479e+41 2.36615e+41
148.5 2.40076e+41 2.32819e+41
149.5 2.34781e+41 2.28149e+41
150.5 2.31157e+41 2.25202e+41
151.5 2.26536e+41 2.20268e+41
152.5 2.21007e+41 2.16146e+41
153.5 2.17691e+41 2.13592e+41
154.5 2.14800e+41 2.08927e+41
155.5 2.10060e+41 2.05502e+41
156.5 2.06983e+41 2.02133e+41
157.5 2.03768e+41 1.98727e+41
158.5 1.98829e+41 1.95164e+41
159.5 1.96490e+41 1.91794e+41
160.5 1.93305e+41 1.88299e+41
161.5 1.89751e+41 1.85061e+41
162.5 1.87503e+41 1.83930e+41
163.5 1.83927e+41 1.79372e+41
164.5 1.80175e+41 1.76715e+41
165.5 1.77647e+41 1.74477e+41
166.5 1.75187e+41 1.70611e+41
167.5 1.71714e+41 1.68014e+41
168.5 1.69366e+41 1.65112e+41
169.5 1.65393e+41 1.62952e+41
170.5 1.63871e+41 1.59433e+41
171.5 1.60497e+41 1.58197e+41
172.5 1.58084e+41 1.55358e+41
173.5 1.55131e+41 1.52773e+41
174.5 1.51916e+41 1.49086e+41
175.5 1.50207e+41 1.47466e+41
176.5 1.47813e+41 1.45515e+41
177.5 1.45235e+41 1.44151e+41
178.5 1.43072e+41 1.40819e+41
179.5 1.41040e+41 1.38819e+41
180.5 1.39810e+41 1.36807e+41
181.5 1.37201e+41 1.35024e+41
182.5 1.35764e+41 1.33941e+41
183.5 1.32933e+41 1.30562e+41
184.5 1.30042e+41 1.28342e+41
185.5 1.28681e+41 1.26626e+41
186.5 1.27892e+41 1.25097e+41
187.5 1.23969e+41 1.23174e+41
188.5 1.22440e+41 1.21229e+41
189.5 1.21012e+41 1.19811e+41
190.5 1.19958e+41 1.18096e+41
191.5 1.17729e+41 1.16189e+41
192.5 1.16622e+41 1.14609e+41
193.5 1.14954e+41 1.13032e+41
194.5 1.11567e+41 1.10994e+41
195.5 1.10758e+41 1.08942e+41
196.5 1.09087e+41 1.08513e+41
197.5 1.07865e+41 1.06972e+41
198.5 1.06194e+41 1.05120e+41
199.5 1.04651e+41 1.03527e+41
200.5 1.03368e+41 1.02019e+41
201.5 1.01968e+41 1.00320e+41
202.5 1.00065e+41 9.90004e+40
203.5 9.88148e+40 9.74719e+40
204.5 9.65497e+40 9.55696e+40
205.5 9.61839e+40 9.50932e+40
206.5 9.41370e+40 9.39444e+40
207.5 9.26393e+40 9.17596e+40
208.5 9.15802e+40 9.05489e+40
209.5 9.09996e+40 8.95748e+40
210.5 8.92373e+40 8.90230e+40
211.5 8.83845e+40 8.69321e+40
212.5 8.69655e+40 8.63552e+40
213.5 8.58697e+40 8.55197e+40
214.5 8.48562e+40 8.38838e+40
215.5 8.34807e+40 8.30699e+40
216.5 8.20244e+40 8.14363e+40
217.5 3.11948e+40 8.00542e+40
218.5 1.25517e+39 7.93356e+40
219.5 3.72127e+38 7.82747e+40
220.5 1.63738e+38 7.73499e+40
221.5 5.36307e+37 7.61592e+40
222.5 1.79734e+37 7.54776e+40
223.5 1.90232e+37 7.37576e+40
224.5 2.53238e+36 7.33667e+40
225.5 3.71476e+36 7.22267e+40
